Point;Valeur
-69.01572627435291 -80.39699233223836;17690.743535532
-62.141259755840416 -64.49317735646463;12179.925891750
-51.465777178049926 -41.606227364602034;6110.721995736
-39.47026556023822 -18.718069664803302;2258.8089120710
-27.842229030786797 -0.5090005004540785;775.404546917
-17.884856808373844 11.066040097082595;564.4535797952
-9.958248659170529 16.003638104178137;610.8428019088
-4.0308585978383356 15.900498920022514;521.5239588339
0.1410254865815972 12.822454194953412;328.95049752294
2.6137534876998325 8.46088022896745;149.49439065004
3.9752757568468455 4.108210774835216;49.2070798664
4.466721048346738 0.3766782538074951;20.322024149780
4.463658386635304 -1.8699136639491107;27.036041098573
4.148543456536566 -3.0846100850058784;36.05296654476
3.3961511051594684 -3.078045091580476;30.077831536450
2.5043273548422826 -2.3121966826212663;17.150673699276
1.8341838526460235 -1.4918958577509405;7.534782874772
1.370606777034403 -0.6955530436802487;2.781451408921
0.8932407449992879 0.055729531435069535;0.7505190826444
0.38425399677434036 0.4036664005753038;0.6409566407231
0.09100196958444268 0.7063735515522354;1.0489149704264
-0.20952489712607353 0.6638962613777939;1.17480245272
-0.2475880352031379 0.34911213769407773;0.6018042407084
-0.14451866880512668 0.24801741885571416;0.36165581864840
0.07304789071656276 0.1305432434385059;-0.1727599136300
0.11271571128526042 -0.14496145218469578;-0.02181966194252
0.0028713857946697646 -0.11882099866401927;-0.29336454165686
-0.07040478607286367 0.09676602867162026;-0.3099315530639
-0.022439295792230217 0.04799700324886025;-0.5188002200921
0.039580456100660445 -0.09217283322158093;-0.37306612290890
0.02304357094391296 -0.0007882465902766811;-0.5724066727434
-0.02019491652591745 0.05847239340296348;-0.49508936509367
-0.018697383790122517 -0.03398702108559171;-0.5475428516116
0.008827307530112165 -0.012582573451385984;-0.5750749492765
0.013438308565017296 0.030979849686354304;-0.554545510366
-0.0029336117135071726 -0.014700622285212399;-0.574680385694
-0.009101547067542038 -0.008296709357930945;-0.5771560061076
-3.0396607480746504e-05 0.01557983097790741;-0.574165364668
0.005647277200326757 -0.006860346146031919;-0.5784093050927
0.001061421085382843 -0.004575267074907553;-0.5794793373835
-0.003415051052939813 0.007766130769827604;-0.5783800015840
-0.0014114161107170449 -0.003286419176954835;-0.5797111208663
0.0017989082280489184 -0.0024381143988491854;-0.5798103508175
0.0011699571501324756 0.003851922148311253;-0.5796227611332
-0.0009730796704124287 -0.0015949083919095516;-0.5799251147453
-0.000998849214652111 -0.001296727727254531;-0.5799451723788
0.0003440532280978316 0.0018963154424955376;-0.5799116158442
0.0006242995890464834 -0.0007869916377505615;-0.5799794859840
-0.00016528380393522645 -0.0006980820984674638;-0.5799878605213
-0.0004967996658982578 0.0009202168096590373;-0.5799760503611
-6.533060477473154e-05 -0.00040081022339392676;-0.5799960659632
0.00022802293994169726 -0.0003860085256470056;-0.5799956630984
1.4303644920165111e-05 0.0004333459452281627;-0.5799954698856
-0.00021223410523579206 -0.00021651969306712125;-0.5799982246041
-0.0001223428625199528 -0.0002238412308049971;-0.5799985776783
PointOptimal;ValeurOptimale
[-0.00012234 -0.00022384];-0.5799985776783073
Temps;Nb iteration
0.003691434860229492;54
