Point;Valeur
-69.93551736829019 9.845039214752703;5084.682847296
-68.561423857624 9.475505109421931;4879.808263268
-66.05138791480596 8.794496377161213;4517.4440375387
-62.593717831731595 7.885264993114657;4042.0604564394
-58.43460955221764 6.8355332976422245;3508.359271724
-53.77037770644397 5.704993953571927;2956.7515718075
-48.77246513558772 4.501518808836362;2418.8379343053
-43.54504198781677 3.3026224672173337;1918.3298535734
-38.22597196687925 2.177875115003333;1471.042953976
-32.93754173661623 1.111535189374361;1087.555031711
-27.789069718494304 0.13026113661603578;772.4063837489
-22.903526045704872 -0.7402166550995751;526.1295357032
-18.28996880079731 -1.4426973626617539;338.75051174399
-14.009852048944586 -2.0025100418748423;203.71747897754
-10.106068906482907 -2.3949256122472904;113.3724139960
-6.5775681169232225 -2.665208204048123;57.40630615617
-3.4819642477787482 -2.7564611261110445;27.548558822516
-0.765580513332234 -2.7262363198721546;15.53963954706
1.570485885395712 -2.581245717857032;15.830728089531
3.493134044351672 -2.3253475309770284;23.160657269420
5.021614691932555 -2.04438882983991;33.63190499195
6.2200091861382205 -1.7063181823481286;44.89497112518
7.084680359791823 -1.333681994037817;54.09846925501
7.694752038162008 -0.9956241391643661;61.20171843635
8.064386575744452 -0.6717601505247872;65.8456396367
8.199673839526222 -0.3416064247274393;67.67394844192
8.123219249630218 -0.0807581188571132;65.73252191258
7.870131168658003 0.17302284535923712;62.05576967601
7.525201412544007 0.3518402282448014;57.02717070494
7.055408416980123 0.5227566490192825;50.31672344849
6.530969117458304 0.6364930093853479;43.417777874256
5.98374773308545 0.6724359311807485;36.57028640694
5.405423296078459 0.6468391887530014;29.897905981555
4.790274782986218 0.5654456890418466;23.27723218915
4.148069494789564 0.448168054917205;17.333200002871
3.493957975802461 0.3523363570241457;12.517620237024
2.8424702134475908 0.29094196864557764;8.51848537152
2.206292747296392 0.24469657024718364;5.376312617073
1.597639293011359 0.1934619399614183;3.078282412353
1.0336512725014613 0.11944565488922718;1.3624798010966
0.5446738276862884 0.016946354808007796;-0.09904429508219
0.1459039501568542 -0.07790597940606228;-0.1811044507671
-0.22211174734648625 -0.12584711400090495;0.23371861253823
-0.5045041483735289 -0.12618935910679507;0.277825293351
-0.7615684597127959 -0.0862510950766307;0.2760586574466
-0.9417730637255147 -0.017929372159684195;0.8706053821385
-1.060631215237002 0.04842514740438264;1.1522289118673
-1.1552542753574466 0.08248957376325014;1.2378639228708
-1.2403108029090502 0.07771166483084321;1.2017787976608
-1.3092047912106515 0.041392692260604144;1.182199881969
-1.347693472457172 -0.008497950016224796;1.240760527281
-1.3495002215992604 -0.04663919682202602;1.295705585621
-1.3197614063925125 -0.05760011982953106;1.2410586438230
-1.2718281387709578 -0.04128562693878823;1.126808554570
-1.2213394492503964 -0.008406534301371303;1.0655390500423
-1.1788098539864125 0.023431562891394933;1.0884822401249
-1.1473455028763129 0.03919477944375836;1.127083846426
-1.1255851803226307 0.034303145408773904;1.128184255306
-1.110841564914908 0.014068580696535344;1.109388689180
-1.1005962382863768 -0.009824552085712094;1.1086052489244
-1.092877438183422 -0.025336120993875718;1.1219555782246
-1.0861903536038329 -0.026454194009182336;1.1228826234679
-1.0793251126112902 -0.014882130141940317;1.1102602199931
-1.0711454655521098 0.002021364259741667;1.1024987961174
-1.0603628463292178 0.015323098580115829;1.1027610012757
-1.0452549618747067 0.019206300271120066;1.0945349373298
-1.0232546437050185 0.013289755021738622;1.06412236343
-0.9903126645102869 0.0018800702467290393;0.999554871068
-0.9400473391485447 -0.008703038695028626;0.8588834062780
-0.8635721832899863 -0.013491750092579934;0.5544812209196
-0.7544661775961736 -0.011090171667752242;0.08916233923418
-0.6262666185137509 -0.003750970775851778;-0.16596556200432
-0.5158053480412923 0.004241856907883833;-0.058034636424290
-0.4400031943418424 0.008935354774305225;0.07626615937342
-0.39094163166292284 0.008582127800289049;0.1314665848655
-0.35621452632388967 0.00412872689805143;0.14035090014468
-0.3257493032769928 -0.0016528088848537731;0.12541242872214
-0.2914291821629969 -0.005771228549504829;0.08263981436888
-0.24567591993916352 -0.006499052773726919;-0.01531242832177
-0.18125618409997046 -0.004008448344604766;-0.20563789044074
-0.09512367929716081 6.47980355138883e-06;-0.45825124156477
0.00172431314248514 0.0033758768158639796;-0.5796827029330
0.08314943277979872 0.0045750397903120115;-0.48508108421788
0.13040336956044202 0.00336068170061563;-0.3632702884227
0.14112767549278823 0.0006893081113514997;-0.33158607813759
0.11991448523318478 -0.001927132746514224;-0.39348350895019
0.07398948631580607 -0.00323564364537681;-0.5042401856462
