Point;Valeur
-71.76652265758214 4.652466282368522;5193.996059188
-71.451721132816 4.337664757918877;5142.973881046
-71.13237206441501 4.095229795028877;5093.349133143
-70.82164952091087 3.790545563156625;5044.653979049
-70.50287071832658 3.565379375976665;4995.879826000
-70.195206136104 3.2931938796963625;4949.376696102
-69.87842875516989 3.10108175549936;4902.021624327
-69.57293428832965 2.8431043073647038;4856.85927298
-69.25937590483043 2.7037755980239506;4811.486006004
-68.95495183332783 2.4906487560726243;4767.187340720
-68.6457794988949 2.3282245092099765;4722.945364310
-68.34133012040728 2.2183967273723906;4680.937327099
-68.03742366705707 2.0449190015378687;4636.936310259
-67.73232852958701 1.8741721345873983;4594.940647378
-67.43390140335192 1.8054213981769562;4553.889913262
-67.1285424074866 1.719822180066883;4512.522378122
-66.83477988634147 1.5800254035338017;4471.734896887
-66.5307747036162 1.421856061587563;4430.146029196
-66.23970117036689 1.3740592403645582;4391.667974212
-65.93951976889039 1.3398111768454666;4351.477706126
-65.64846737596757 1.3021022222179688;4313.62990539
-65.35437893837154 1.2491113897170616;4274.301269585
-65.0613890272497 1.1623600970070604;4236.064355018
-64.77413568823415 1.0291733222071369;4197.386827471
-64.47968222164437 0.9365327506252376;4159.245134511
-64.19757750203352 0.9152334140967121;4122.9548186745
-63.90491245404751 0.9051193106077349;4085.1854730
-63.62407610727369 0.8990220619715865;4049.8324497793
-63.3373086054471 0.8949080380434083;4012.847272994
-63.05393554462307 0.8919397668334242;3977.5928133909
-62.77498346915045 0.8897002896981794;3942.0734628215
-62.489057423362304 0.8879558529512233;3906.4447283115
-62.215675377939164 0.8865641663535565;3872.455402274
-61.931896411523375 0.8854331781380991;3836.8508771597
-61.65851243484942 0.8845004691194159;3803.602603500
-61.38216175490505 0.8837220949714677;3769.032293673
-61.104760823175795 0.8830661542142223;3735.4883457052
-60.83643180758691 0.8825088884257234;3702.6114569764
-60.55798252442308 0.8820322166211637;3668.6445948490
-60.292170078659865 0.8816221216754901;3636.9547197539
-60.01990908334066 0.8812675612885282;3603.6259870195
-59.75002421453481 0.8809597148851546;3571.808707133
-59.48683596460877 0.8806914492991162;3540.1777541470
-59.21430030163774 0.8804569338318807;3507.7343811222
-58.95466356180077 0.8802513563130641;3477.4566048097
-58.68801813106708 0.8800707117213484;3445.520745141
-58.42387284815287 0.8799116409123445;3415.077383268
-58.16678899901819 0.8797713079508902;3384.906905261
-57.89996803442028 0.8796473036786147;3353.761252062
-57.645536988376065 0.8795375706321352;3324.83322115
-57.38596751477226 0.8794403432454742;3294.4166440046
-57.12581695345836 0.8793540995550344;3265.002844839
-56.87552091988038 0.8792775228314458;3236.4722586481
-56.61483764394569 0.8792094694353996;3206.506140993
-56.36394963385523 0.8791489434489682;3178.7136293581
-56.11301111045952 0.8790950748522356;3150.05590587
-55.85597049466843 0.8790471017967334;3121.357132984
-55.61158952036838 0.8790043554787718;3094.440583894
-55.35910500177009 0.8789662479278058;3065.8705262035
-55.10932891783052 0.8789322608977873;3038.7236898185
-54.86749445672833 0.8789019369644899;3012.068089619
-54.61546950171915 0.8788748720409583;2984.114974038
-54.373364953179816 0.8788507083656664;2958.2729297358
-54.131727129933275 0.8788291289875855;2931.6780819620
-53.88295916559449 0.8788098528815304;2904.7692481115
-53.646766918774325 0.8787926302210746;2879.801553333
-53.40487402691064 0.8787772393059453;2853.3774315036
-53.16132115795926 0.8787634829379257;2827.67238826
-52.9289841839568 0.8787511855846035;2803.2438553694
-52.687551830828426 0.8787401910946138;2777.2151242832
-52.449846113209425 0.8787303600189573;2752.654155300
-52.219980311752714 0.8787215682716606;2728.6020343901
-51.980081974650574 0.878713705317726;2703.1654058843
-51.7478963294623 0.8787066723610829;2679.592283764
-51.51990369835059 0.8787003812416015;2655.8876373053
-51.28243759696877 0.878694753332106;2631.1534765436
-51.05506287637139 0.8786897183566036;2608.411159947
-50.82890663496788 0.8786852136024369;2585.0964504528
-50.59439324600222 0.8786811830536522;2561.090788581
-50.37112297816374 0.8786775766031514;2539.0624162920
-50.14707596541995 0.8786743495011992;2516.205363981
-49.91568197220482 0.8786714618827145;2492.89636583
-49.695949623414904 0.8786688776642839;2471.50726943
-49.47441998226015 0.8786665650168703;2449.177818690
-49.24608039572789 0.878664495420396;2426.5034950219
-49.02944101230325 0.8786626432698188;2405.705824343
-48.81087868856457 0.8786609856387777;2383.9700755080
-48.58543870870235 0.8786595021220237;2361.859768562
-48.37148441774961 0.8786581743627112;2341.6125330309
-48.15633360905792 0.8786569860523978;2320.534510109
-47.93368609168681 0.8786559223795516;2298.926185638
-47.721951197540484 0.8786549703446894;2279.17602934
-47.51060386974457 0.878654118287669;2258.818625235
-47.290822863226204 0.8786533556513345;2237.6768982975
-47.08072038796314 0.8786526729815165;2218.3427368050
-46.8734301601388 0.8786520620058167;2198.760360159
-46.656889174875054 0.8786515152396843;2178.097793654
-46.44773259533697 0.8786510256712771;2159.064954367
-46.24446531743962 0.8786505874705237;2140.282568848
-46.031889037001804 0.8786501953588464;2120.1794692309
-45.823072086605215 0.8786498442940213;2101.314116558
-45.62330624780051 0.878649530100457;2083.292582261
-45.415663838465576 0.878649248917701;2063.8996077241
-45.20704449561623 0.878648997121655;2045.096655414
-45.00960306215193 0.8786487717972834;2027.6943532480
-44.80776025132921 0.8786485701083354;2009.1949838971
-44.60014124445541 0.8786483895730915;1990.4608727220
-44.403252567933585 0.878648227985579;1973.4172383268
-44.20739767375429 0.8786480832973942;1955.9375788631
-44.00272409661687 0.8786479538146653;1937.4710401082
-43.804640671499065 0.8786478379223049;1920.457899104
-43.61366991673161 0.8786477342021878;1903.9467660728
-43.41445949660908 0.8786476413543655;1886.1300080909
-43.21479821795185 0.8786475581970667;1868.9185291707
-43.026051598029866 0.8786474837848748;1853.0633319856
-42.83400812424452 0.8786474171723726;1836.2853732189
-42.63499245032079 0.8786473575717128;1818.9870629295
-42.445020152855705 0.8786473041950478;1803.2595371964
-42.25951492433944 0.8786472564120997;1787.628092279
-42.06531823436477 0.8786472136713754;1770.777285046
-41.87239185779233 0.8786471753819892;1754.720455186
-41.68985043922892 0.878647141110625;1739.8677099476
-41.50360073187728 0.8786471104239667;1724.0902659043
-41.310516848674524 0.878647082967483;1707.7969252838
