Point;Valeur
11.28843355749703 41.10808613019503;3506.8456194935
7.410018430888948 37.22967100335848;2827.0510934118
4.902783922760458 34.528997216381754;2408.461614349
3.148096428420997 32.29565374803847;2096.2164229190
2.597647816334741 30.37072525076125;1851.285975890
2.010731866705517 28.635783852417564;1643.7986374383
1.2375331282770201 26.93881017079879;1452.5434507036
1.1875668304491294 25.423497448877047;1293.8997739951
1.271812022871806 23.987562392292748;1151.8962502
1.042633208236402 22.58258098792813;1021.1668324814
0.7983008200676286 21.187784719043236;898.5831616217
-0.3129303399766402 19.85698102958367;789.0546480171
0.016045023205713105 18.65812199251544;696.0679201731
-0.12462425863211321 17.39567227030602;605.0466510741
0.7990308242888822 16.27829333045092;530.7712983935
-0.6034069326253819 15.155804509053226;459.6183809900
-0.7394320800451255 13.991783751792271;391.5761018185
0.46342119381833746 12.93207773009029;334.6093654335
1.1466269972776513 11.948462673017689;286.6792953033
1.3536138966903757 10.984492762027422;242.58119614443
-0.05268865189257532 10.02284292535947;200.38522832078
0.6205109094905602 9.060786992134943;164.1064899039
0.5948894083220453 8.106472510882437;131.48514990356
0.911436111035177 7.173069826765607;104.09703596974
-1.0843770057694269 6.301791171831542;81.03381587189
-1.0009123171646153 5.620585790519194;64.46825983215
0.13790739004977026 4.804847625115217;46.327901996729
-1.5519651370409435 4.231900490174052;38.640472292584
1.016842350583238 3.5908233709230877;27.001631225007
0.24197511672735061 2.9106629352063513;17.076641525283
-1.071736398138833 2.5554339858381807;14.22834326902
-0.8681257646355458 1.9925285063299372;8.511835063835
1.2940003503824034 1.6195196669677017;6.621235345593
0.4790219234506109 1.0943735661714324;2.5785764020
1.4720482110210096 0.6604340173326605;3.081749475625
-1.074527285929081 0.3027728780853139;1.7875928981953
-0.9169140145153339 0.36671234011670534;1.3514213095942
0.8813878893767438 0.5143308193858709;1.161718541723
-1.0307697403564546 0.30226388103050167;1.754438136581
-0.4323073538642511 0.3828853993369247;0.6310662147417
-1.149120109366652 0.5661625307586484;1.822271924114
-1.42034055650777 0.0777185745517498;1.6680398317757
0.9276079012274754 -0.2730936351937594;1.510749915321
-0.7729408785512211 -0.2627592242312533;0.8502471690933
1.0018567192561603 -0.1996560758113514;1.6092074019812
0.07025119767016863 0.20048267476404477;0.07623015037456
-0.875268779751378 -0.22747513338732187;1.2539498870666
1.1559697820933295 0.08071195881721602;1.2315780870859
1.4092529508790181 -0.4984428509484864;1.9765134590441
