Point;Valeur
32.84173508440162 97.36327316281171;20037.858328560
32.69501245426368 96.58148834124214;19724.496677973
32.42688134926973 95.05889601854366;19123.874067093
32.031403901060855 92.82154186182328;18257.575412915
31.518542873519117 89.91035019986552;17161.092521284
30.89595065923182 86.37256236451816;15875.174348438
30.166121888778918 82.268940358433;14446.622571330
29.332286562027058 77.64776215124867;12918.511986610
28.411603118079398 72.55478517639159;11335.618681205
27.399198669299047 67.04695225824402;9740.82701168
26.311328614576684 61.183577934482024;8179.627997989
25.154666457644907 55.03123672763104;6689.406429506
23.930483423025517 48.643240024571554;5304.823373805
22.643647183827476 42.0878355223159;4055.0875240433
21.30181424438241 35.41332357678131;2961.557710823
19.9151599803608 28.687323964222642;2042.5271625006
18.49493877900927 21.952143381224978;1305.6393883985
17.048109254772807 15.275815273418042;757.8741755169
15.57488092893207 8.70490276409992;394.55838682353
14.077919218203892 2.2908726571958606;208.7052008356
12.571809969848227 -3.9284118456807136;188.55321854497
11.065163654814853 -9.907343850975337;318.88325266618
9.55587865866956 -15.603293708051627;578.3157246524
8.049397938715838 -20.975278000075917;944.1827145951
6.559800646626719 -25.994351263873106;1394.0040130682
5.093336516543076 -30.642868299471566;1904.1663965024
3.650254117904445 -34.88324098446943;2447.272831544
2.2315211323137207 -38.700085575820246;3000.7718000825
0.8406887854325444 -42.08440184438138;3542.784563701
-0.5175323813447152 -45.0246997574016;4054.399049505
-1.8387206040526143 -47.512378072079414;4517.941188459
-3.118290616337757 -49.541004187352165;4918.2343741626
-4.348773044244409 -51.10327358020158;5242.222297557
-5.519969864757764 -52.19688781881278;5479.776310604
-6.634392568899969 -52.837030686383066;5627.361146520
-7.691675574497022 -53.03619893604472;5684.878846691
-8.683793255334365 -52.80260952073424;5651.564316413
-9.61063446481101 -52.14879763840007;5531.700107722
-10.476934804834002 -51.09883791848558;5331.922934872
-11.276102451307091 -49.66981693135764;5061.223994823
-12.003498102412156 -47.894144333180165;4731.415539484
-12.658793826819467 -45.78913837440592;4353.483084745
-13.245762554743786 -43.38796600279873;3940.232499779
-13.767791801852189 -40.71675368480572;3505.689821496
-14.216243475850481 -37.803092301851;3060.6042436198
-14.595150600423551 -34.68845041027902;2619.5615500158
-14.9024753143118 -31.394999847108;2193.488117861
-15.14635092760426 -27.956682793239043;1792.381731706
-15.319759345594823 -24.40402853265874;1425.410806167
-15.421082397502788 -20.780767823742227;1101.5466132235
-15.452134695952802 -17.1138455513921;824.3659742190
-15.414873688246137 -13.430365191657092;597.9725960025
-15.314730662010746 -9.77037656461757;425.43696150527
-15.161349776201098 -6.152170188136032;305.67370388843
-14.952542418012245 -2.5999810703961783;237.28222822352
-14.686202527187913 0.8598827970956817;216.92128405394
-14.373440077692539 4.1941877265817595;242.2709334482
