Point;Valeur
34.15130492692404 -49.10737519061741;5989.2754331143
32.92130492692397 -47.87737519061734;5668.511271997
31.315854885777224 -46.27305459788096;5263.046323371
29.504875776781212 -44.45528632868164;4822.859490698
27.56811737266546 -42.51328751676872;4374.663858106
25.567392978764296 -40.50100900152823;3934.253059349
23.5445993273074 -38.458692630597284;3512.3695393684
21.52961978212891 -36.41693138533907;3115.8521695837
19.545769459100256 -34.39795919267943;2748.522063123
17.61230845419346 -32.417291323982084;2412.074547287
15.749255793210256 -30.48568660092079;2106.731364919
13.984284645200594 -28.608058023397646;1832.0463069625
12.314151800019621 -26.785144299254558;1587.0744908293
10.738695240428761 -25.03109311528151;1367.938435575
9.254852796871683 -23.34439568454918;1175.4573599423
7.888125598753305 -21.735648014251137;1007.2266460933
6.640952008697642 -20.198593833325074;860.0009779684
5.499768826991261 -18.73157093664625;732.2628280130
4.441068270133798 -17.337553300572342;621.1897361634
3.4989030055431756 -16.02330316630869;525.4636292181
2.634363745428172 -14.779204547548343;443.76479740047
1.8705274432247228 -13.608435526111922;373.71702108317
1.2140865312491231 -12.500168814382702;313.57279002358
0.6568807131291466 -11.46000518643895;262.5508304201
0.1762870860509751 -10.488965794603532;219.8177352673
-0.25306130617962597 -9.581861485178543;183.7618816364
-0.6018619254313289 -8.729402530834687;152.79208575797
-0.9011181051286086 -7.934092558328388;126.7012133782
-1.1285999944532872 -7.200356955581518;105.29661607095
-1.3245378987811545 -6.515619967008714;86.08741456895
-1.4751748517209813 -5.8805830034658575;71.24947281796
-1.5656146671332662 -5.301025591405213;59.0511993932
-1.6066679631261405 -4.770418869707621;48.619307674095
-1.6104215085288438 -4.283216315082901;39.80012859737
-1.5829993133261235 -3.837817600490439;32.30115850113
-1.52566939815293 -3.434886638065662;25.805049903169
-1.4388407968102461 -3.0701198225880315;20.579874892849
-1.3305661571959326 -2.7301975825051277;16.649841337878
-1.2215380129658795 -2.4177580449660696;12.891629168136
-1.1289605418781632 -2.1389123117723523;10.577528013570
-1.0528461674090814 -1.8779238897991077;8.41494849968
-0.9831757980834733 -1.6480995329928807;6.775476307597
-0.9080876784138114 -1.4328693299580244;4.939017892880
-0.8181711686061587 -1.2437242951922616;3.9995097929825
-0.7126171913913767 -1.0724575645919094;2.364117723765
-0.6057464081737494 -0.9127714523752566;1.6533698726589
-0.5170401428981384 -0.7759926354651951;1.688882465811
-0.45318749422830296 -0.655777676348966;1.2991884766959
-0.40975430211849345 -0.5418476469929336;0.7384203709839
-0.37969907714999185 -0.43715305063460796;0.6010614571725
-0.35701703915102034 -0.34966004292601405;0.7522043737861
-0.33714915857903366 -0.279167305053695;0.8307460549961
-0.3164887635085717 -0.21952997822846987;0.7525034278865
-0.2918201837148516 -0.16445269926946346;0.5497784045523
-0.25992056819439924 -0.1101379417069642;0.27084025728525
-0.21752672818837535 -0.056184083889094565;-0.02107367290084
-0.16214309599170576 -0.005315900977300669;-0.26581480842490
-0.09437662540717855 0.03843108457654769;-0.4250617217178
-0.02111009950371251 0.07204199535947511;-0.4561406655381
0.04511010617461557 0.09450392034024441;-0.35809160467842
0.09313283368742653 0.10631997552420518;-0.22550732446118
0.11842555641456516 0.1086755627759723;-0.15113905759308
0.12166916123602783 0.10292517586356252;-0.1641370967134
0.1058893141594715 0.09045126898495166;-0.2528036385889
0.07546708991479605 0.07274444649803516;-0.38191663740642
0.036481565803732775 0.051539777936860424;-0.49909550895198
-0.0034085466754443586 0.028856978806864324;-0.5599591834469
-0.036684669302648076 0.006846143927265118;-0.5597719280523
-0.05820018040272471 -0.012527750094362383;-0.528824852725
-0.06604321845256621 -0.02779847008219042;-0.5009188325813
-0.06101647696978247 -0.03815448643259488;-0.4935401819740
-0.04584361508763143 -0.04341244411558797;-0.5059175399690
-0.02457135740052881 -0.04388957278950287;-0.5260174608383
-0.001910406809850558 -0.0402628231697617;-0.541624557824
0.017702641704328326 -0.0334533079986744;-0.5489032718433
0.03104620421824486 -0.02453110216745303;-0.5518824542713
0.036610729300113914 -0.014620951755975182;-0.5558370980203
0.03456409885561676 -0.004799440708964844;-0.5624725940621
0.02641289240620383 0.004006884642779837;-0.5696679379953
0.014548316642298558 0.011101663968617594;-0.5740058872628
0.0017216248792776626 0.016060558223667722;-0.5737584428710
-0.009515270353648962 0.018732155490785787;-0.570280352101
-0.017286472923522374 0.01920743571657935;-0.5668739748630
-0.020658852817704455 0.017771031073656945;-0.566320100788
-0.019666045666634865 0.014844609663418974;-0.5691765260422
-0.015146394571939774 0.010928285281839447;-0.5738440803423
-0.008469429815513073 0.006543533875667847;-0.5779413160711
-0.00120907192454599 0.002181039272259303;-0.579864387519
0.005180914888322732 -0.0017424320160855863;-0.579542398275
0.009627450898376048 -0.004914311613536303;-0.5780911425119
0.011586055407666428 -0.007141585442228832;-0.576850173761
0.011062390137469185 -0.00835158249945252;-0.5765684736509
0.008526741939418844 -0.008580586790021837;-0.5771856884737
0.004756651556024925 -0.007953685362076399;-0.5781520307306
0.0006463263649424547 -0.006659376203533715;-0.5789254677045
-0.0029788623449457886 -0.004922111226222061;-0.579289006320
-0.005508453665903537 -0.002975512254823546;-0.5793520370277
-0.0066302633617484116 -0.0010385763854002827;-0.5793444999679
-0.006344203575839628 0.0007032983310071297;-0.5794117112175
-0.004915166936633253 0.0021112687744724475;-0.5795465526043
-0.002783545580927382 0.0030995403436408307;-0.5796574405255
-0.0004562777017695064 0.003635704811677666;-0.5796784019055
0.0015985976477374403 0.0037358366512821126;-0.5796269906973
0.0030345012543226842 0.003455648944764385;-0.5795802670480
0.0036735516613172862 0.002879175839077951;-0.579606890039
0.0035147683680520963 0.0021064388443184936;-0.5797160994270
0.0027076839107385425 0.001241420014620553;-0.5798578358124
0.0015016235379486076 0.00038144215925675433;-0.5799641941238
0.00018380258900282422 -0.00039123103513075716;-0.5799958260959
-0.000980497348189811 -0.0010150887490630073;-0.5799613887775
-0.0017946993716025715 -0.001452207973365145;-0.5799030242262
-0.0021577289247221958 -0.0016883811116464335;-0.5798645923043
-0.002068757632551472 -0.0017309315622578765;-0.5798664710070
PointOptimal;ValeurOptimale
[-0.00206876 -0.00173093];-0.5798664710070767
Temps;Nb iteration
0.008480072021484375;112
