Point;Valeur
39.467188812496914 -21.201464940725472;2456.8014400748
38.13450866947129 -19.868784797698908;2243.710277681
37.18039413693489 -18.96254222378828;2101.24946879
36.42526374138868 -18.194983045040487;1989.3246270942
35.745187319084124 -17.49531572249586;1889.8325784316
35.118885975994424 -16.882770956151596;1803.4953399315
34.537701120723824 -16.338813752573383;1726.7850814327
33.987167188010645 -15.82247958715815;1655.7031162910
33.44447490768842 -15.327994585426696;1588.43375346
32.90517437153361 -14.85512231508139;1524.3569919588
32.388330489074875 -14.40283900254105;1464.052119929
31.911618398217087 -13.963954965624913;1407.8818984000
31.449889130837466 -13.524667415761032;1354.5256522545
30.96654554840816 -13.078926691429015;1301.175594560
30.505073303827352 -12.632958604468337;1249.7564008709
30.076039968804896 -12.19624882285893;1202.0574676297
29.620561038208635 -11.781164196368099;1155.5002172461
29.176895481762447 -11.402370490190265;1111.1960412875
28.765754029573483 -11.045019177374774;1071.0387098598
28.32311400838242 -10.650931641605128;1029.4717227694
27.899713714555595 -10.253319637400516;988.7592288604
27.497465677806403 -9.89237417036388;951.7609392572
27.062004356998706 -9.564496390607275;915.3685178949
26.66176553064409 -9.187996670048637;879.5878485852
26.2531028315623 -8.819332667891345;845.1851912668
25.832405529684817 -8.503917988834212;811.6693803433
25.449283838633534 -8.1647140196459;780.9871680925
25.027937124418635 -7.802848913276782;748.6766886681
24.633954884189137 -7.499400484930403;718.7479013281
24.242136726763793 -7.177344499306953;691.0767656501
23.82919228459361 -6.830913354442682;661.3121732667
23.456979058883043 -6.553427884035281;635.7871400359
23.042826321109015 -6.220969994406647;608.9102472345
22.660802409302814 -5.905803870089833;582.8637631964
22.271829778236217 -5.650382932881336;560.2268565489
21.870601998350573 -5.316462934040437;534.9374554924
21.505947190826266 -5.0664189382690985;513.6717693478
21.09568732869401 -4.750769367978501;490.6336821614
20.7309163039241 -4.4790695264925855;469.37798918114
20.33325608799304 -4.225711095118044;449.7216299369
19.951915097454677 -3.9481604186308443;428.76248087809
19.582626030500272 -3.727552884688616;411.7481905766
19.184780802266214 -3.460953632569528;391.7142817351
