Point;Valeur
44.933697600271785 64.892701944711;10441.34424709
42.00859076461603 61.96759510905525;9444.13126399
37.98191752302893 57.93597288918444;8155.2901598383
33.192303054049496 53.13017604455902;6747.306612624
27.84889926735263 47.73153330521313;5332.388374356
22.10550689032792 41.87798976290385;3996.011463693
16.06157217767899 35.686826926917135;2805.01875247
9.86464370473903 29.24248126124642;1807.7481184524
3.721029103207762 22.645252171099123;1039.7929194910
-2.214777041225447 15.98119930484918;515.5618932457
-7.737312414762214 9.365948463992577;235.57568768926
-12.744894375067013 2.917621143077497;179.0923703645
-17.003548908687254 -3.2543444052445514;310.88160555162
-20.43890452891565 -9.054395158459345;581.6592223152
-23.0312859401475 -14.361201287990376;943.263698495
-24.737397074266354 -19.112230789027503;1342.213033364
-25.55055767486058 -23.18791633960509;1728.5265490757
-25.53471864601504 -26.54337631653727;2060.980507546
-24.78066698034172 -29.158389793118726;2314.4760436791
-23.388655860609845 -31.026875742419744;2471.8389406665
-21.467120765327074 -32.18356516411709;2532.4974861085
-19.09323672891639 -32.66048467434779;2498.2784037339
-16.40870807634958 -32.506345465619056;2382.519013735
-13.491015726508046 -31.79141451303098;2203.6131362278
-10.369077075781316 -30.582970908909676;1978.2960131964
-7.16633200582058 -28.921825634313453;1724.145841479
-3.983063443390337 -26.891486300459537;1461.815084761
-0.8657272949134058 -24.55135909865445;1206.1544454037
2.1516699867042695 -21.937513675039593;966.8984112212
4.930157975806544 -19.123083263822394;755.9216611575
7.424094555124588 -16.14015383312127;575.9825358333
9.578157113436948 -13.042805791706776;431.93173620009
11.355184374393748 -9.889534554109028;324.20148170709
12.750060304988828 -6.750791518529759;253.77838475113
13.73138198974108 -3.660980482764932;215.72464504053
14.34492856376739 -0.6533663717005038;207.0266702364
14.581666250088112 2.2290144031325636;222.62354812810
14.479776293769106 4.928776408615386;258.13129041726
14.071026814314418 7.425724248467019;307.8746661607
13.33104443442372 9.689070502483544;365.3748484406
12.318140342506702 11.671040405656143;424.61298898856
11.066430812020053 13.351052312265782;479.29317894537
9.641112913254721 14.743389197955993;528.2564841702
8.057792808788479 15.82539300934677;565.7210246201
6.351789508016721 16.609268470224325;592.3213081978
4.590034040064766 17.073372444372957;603.6742306626
2.8311206916360323 17.2312181730843;602.110985597
1.0614578595342183 17.10578754910494;586.5267481945
-0.6272459470044651 16.70525117845438;558.48162382
-2.2296755872285265 16.057630306588663;520.6245733224
-3.6729060325939153 15.185205000299128;475.1628203440
-4.960412795500335 14.113088575248835;423.20183884202
-6.055406714233077 12.86514211905103;367.4662933116
-6.937323478726706 11.495867115756177;312.40591932154
-7.594423384953095 10.019878188927846;258.4329811467
-8.020698427208766 8.461016865965405;206.96783683993
-8.232866770601596 6.856529888009723;162.04377281263
-8.217173175089263 5.239691736471222;122.84579968594
-7.9838420786055915 3.620945532226176;89.6534395003
-7.583593051254105 2.013357844867717;65.55468934751
-7.0067843478714895 0.45211998006785437;49.572410448681
-6.300510268055021 -1.0310986577368473;41.84962842546
-5.475709899475675 -2.4197188957056466;41.47620219724
-4.535823322545318 -3.7136170796096195;48.307463795860
-3.5693657576152424 -4.879697212582263;60.5291956162
-2.5438461171098927 -5.925873572622633;76.41557806600
-1.5405239708762275 -6.839099689805682;96.15367354684
-0.5216980793095234 -7.613083224075299;116.08754444738
0.4268497944120375 -8.216813994894688;135.66109629169
1.3436626116449242 -8.657540179039225;151.52418472322
2.1809753682725677 -8.929734211682792;164.09953698514
2.894223551019161 -9.060845439413058;172.53517429381
3.4780484651122627 -9.036147477335092;175.08751269678
3.920896203658661 -8.867476196231962;172.44371155284
4.273645881903772 -8.58416192755936;165.7560243364
4.493214490612323 -8.171238483576069;153.90011818964
4.631044663208983 -7.642138597910359;138.0277267861
4.6662890831128445 -7.008988795163964;119.44788795466
4.592701081073267 -6.298321299673476;100.4305411647
4.438137158482329 -5.5340209246362155;80.85820763356
4.2164432090809525 -4.717218768868647;62.674909761747
3.8801589783761496 -3.86316801886889;44.81710620922
3.50082718496726 -3.005459820258609;30.04436599849
3.0276991201398333 -2.1431569442296405;18.706374411909
2.5169519627034918 -1.2774675231778103;9.814652136700
2.0057488448171745 -0.43956032556676905;3.906846137213
1.472043154603593 0.3542819996685249;2.411885142348
0.8996570632539468 1.1164526318722685;3.4478491613577
0.30863208466888636 1.8101191680108912;7.144047533712
-0.26771058119135926 2.4507944693626404;12.10072770608
-0.7904424565255286 3.0297304538392655;18.604652255478
-1.2390826975596163 3.528140672021618;25.978982988193
-1.6622414270494037 3.9425394311188087;33.939897186398
-2.024712509103083 4.284393360010934;40.773867043304
-2.3149720490417285 4.548709338661161;46.80696392605
-2.5317691044504764 4.721683311782059;51.17241186949
-2.7105714027639056 4.808276389396849;53.519774804452
-2.804789515106223 4.825282147286162;54.517579707101
-2.7981025474427037 4.777821413227165;53.64980181577
-2.6963266177884777 4.663447809225407;50.607393014566
-2.52838506087817 4.470547138206071;46.02397151525
-2.3418668560427256 4.222946910235078;41.71390696334
-2.113116786916259 3.9177460041425696;34.87439176287
-1.8183569703552283 3.5787123664345684;28.809153631325
-1.5285156701535423 3.189707213782541;22.96788806425
-1.186233814068185 2.7612386188388935;16.87822859976
-0.8656161741769058 2.3131418350296302;11.73680401543
-0.509670281652251 1.8611020436214307;7.208514099095
-0.1921609142241763 1.4160156501840149;3.980506573926
0.14586225813399767 0.9828661308067641;1.6213457518470
0.4316021478090786 0.558812805132368;0.7841479149731
0.7193880775150197 0.1378653629973598;0.3368826965486
0.9605710411944416 -0.27787328765657143;1.61964592849
1.155603283077687 -0.6733883486256673;2.4335057281224
1.3467912280212337 -1.0275809451415086;3.364751742861
1.493044232483828 -1.3435763125039593;5.927638529442
1.5645526221507655 -1.6356350361732606;8.007202966195
1.5691937349629823 -1.8741197055923664;9.672181185565
1.5110166552382807 -2.0852812136265912;10.877036628261
1.3879104166174219 -2.2413846477965764;11.991086424429
1.2224427464942527 -2.3532714123077034;12.495106665975
1.0651701661495665 -2.43609247931243;13.054391383562
0.909867795553579 -2.486645434085378;13.116717028308
0.716365618950277 -2.4981335750889295;12.446912114248
0.5008777776028419 -2.470325072547039;12.19265234504
0.3173456267349639 -2.4102765250006755;11.89607698839
0.13056704540167005 -2.3279247863403754;10.911548857715
-0.08109937760428548 -2.2246350974866074;9.953924980523
-0.2575546422264723 -2.087300366543083;8.878922998889
-0.39761017023025913 -1.9118165804448588;7.589823935196
-0.5402365808091043 -1.727400829145523;6.4174084505306
-0.6938763529152704 -1.5211635815333635;4.548996204598
-0.8153019225234778 -1.2976625468079708;4.213096430406
-0.8790228792742668 -1.0726399482597875;3.027798118628
-0.8889313114607013 -0.8310000112408729;2.4684736417440
-0.8488681173363062 -0.600028268504584;1.3979815781903
-0.7581542682609814 -0.35791920893363915;0.6954308567446
-0.6290370987371516 -0.13568874371002596;0.188676403292
