Point;Valeur
46.89527459039866 10.23547884459262;2409.1375396266
44.493274590399956 7.833478844599567;2102.5368246780
42.89022150052322 6.482507256223325;1923.4968899115
41.535178731372 5.407542182699718;1783.6404127449
40.38027331891546 4.66043280401789;1674.3974536829
39.40174433254238 3.829428939195639;1581.7384591181
38.48622127392435 3.3674382516479584;1503.9339243484
37.690386179423214 2.9992782800321494;1438.569097171
36.92958233595551 2.564522592539298;1376.9910303867
36.19683179336093 2.1076512237756297;1319.1186040971
35.50014900447356 1.6908555871738402;1266.1851460503
34.84157712705388 1.3725565815175305;1217.7352011946
34.21707296021513 1.3038820523617116;1174.5637481885
33.62482268337411 1.1992529285642772;1134.0070570027
33.06982151587987 0.960886073243593;1095.4502020530
32.558682881179045 0.8853323256979863;1061.4416131182
32.071362920383734 0.8835048971893696;1029.8689479870
31.57048823569987 0.8822618692103006;998.411944343
31.084005412160366 0.8813799124960183;967.9574134496
30.643885371150976 0.880736219333033;940.28582576
30.20727340034288 0.8802570197910474;914.1226178936
29.761626182461942 0.8798951230389364;887.473272955
29.3620658294314 0.8796188971190588;863.3730583577
28.953454863573572 0.8794063714915238;840.1053576471
28.55310045766281 0.8792418601976738;816.6668112106
28.187407431788348 0.8791139207890669;796.1194219419
27.79671512781322 0.8790140642018309;774.2900779598
27.450726721082237 0.8789359080515663;754.9392478308
27.0798408311814 0.8788746029777923;735.0679912635
26.745837607639235 0.8788264337621032;716.6507541463
26.39525572947564 0.8787885351931624;698.4910828652
26.074035263129073 0.8787586860019969;681.1566443706
25.738978507417926 0.87873515724209;664.259212161
25.432947501328137 0.8787165984466909;648.1888149406
25.108653177432817 0.8787019523647303;632.1316554785
24.819109507861537 0.878690389469825;617.4793135035
24.504207522958005 0.8786812577609998;601.9755062659
24.22870978155566 0.8786740441992621;588.727186416
23.927971411621648 0.8786683447924484;573.845541243
23.656984161204374 0.8786638409697215;561.4828646496
23.379120702438666 0.8786602815381337;547.8420007975
23.100969616263793 0.8786574682164284;535.3601208295
22.847697563731902 0.8786552443529787;523.5889872378
22.569775916708906 0.8786534863954472;510.74262716685
22.325190816992613 0.8786520966183772;500.244475378
22.07085146670288 0.8786509979145751;488.4181344475
21.812198676385698 0.8786501292940788;477.36258687648
21.583006856926808 0.8786494425427802;467.56887661097
21.330989403376243 0.8786488995689787;456.2423954431
21.094463808770712 0.8786484702609688;446.6963702612
20.87337411032871 0.8786481308360067;437.339504622
20.629315238517524 0.8786478624644488;426.818258007
20.40868644902854 0.8786476502673389;418.27316800375
20.196080961097763 0.8786474824908912;409.49500528142
19.962019321280252 0.8786473498382148;399.73244458990
19.751447354801734 0.8786472449582797;391.86010462259
19.549484250291183 0.8786471620135036;383.84844400770
19.32613728355056 0.878647096443889;374.73148531265
19.12051385527269 0.8786470445935763;367.2516810865
18.930381415330032 0.8786470036125672;360.1282597935
18.720229260225757 0.8786469712012079;351.7156177640
18.51494806831954 0.878646945570879;344.2923902943
18.334396753907054 0.8786469252867536;337.9813025800
18.141764394469053 0.878646909267798;330.58506376687
17.937287098235895 0.8786468966098748;323.028375814
17.758107339328063 0.8786468866053982;317.076909451
17.584247508026642 0.8786468786647135;310.9509255864
17.391317188808706 0.8786468723947174;303.7328199246
17.203617822889395 0.878646867441617;297.3933016827
17.039616959184464 0.878646863510585;292.1590892479
16.869347820060415 0.87864686044438;286.2059936795
16.682347724595335 0.878646857987485;279.53520926733
16.50926726185852 0.8786468560612792;274.0609495778
16.354850460477305 0.8786468545281767;269.3061991948
16.190913680279184 0.8786468533292119;263.74486078914
16.012188867979365 0.8786468523661091;257.6233830073
15.848018711238224 0.878646851619213;252.64952090286
15.701649364352106 0.878646851009903;248.35684752915
15.547540185197182 0.8786468505283516;243.38718331747
15.377901066902593 0.8786468501549035;237.73713287400
15.217359119505932 0.8786468498502485;232.96129318285
15.077108365989886 0.8786468496242142;229.07461547486
14.935346813470034 0.8786468494374903;224.84180520504
14.777814909527725 0.8786468492999041;219.7651177491
14.618048084114665 0.8786468491721455;214.94949062886
14.478578456570903 0.8786468490836973;211.22060479817
14.348269614238953 0.8786468490050766;207.70108666944
14.207694484723403 0.8786468489362835;203.50293004252
14.053849357144777 0.8786468488871456;198.77970906307
13.907960641305795 0.8786468488576629;194.7685505905
13.781164354617824 0.8786468488380077;191.59333682482
13.65745351054527 0.8786468488183525;188.35611945279
13.521674654808649 0.8786468487986974;184.42775709341
13.375069704077818 0.8786468487790422;180.1466145274
13.238406892657192 0.8786468487790422;176.59889530445
13.119382988959094 0.8786468487790422;173.77873347055
13.003365079148606 0.8786468487790422;170.91856583472
12.876607260195643 0.8786468487790422;167.45721804640
12.738182377779486 0.8786468487790422;163.5581078581
12.605362147146739 0.8786468487790422;160.1750652615
12.49010246473743 0.8786468487790422;157.56181695186
12.382269388496805 0.8786468487790422;155.12046273231
12.268046068009442 0.8786468487790422;152.2811446280
12.141064530566743 0.8786468487790422;148.86497332115
12.010100305636271 0.8786468487790422;145.47508090315
11.892542600200924 0.8786468487790422;142.80492692551
11.789130403388382 0.8786468487790422;140.6362058339
11.687719403341474 0.8786468487790422;138.42811210024
11.577609495680667 0.8786468487790422;135.7726402887
11.455872946833276 0.8786468487790422;132.6470376617
11.333139348899117 0.8786468487790422;129.67126132076
11.224169850638939 0.8786468487790422;127.35845867181
11.127950934548148 0.8786468487741285;125.46955849050
11.03378688469838 0.8786468487692147;123.56058440499
10.932191187308742 0.878646848764301;121.28481038771
10.819358868266619 0.8786468487593873;118.55034190231
10.702391358550626 0.8786468487544735;115.78923882938
10.595587296991518 0.8786468487544735;113.56251971328
10.502733795554212 0.8786468487544735;111.83090172846
10.415944931703233 0.8786468487544735;110.23669221646
10.326038214234677 0.8786468487544735;108.45756971395
10.226676523483649 0.8786468487544735;106.27689760257
10.117918006233666 0.8786468487544735;103.77044279904
10.00959896678142 0.8786468487544735;101.42451162891
9.913224642098461 0.8786468487544735;99.59809612307
9.828840815669759 0.8786468487544735;98.15002359701
9.748926242429372 0.8786468487544735;96.78704409405
9.665808402024961 0.8786468487544735;95.25905556784
9.57405003421089 0.8786468487544735;93.38643158445
9.473086067076974 0.8786468487544735;91.19528902466
9.370463798209908 0.8786468487544735;89.05498778279
9.27724429618386 0.8786468487544735;87.33942490040
9.19628116794408 0.8786468487544735;86.02015054919
9.122228915076636 0.8786468487544735;84.86827740198
9.048278158758382 0.8786468487544735;83.67202782396
8.96874278349442 0.8786468487544735;82.2566366113
8.880279975363925 0.8786468487544735;80.51903537228
8.784545531829112 0.8786468487544735;78.56631903574
8.689882301988893 0.8786468487544735;76.75242029737
8.605200942761217 0.8786468487544735;75.32964289598
8.531524179379078 0.8786468487544735;74.23029118650
