Point;Valeur
46.89527459039866 10.23547884459262;2409.1375396266
35.165086974085824 5.162908105471473;1290.0274435230
26.92970456498344 2.2620329015579443;735.9559123366
20.14679417203908 1.2230654508447003;409.09334728
14.892019631273996 0.48390402537492605;222.12388275735
10.96492571574501 0.3337063955432029;120.87493505008
8.177662654778857 0.5437253774952922;67.25769136678
5.8392214954726285 0.05395479117439095;33.86762081305
4.758846034782636 -0.24186697398874912;22.848423931395
3.334191365641672 -0.07979609604227278;10.678939930768
2.5176844522276554 0.32082654202792327;6.6710521923173
2.2434969450273456 0.49798868818356823;5.44809376535
1.437782811748427 0.2655247016420681;2.31690904802
0.7995390654865542 0.219403992717071;0.901153373103
0.2767906700927081 -0.048448118978170474;0.11001738497239
0.034136460311752215 0.22044566374047558;0.07466139164573
-0.08343381288501817 -0.04269095158706937;-0.44198987465994
0.18094211842810515 0.19728672492105803;0.3716080473425
-0.20502760244348994 -0.16280986913475404;0.3292537187629
0.16769114551773157 0.2984583643741828;0.4388421311106
-0.21816686749173864 0.39854960873633327;0.4235860647354
0.14023449440348335 0.6145613935840372;0.6644486604698
-0.22833345607870925 -0.11098344889563128;0.19241416151070
0.11576582659114654 0.3657302604993229;0.17499994974833
-0.21857747707280217 0.6136188305484702;0.9019116701062
0.1392995532642327 -0.11077431890557543;-0.08236538711614
-0.2282792957417753 0.36563750084845414;0.5169389143711
0.11590333578549472 0.6135132046326514;0.5878368075455
-0.21867940657098262 -0.11074716687934194;0.16371142223582
0.13906675696854254 0.3656252435760643;0.2424529898010
-0.22826178028252897 0.6134992038783016;0.9290779100539
0.1159477901900644 -0.11074351168338548;-0.14992765290
-0.2187122486378248 0.36562358975138654;0.4894365417329
0.13899168928237704 0.6134973140381489;0.6543793070851
-0.22825578999680318 -0.11074301729291192;0.19125583179529
0.1159629917889613 0.3656233659917846;0.1757576049638
-0.2187234669507495 0.6134970583323068;0.9016168289757
0.13896604070661878 -0.11074295038097481;-0.08349211092218
