Point;Valeur
61.83061463583829 -95.20114017778383;21949.77563415
61.51581311107502 -94.88633865301095;21791.034572710
61.19473793578986 -94.5743444519243;21633.164320740
60.88422553653248 -94.25956584711854;21477.03684600
60.564812168408515 -93.94757340765811;21319.996102950
60.25666597492199 -93.63755862670594;21167.119602961
59.94083865117663 -93.32452013887585;21011.74763832
59.63385950001482 -93.01684412334849;20860.47580254
59.322937477291475 -92.7074714445258;20708.503829636
59.01605432754665 -92.3982315097392;20557.977027201
58.71095904734008 -92.09376990404208;20409.120297648
58.40359174224339 -91.78523618920622;20260.528287616
58.10455645659449 -91.48125369809698;20113.34101717
57.79714539098111 -91.17768023542571;19967.521223009
57.50332977265585 -90.8722695262971;19822.190691343
57.19762990580618 -90.57268182586205;19678.132835887
56.90689793354102 -90.2691225044692;19535.887673068
56.60564335614167 -89.96933885478798;19392.65151933
56.31497554439805 -89.67088027295038;19253.55816673
56.02075468651744 -89.36999734192747;19112.04111723
55.72782562011889 -89.07516636254995;18974.448494904
55.44154007578797 -88.776233715941;18836.31157936
55.146862871847006 -88.48141128712815;18698.880045198
54.86657799355967 -88.18727211141594;18564.621194346
54.57404539036764 -87.8914309452341;18427.883519584
54.29511263496746 -87.6012780902569;18296.125610940
54.009654715683595 -87.30660987003488;18161.844386765
53.727477108097986 -87.01741695619162;18030.682246741
53.45122714760678 -86.72669906344157;17900.209330246
53.16613074559387 -86.43670953173347;17769.052469612
52.89598868695951 -86.15049480587072;17642.056344759
52.6141465967047 -85.86048774571098;17512.081921941
52.34304770852078 -85.57689892164566;17386.7455169
52.07058209062026 -85.28909694562113;17259.81648144
51.794418537512286 -85.0059022637154;17134.496979556
51.530778954256725 -84.72207355409472;17011.429418854
51.25490525160716 -84.4383922831505;16886.327588714
50.99214446455704 -84.15860714240138;16765.9550532
50.72534913479676 -83.87513058169289;16642.880370698
50.45665963799099 -83.5980352135124;16523.163574923
50.19973633828511 -83.31628785575349;16403.50151333
49.930653101163514 -83.04026714724885;16283.958969431
49.67418063080766 -82.76164247455412;16167.079408237
49.4151450517036 -82.48572639776322;16049.156019045
49.15188685087399 -82.21080620644109;15933.429669008
48.90216972289114 -81.93491166655504;15818.071518193
48.64081023971096 -81.66336980069482;15703.579055579
48.38828680568358 -81.38807471151901;15589.67856732
48.13890118649381 -81.11905704574698;15477.85813594
47.88021365319247 -80.84521833117003;15364.387593597
47.636397836936474 -80.57781570704493;15254.926578882
47.38524061924621 -80.30622698993965;15143.489370847
47.133998460172144 -80.03977800762893;15034.19111138
46.894378455773385 -79.77095527536837;14926.326924908
46.642980980020795 -79.50513890896528;14817.129928113
46.40056571816692 -79.23926085232505;14711.252635461
46.16209815674593 -78.97404849528165;14604.461822296
45.91329241430593 -78.71102062986276;14498.92175343
45.678327757693125 -78.44657097660308;14394.317587856
45.44006913898473 -78.18614429669455;14290.980208694
45.1960904412669 -77.92269863275598;14186.34042313
44.96651996248299 -77.66458017190253;14085.980727272
44.72886885378139 -77.4023844083708;13982.585561581
44.49066711956074 -77.14631024228136;13882.62627171
44.26499036187092 -76.88556872607765;13782.373539712
44.028838635497145 -76.63133822156131;13682.99591788
43.79631754094752 -76.37219423626166;13583.653954935
43.573817872116614 -76.11967669996213;13487.2615300
43.34000948243973 -75.86221145324703;13388.252072894
43.11254181308408 -75.61133746272158;13292.938613642
42.89308817688647 -75.35557971028275;13196.971618310
42.66222109154483 -75.10632609947703;13101.620707762
42.43901943835515 -74.85226647355425;13007.035951590
42.222807083358774 -74.60464005942929;12914.550645470
41.9952699293466 -74.35224654921865;12819.895101815
41.77553593293322 -74.10626865586536;12728.763665360
41.56287543661915 -73.85550178215503;12636.97837589
41.33899363423131 -73.61119372190815;12545.780168598
41.12193889321197 -73.36202132228921;12455.154420093
40.91308343891642 -73.11939011629735;12366.955944440
40.69328431183739 -72.87180214103446;12276.26312216
40.47814547874237 -72.63082576587821;12189.035800608
40.27311415196502 -72.38484905010547;12101.274866983
40.05803911227629 -72.145461341241;12014.396660334
39.84419948542969 -71.90117301572177;11926.996484500
39.64257286530634 -71.66325011020416;11843.198177877
39.43305225828547 -71.42078631801563;11756.493708908
39.22034650828613 -71.18413919066246;11672.642995084
39.021076182169615 -70.94369359089109;11588.741023193
38.81787521762956 -70.7080743954668;11506.289483783
38.607025281763924 -70.46987957763665;11421.996235105
38.40842976716398 -70.2350116077755;11341.6241809
38.21173122359375 -69.99929747106728;11259.78332754
38.00459835626859 -69.76493651442044;11178.617593832
37.804900289504864 -69.53186412181988;11098.392324565
37.6136437489104 -69.29788916650226;11019.675205764
37.41278309639975 -69.06746668854917;10939.941240707
37.21148038266944 -68.83397965408471;10860.942834177
37.022923313373454 -68.60597820746234;10784.484073789
