Point;Valeur
63.17128073370222 -71.86709790742512;14320.384949454
60.769280733703006 -69.46509790742527;13343.28133426
59.068414807874156 -67.78982836492295;12680.484710654
57.73746612781058 -66.4390831404512;12161.95229697
56.59420742742573 -65.28233028276087;11726.494095038
55.57917113648898 -64.25166651746501;11346.081152868
54.63121763880353 -63.31317535003496;11001.599177192
53.78273047869969 -62.45739428995048;10694.33119619
53.004357622263605 -61.659001945646786;10413.542747
52.25855083187836 -60.896401483040776;10147.853684477
51.54348769322318 -60.19518182145861;9903.986648345
50.86210701296626 -59.51477093991732;9670.775021698
50.213671202998555 -58.87089444377979;9453.120237763
49.5958510064187 -58.26539518490239;9249.971391656
49.008646975493384 -57.67726987871317;9055.652377477
48.455107207759184 -57.1034464855627;8869.552879547
47.9338463083715 -56.54915946306518;8692.796688624
47.42502839595722 -56.016974174521856;8524.467682014
46.91320889422732 -55.50482310829377;8362.345566952
46.41812326967649 -55.0094346406357;8206.649132373
45.95795138993669 -54.52798344903879;8058.195639654
45.505917218612474 -54.05824822863507;7915.185346073
45.047491260877024 -53.59874169733765;7775.1064146896
44.62024364967078 -53.149132557573964;7640.438602770
44.20339152512063 -52.710666971205136;7511.1169114044
43.779012366346585 -52.28598607790836;7384.649425794
43.38776667005817 -51.87716127369252;7264.7090370017
42.98804864917773 -51.48096167587099;7148.577230731
42.60190566754662 -51.08799886561062;7034.518238966
42.23233518114939 -50.69575862959691;6924.081500861
41.85349464948216 -50.313180722730834;6814.686949917
41.50389855085895 -49.946623230281034;6711.6956203455
41.137464677707435 -49.58630560130698;6609.8450873162
40.801184577662404 -49.22317643541596;6510.7535890411
40.44869281967071 -48.870048593878785;6412.816940514
40.123914042638816 -48.53120154804654;6320.107138319
39.78412669941731 -48.18968400064299;6227.605568544
39.470868117924624 -47.85205549475707;6137.586140867
39.141932550619515 -47.52972629521066;6050.04925918
38.84010380461574 -47.20464685420976;5965.365906572
38.52126471818991 -46.883631379985566;5879.947584633
38.22928125748084 -46.576408171273755;5800.207936284
37.922014441843416 -46.263281552890646;5718.715178711
37.635744068928076 -45.960398092223286;5641.206929065
37.343403525460204 -45.663600686823486;5564.690548202
37.05743994479013 -45.36329927638078;5489.209822325
36.78207592965642 -45.07764089537611;5416.612198766
36.49583547352927 -44.785735480461085;5343.73422277
36.233385600907624 -44.5047041134659;5274.092552748
35.95565667328587 -44.224635664781914;5204.437763264
35.69430395021596 -43.946792489639286;5136.7946461644
35.43486869937425 -43.67752373697217;5071.080954114
35.167836896383974 -43.40401687779939;5004.490954737
34.92279157964722 -43.14310100637909;4942.542860130
34.66395601180198 -42.87517766078627;4877.851038056
34.415369446149754 -42.62089800604684;4817.6998306254
34.17659281764035 -42.35908215398261;4756.706838611
33.923823230175884 -42.11065702085215;4697.1645109015
33.69055751467471 -41.85484177593586;4639.071825212
33.45573585409381 -41.61201854404103;4582.239407025
33.2125020475348 -41.36181994849967;4524.591151363
32.98996578676111 -41.12448325054448;4471.080929117
32.760167532988916 -40.879580538336455;4415.301816685
32.52642968873693 -40.64744643159051;4362.402409813
32.31215659970486 -40.40785988102544;4309.847426680
32.08898221423165 -40.18021905207258;4258.5813145962
31.86305415854835 -39.94647949102117;4206.394704249
31.655872830994177 -39.722071285675455;4158.341559964
31.440769597730345 -39.49511183645687;4107.811332349
31.220901334578183 -39.27242964352854;4059.5143374515
31.019607906427428 -39.05299654171792;4012.563876061
30.8138979390714 -38.83132147342587;3965.3308005601
30.599385405950574 -38.618962018154406;3918.907937551
30.401809131144823 -38.399632711207474;3873.487951728
30.206287306477453 -38.19182763233556;3829.9690871082
