Point;Valeur
7.3537873510123575 -11.58612018003599;322.12868325848
6.955509545886496 -10.303072396031414;261.1797286197
6.32611697162396 -8.52106364037158;185.26586511164
5.656277171572329 -6.651207289081811;120.85970586927
5.006640898572151 -4.928378071927673;73.76964179417
4.392466071452484 -3.4224200941676024;42.817129878426
3.7876875211030425 -2.2454421913279656;24.83525511558
3.174515850800831 -1.3521044634100163;13.791204045704
2.56302125228632 -0.6865457422730801;7.5394750869921
1.9705342424368149 -0.21021801403301854;3.9286170522782
1.438533534614304 0.006711502369731059;1.626230624406
1.080278069398926 0.04890206493258452;1.1611613180742
0.7246267767213823 -0.006384926915731615;-0.010275543112959
0.5354256168177162 0.008498487783315786;-0.08989271152914
0.4364632392936608 -0.004542033097375433;0.08009780442268
0.3765781289151131 0.0032227116200984115;0.13748714915579
0.32154703129346174 -0.002173296634131441;0.12165733203453
0.23770435156694592 0.001394254059668309;-0.03726818923734
0.09965012331894013 -0.0010171705844969543;-0.4471798483544
0.0019337590997708654 0.0006020722708929087;-0.5799376991293
-0.018680281048648058 -0.0004887147766103016;-0.5750078497629
-0.008652522219946671 0.0002454548550317263;-0.5789267201690
-0.0005409978510001381 -0.00024892121436140865;-0.5799943139211
0.0012043460373867593 8.394693842108086e-05;-0.579979054129
0.0005667864596855077 -0.00014019228502171183;-0.5799949246667
-9.665676951921016e-07 1.0731665580795491e-05;-0.579999997210
-0.00013396894990254582 -9.089396204688321e-05;-0.5799995437454
-9.40264668547406e-05 -2.2463762687544662e-05;-0.5799998611968
PointOptimal;ValeurOptimale
[-9.40264669e-05 -2.24637627e-05];-0.5799998611968111
Temps;Nb iteration
0.00193023681640625;27
