Point;Valeur
73.46429769099547 44.5880679103129;9372.970249752
73.14949616622849 44.273266385543685;9271.409476535
72.84126934442423 43.96325103381664;9171.15714985
72.52595017495129 43.65535776720111;9071.62557351
72.22055810378107 43.34271589423662;8973.24746574
71.90729998392871 43.04104853032487;8875.287337378
71.60341690343584 42.73381438018861;8779.929580351
71.29376262888508 42.430001432205;8682.952772764
70.99016200483159 42.133400189393384;8590.378137769
70.68526171171501 41.82887746609497;8495.574150056
70.38108571359011 41.53660773859568;8404.096026544
70.08146029069685 41.238931184752424;8312.771419173
69.77673529775281 40.94495131109568;8221.707775447
69.48193242960039 40.657397756355074;8133.846951610
69.17790370529261 40.36269703057977;8043.888388388
68.8863075273523 40.081119967241996;7958.312666334
68.58523053773487 39.790597247207366;7870.545562077
68.29434875781733 39.50994338387418;7786.191484693
67.99860600156256 39.22753810796276;7701.378855680
67.70620276514778 38.946134360719725;7617.793803410
67.41702614594502 38.67204208473252;7536.05372840
67.12281813232744 38.39110004010628;7453.290054793
66.83925451702122 38.12294232330248;7374.212900925
66.5457256707195 37.844708792469056;7292.756277673
66.26451740769775 37.58001257974543;7215.590047781
65.97563920575287 37.30641628809021;7136.242766754
65.6928128506694 37.04376060091546;7060.078276824
65.41126050453335 36.77579022561568;6983.593257137
65.12551036716556 36.51478569593563;6907.829539218
64.85033210760463 36.25251729694756;6834.383312675
64.56504369847127 35.99339111089133;6759.241637523
64.29157500498485 35.73636812735467;6688.135596834
64.01216235625773 35.47958957526824;6614.590610602
63.73549917737965 35.22718374587019;6544.630429695
63.46424813496686 34.97325729141158;6473.604721204
63.18497251913582 34.72484837310726;6404.185569606
62.91829267186889 34.47424875053743;6335.609097301
62.64276405814298 34.22925381707363;6267.377641330
62.37384019210151 33.982438934490254;6200.113444643
62.106938156320936 33.740275658736195;6134.201982830
61.83391693920541 33.49771666240924;6067.345792390
61.57302362810703 33.25777720407019;6003.865943354
61.302681063790004 33.01995291129767;5938.0944735591
61.03976602548597 32.78165612622491;5875.664305053
60.77844914777107 32.548965704662386;5812.51321995
60.51086759166548 32.31194232204977;5749.85702878
60.25553838975657 32.084504454343985;5689.647253421
59.99135399544194 31.84891393188028;5627.46033792
59.73276196224144 31.626255303624575;5568.6909685554
59.4782703508843 31.393103928496732;5508.594429781
59.215512166381444 31.173831691208555;5450.120401646
58.96508082981815 30.944994547069705;5392.134300379
58.70841493273777 30.726794088570095;5334.940837052
58.45247003868926 30.504396705476598;5277.578055748
58.20531257614537 30.285004113102158;5222.581574486
57.9482016742573 30.07015941690904;5165.98005054
57.700588636859344 29.849382984174234;5111.702643273
57.45310327618515 29.640873410421104;5057.948989359
57.19935768272053 29.421836919925184;5002.809070373
56.95783536438814 29.21562516818483;4951.831419669
56.70929423306194 29.003090648596263;4897.746685100
56.46177923502457 28.79441893446778;4846.512883612
56.22329562131252 28.590777224600973;4795.959937673
55.975026382508865 28.379607079290334;4743.699844751
55.734384476748254 28.18183095388272;4695.177146091
55.49695370029155 27.974516509676;4644.784640673
55.25093489082003 27.775344646561486;4595.657272473
55.01619297050366 27.57758393664952;4547.9671346119
54.77915040984856 27.37409903189923;4499.294458830
54.53694671412498 27.183479147947505;4452.2470055814
54.306692535261824 26.983330499489888;4405.433817683
54.070260676852186 26.790532193424497;4359.066184302
53.832624240804634 26.60086121110644;4313.081434078
53.605739972751856 26.403518466947;4268.020607213
53.370519070022155 26.219406891057627;4223.304699482
53.13750075638548 26.02840137250798;4178.368417315
52.913360445970774 25.838907611642266;4135.4501115257
52.67997200547352 25.658585443076127;4091.722516121
52.45121661741067 25.46820558159166;4048.2642918655
52.229609850606955 25.287323691741527;4007.247098483
51.99853237365421 25.108132811190917;3964.3251590173
51.773525868923436 24.921257639732016;3922.6426848737
51.55451034101279 24.74707769942688;3883.130490468
51.326061997144954 24.568673719637232;3841.12275155
51.10425979702297 24.387002327090933;3801.221515207
50.88802748472172 24.21759577875332;3762.9802226626
50.662430693805895 24.04071277521132;3722.0497165060
50.44329385996397 23.864497191415914;3683.744004137
50.230064331380134 23.698839242523555;3646.7222011426
50.007541289581894 23.524378669825165;3606.980763586
49.790535500817015 23.353025440052743;3570.0191135796
49.58046033222666 23.1908386168028;3534.2644690154
49.36132471026997 23.019516859855695;3495.775448175
49.14593674754902 22.85213637716008;3459.9009584106
48.93899475529845 22.69351027752489;3425.4801540697
48.723706877444315 22.525896102244158;3388.3086142955
48.5095279657515 22.361558002390677;3353.273024747
48.30540508262645 22.206608068698305;3320.208106491
48.09454806883972 22.043307981645256;3284.472290973
47.88145549644186 21.88117356480061;3250.0521478766
47.67943729061638 21.729730361017843;3218.2598988916
47.4735673073083 21.571515692998453;3184.151868071
47.261976804411255 21.411089677013106;3150.206621250
47.06094189568554 21.2623921889841;3119.439368559
46.8602910400844 21.110081505953133;3087.18117743
46.651337168267105 20.95169858563249;3053.767746580
46.450016361063774 20.804219443280132;3023.5887531191
46.2540975269232 20.658177237711;2993.295659897
46.049493185705494 20.50345708821246;2960.7916425105
45.84715378180596 20.35532063149049;2930.6692398006
45.65443270860581 20.214633176498623;2902.1408222113
45.45582447417587 20.066138085252696;2871.2217133
45.25321418728362 19.916755703586656;2840.8489787269
45.06118360278373 19.778552087143282;2813.4061721596
44.8691312651296 19.6381019707587;2784.694237819
44.66886429885243 19.49022704658265;2754.467511638
44.47505507884091 19.35039406906273;2727.061112694
44.288116471170696 19.216804049123777;2700.5375333353
44.09356386247676 19.075612029307266;2671.6467653373
43.8976657093155 18.932852183472004;2643.5537895149
43.71229116516355 18.800957099708004;2618.213593242
