Point;Valeur
92.53067639932735 -33.70247205521366;10833.785315305
91.6107076468276 -33.02673067989159;10574.046518491
89.93219639475828 -31.80562474767443;10110.969013740
87.66324253724639 -30.178297041836526;9506.776981916
84.92334900278291 -28.22489675839323;8805.756045855
81.81531991015642 -26.051189469690804;8050.902165496
78.459409369607 -23.73500940388787;7282.96729640
74.93272993929051 -21.3554209821695;6527.331922666
71.27962917082104 -18.991731883559197;5801.616419297
67.5744847084967 -16.673145110886484;5122.651499166
63.846025612914694 -14.421647065427756;4492.0921014904
60.16053528250766 -12.299397253266912;3922.0507894640
56.51902791653858 -10.321266975219533;3407.579129648
52.97806884486522 -8.504523159220174;2951.343673327
49.538265442098485 -6.841898621691782;2547.881899560
46.20557832363027 -5.35613515356524;2192.5051638347
42.994191211952696 -4.046299922742856;1881.311185059
39.92693305886719 -2.8803413008086367;1610.5023024441
37.018423131842596 -1.8830374869125008;1377.7225680497
34.262800687962255 -1.044095674746297;1176.1178015217
31.649090662559068 -0.3251955878233511;1002.3363601405
29.18441877061445 0.25727243101363373;852.0915497026
26.883017108785776 0.731948779004568;724.1763338438
24.712123301695154 1.103072245026818;612.7735057265
22.67681864938622 1.3687699352980702;517.7084371043
20.777707628217698 1.5770712312133235;436.37864104516
18.998518100883523 1.702040642371115;367.26821568563
17.347627037980857 1.7606353094981322;307.12005843790
15.816863370535089 1.7758830315982477;256.79238823287
14.415905484667558 1.7585150612371543;214.49512834229
13.131488763941377 1.7109745586858864;178.63551541029
11.95903668492548 1.6294470500947715;148.06647418547
10.88217984937163 1.5123581913879116;122.85294575168
9.876595714559471 1.3832479847972945;101.22596336402
8.965220241052812 1.2670799024947907;84.14375896632
8.122783080792228 1.15012119342912;68.59152210950
7.336966006930071 1.014374544561325;55.313713126257
6.6179494495746365 0.8794665237551793;45.05954106439
5.967716274043872 0.7686812976586805;36.781479262414
5.378426226229281 0.6664549655860454;29.68183473213
4.834999340814499 0.5539432910860428;23.777540661257
4.326360056920659 0.4394495726931603;19.200194965828
3.86458130375345 0.34878382941436364;15.18179331570
3.460341202388704 0.28402097335511417;12.28055633120
3.0806926636141245 0.23247360188093505;10.089336934552
2.7479432384322457 0.18167005415814486;7.583962849859
2.4374703847056662 0.12301590390761301;6.131287903267
2.169953100969819 0.05481180668962425;4.5078306272420
1.9144912024173526 -0.013471583700198034;3.181903829042
1.6958062887895786 -0.06631063141592888;2.9850248278414
1.503147754279239 -0.09535242625626511;2.1846151952160
1.315812373439813 -0.10090771542597263;1.3723262530691
1.151168721938368 -0.08666197080475774;1.2541362473571
1.0184716917895633 -0.05764867432794868;1.1297118286959
0.9017975226864329 -0.021026024611518694;0.7242618033327
0.7856987643856517 0.014044537278553565;0.21186184362474
0.6697850567965744 0.03945583613987245;-0.0944274276133
0.5674994598284165 0.05114884174409846;-0.075072278674
0.4892151658382498 0.04917072553277056;0.046380408974994
0.43411598246919 0.036361292147205924;0.11436630463007
0.3960399581449541 0.017344701644782697;0.13318978965185
0.36870123854289294 -0.002430867302712948;0.13957000390559
0.34720055565060237 -0.01809271052880479;0.14585018663799
0.32792500271439634 -0.026635451256434534;0.14410257569597
0.3081063850357446 -0.027348567835455837;0.12435931743693
0.28543055960425145 -0.02147059560615569;0.08246397729019
0.25779697200812596 -0.011537703931369367;0.016797313383804
0.22330079206775755 -0.0006221660400184074;-0.07749420219181
0.18057865143208504 0.00847742676662642;-0.2064376947833
0.1296825410121334 0.013896013845264083;-0.361003505601
0.07331023449673657 0.014998338978860732;-0.5004128322415
0.01728083801849399 0.012295300248738756;-0.5720934033111
-0.031191505491496088 0.007110845772036866;-0.5649389050588
-0.06658591712057094 0.0011302138865869355;-0.5183747486595
-0.08668385217755664 -0.00406440025613538;-0.47741644995514
-0.09201536100189228 -0.007361766746925898;-0.46431115638573
-0.08469708639843548 -0.008308463839073528;-0.4805516458841
-0.06772282047374073 -0.007098034442749218;-0.5151376072203
-0.044692520767871266 -0.004407174277002351;-0.5513120313977
-0.0195640159785227 -0.0011480355675871643;-0.5745001505877
