Point;Valeur
98.14969018461 2.12028888484393;9642.288571137
92.96703387733206 1.802157355551934;8649.872546589
84.85041294004508 1.4704275313008377;7203.704086085
75.26027696921238 1.1420059823544277;5666.545375012
65.36122878614755 0.7272650844758506;4273.1270164405
55.71680215824489 0.3650252283891125;3104.9306626297
46.78667027955324 0.18998113374266568;2189.1410427335
38.67017527477963 -0.0024832846065034886;1494.8027684449
31.551583096474168 -0.12049344629403547;995.6557550989
25.368324317713753 -0.09086247637511329;643.1680914253
20.136059991077957 0.020389720460569416;405.1055412511
15.727402260869088 0.06500140521546202;247.42014051862
12.176377888777772 0.019568006331243698;148.02078652066
9.236406914022826 -0.03337520570548168;84.87441647295
6.965045244453307 -0.026009642395032555;48.53189864486
5.150424015987918 0.010640094275673043;26.295338964671
3.8138614610297603 0.02032848351293627;14.33019910564
2.8471253452862464 0.0011309980067611865;7.865039840752
2.018106629148654 -0.012424683156688692;3.500826715960
1.3791912656552832 -0.0054954281561674055;1.3504825082695
0.8747689814795007 0.005684639867723631;0.6002008072565
0.44403147992578584 0.005533597084156103;0.06891194181548
0.2135435982627868 -0.0015558043507726514;-0.10606931437618
-0.008979959560876494 -0.004127447589355844;-0.5784349475101
-0.142303132632446 -0.0006355270428030036;-0.32802259809774
-0.147190393987219 0.002294908309417429;-0.31296716962099
-0.07034125516790211 0.0011989383539270934;-0.5114713536565
0.026868076708569763 -0.0010560512189658096;-0.5696840232150
0.06816233623763678 -0.0012132731469022089;-0.5155137877143
0.04651760078964467 0.0001460791632979595;-0.5494629009986
-0.0007567604739074016 0.00075530491128133;-0.5799780437708
-0.029965909474153455 0.00012898425476928765;-0.5672166256079
-0.026329244563061883 -0.0004893479749494394;-0.5701117363301
-0.004653368142428494 -0.0003275098636200633;-0.5796872915690
0.012408558916393204 0.00012217520291576576;-0.5777964827978
0.013880622017392175 0.00018918645925863217;-0.5772429739062
0.004458084228290107 -6.850992929370258e-05;-0.5797152439259
-0.004825581815723399 -0.00020739669866332464;-0.579665465207
-0.0071090507979189345 -9.744229172358506e-05;-0.5792761097334
-0.0032910528054463668 3.1193226920132774e-05;-0.5798448448279
0.0015242046153808074 1.0320225770266451e-05;-0.5799667205311
0.003380501215571061 -7.842701070633947e-05;-0.5798361733439
0.0019933300451591535 -9.861259714388437e-05;-0.5799428527808
-0.0004010797417948941 -5.0368026366033735e-05;-0.5799976346180
-0.0016456635289012994 -1.95608292870985e-05;-0.5799611992134
-0.0012400244819674362 -3.834199428179991e-05;-0.5799779393922
-9.850959013178902e-05 -6.476995641283974e-05;-0.5799997598620
0.000655635459702963 -6.287735829351953e-05;-0.5799937474368
0.0006044064068184158 -4.55437104137453e-05;-0.5799947173612
PointOptimal;ValeurOptimale
[ 6.04406407e-04 -4.55437104e-05];-0.5799947173612909
Temps;Nb iteration
0.0030667781829833984;48
