Point;Valeur
-0.7477789478297385 -7.673212323122018;734.0962891571
-0.2334640075172505 -7.069643049053869;613.9600611224
0.23099241482109356 -6.516824836300432;514.3547220419
0.6501132875303934 -6.0102257910766665;431.7534138339
1.0280141547998252 -5.5457215330232;363.23549723700
1.3684398083843003 -5.11955852256381;306.3823437789
1.6747976588693287 -4.728320688770853;259.19104108230
1.950188103477421 -4.36889906068632;220.00293220734
2.1974321607320686 -4.038464131790991;187.4444390617
2.4190966179677726 -3.734440711630387;160.37805824572
2.61751691553693 -3.4544850407666017;137.8617806914
2.794817971389227 -3.19646396535052;119.11548704893
2.9529331314339853 -2.9584359859387943;103.49311968416
3.0936214143000935 -2.738634011899026;90.45963829555
3.2184832040617035 -2.5354496678761818;79.57193684057
3.328974530573367 -2.3474190126453065;70.4630408262
3.426420064551314 -2.173209543235859;62.829021068732
3.512024943053069 -2.0116083686555752;56.41815696148
3.5868855306461196 -1.8615114479444683;51.02196256174
3.6519992120311624 -1.721913796773893;46.46775527730
3.708273303300322 -1.591900575416676;42.61250198092
3.7565331611517845 -1.4706389787782426;39.33772296318
3.797529562244881 -1.357370856285871;36.54527188122
3.8319454183838726 -1.2514059959616786;34.15384112039
3.8604018873027197 -1.1521160128992447;32.096067870521
3.883463933453532 -1.0589287877464981;30.31613765423
3.9016453882906728 -0.971323405697393;28.767799795721
3.9154135551038944 -0.888825550944321;27.412724017545
3.925193399386215 -0.8110033156014707;26.219139525999
3.9313713620409114 -0.7374633857968815;25.160708025417
3.9342988293706167 -0.6678475709889709;24.21559044937
3.9342952907416713 -0.6018296456143757;23.3656741090
3.931651212029072 -0.5391124749633702;22.595932683295
3.9266306504258193 -0.47942539969656917;21.89389621535
3.919473633892265 -0.4225218557289123;21.249212205906
3.91039832642692 -0.3681772082980528;20.65328214371
3.899602998437521 -0.3161867809401242;20.09896050600
3.887267819753168 -0.26636406183065287;19.58030549043
3.873556491238814 -0.2185390715291602;19.09237258611
3.8586177295379027 -0.17255687760218574;18.631043619998
3.842586618164942 -0.1282762429034845;18.19288518041
3.8255858369728752 -0.08556839548492956;17.77503136823
3.8077267809436517 -0.04431590918954509;17.375086693789
3.789110578263985 -0.004411684967879914;16.991045656747
3.769829016749446 0.03424197615004676;16.621226141351
3.749965386865936 0.0717342166725432;16.264214252280
3.7295952488557855 0.10814639036440088;15.91881862471
3.708787130798383 0.14355276089194735;15.584032580131
3.687603163822592 0.17802113761535399;15.259002779391
3.6660996601266955 0.2116134541816317;14.943003256277
3.6443276389528574 0.24438629506735143;14.635413906867
3.622333305202405 0.2763913747557867;14.335702668876
3.600158484951896 0.30767597380978007;14.043410756835
3.577841021751757 0.3382833357210524;13.758140427963
3.555415137235249 0.3682530280648644;13.479544843855
3.532911759250654 0.3976212711721283;13.20731966785
3.5103588204411036 0.4264212372433862;12.941196099903
3.487781529929121 0.45468332256341615;12.68093510188
3.465202620529892 0.4824353952379967;12.426322608988
3.44264257369373 0.5097030206548903;12.177165557668
3.4201198241826187 0.5365096666742852;11.933288590044
3.3976509463063937 0.562876890373194;11.694531318509
3.3752508233759944 0.5888245080022125;11.460746054421
3.3529328018869737 0.6143707496669437;11.231795921204
3.3307088318058593 0.639532400108096;11.007553285909
3.308589594211073 0.6643249268303686;10.787898454607
3.2865846174270548 0.6887625967202782;10.572718586374
3.2647023826867656 0.7128585821872102;10.36190678841
3.24295042026492 0.7366250577703193;10.155361361269
3.2213353969406473 0.7600732880710348;9.952985168486
3.1998631955705488 0.7832137077897494;9.754685109356
3.1785389874802146 0.8060559945773216;9.560371677212
3.157367298322919 0.8286091353491409;9.369958588612
3.1363520679926733 0.8508814866486647;9.183362471354
3.1154967051268496 0.8728808295963519;9.000502601297
3.0948041366865215 0.8946144199114281;8.82130067970
3.074276853055588 0.9160890334484373;8.645680644207
3.0539169490646696 0.9373110076536806;8.473568507775
3.033726161305081 0.958286279308358;8.304892220857
3.0137059020672847 0.9790204188906815;8.13958155290
2.993857290208199 0.9995186618633811;7.9775679899930
2.9741811792231427 1.01978593716185;7.8187846457
2.954678182775414 1.039826893134772;7.663166183858
2.9353486979111416 1.0596459211670028;7.5106487491028
2.9161929261687565 1.0792471771921397;7.361169907252
2.8972108927725255 1.0986346012857373;7.21466859076
2.878402464082372 1.1178119355104998;7.071085050259
2.8597673634577188 1.1367827401716335;6.930360810644
2.8413051856778644 1.1555504086246904;6.792438631077
2.8230154100488765 1.1741181807662882;6.657262468290
2.804897412315663 1.1924891553259664;6.524777442712
2.786950475486691 1.2106663010669605;6.394929806995
2.7691737996695416 1.2286524669940802;6.267666916589
2.7515665110062066 1.2464503916575564;6.142937202096
2.734127669789485 1.2640627116343905;6.020690143145
2.716856277834509 1.2814919692610571;5.900876243604
2.6997512851722334 1.2987406196845752;5.783447007959
2.6828115961261307 1.3158110372934084;5.668354918714
2.6660360748279572 1.3327055215836614;5.555553414704
2.649423550223082 1.3494263025113318;5.444996870226
2.6329728206113874 1.3659755453768474;5.3366405748983
2.6166826577656206 1.3823553552835;5.230440714175
2.6005518106658716 1.3985677812086328;5.1263543504827
2.584579008884111 1.414614819721467;5.024339404892
2.568762965650981 1.4304984183800284;4.924354639319
2.5531023806331294 1.446220478834932;4.826359639197
2.537595942447954 1.4617828596678217;4.730314796591
2.5222423309387594 1.477187378986451;4.6361812937
2.5070402192322234 1.4924358167994933;4.543921087005
2.4919882755985086 1.5075299171902268;4.453496891158
2.4770851651308963 1.5224713903067189;4.364872164084
2.4623295512619965 1.537261914186101;4.278011091786
2.4477200971313646 1.551903136426298;4.192878573741
2.4332554668176716 1.56639667571969;4.109440208569
2.4189343264479053 1.5807441232609198;4.027662280008
2.404755345194973 1.5949470440399471;3.9475117431945
2.390717196173539 1.6090069780301208;3.8689562112211
2.3768185572436957 1.6229254412817484;3.7919639419866
2.363058111730296 1.6367039269280026;3.7165038253096
2.3494345490667063 1.6503439061124903;3.642545370310
2.3359465653689044 1.6638468288442798;3.570058693054
2.3225928639467126 1.6772141247874028;3.499014504438
2.3093721557579023 1.6904472039902485;3.4293840983346
