Point;Valeur
-3.748723376074481 -8.508655270490276;1212.208961668
-3.433921851308538 -8.193853745722983;1121.8715051088
-3.1256778287637093 -7.88501426455827;1036.7882615684
-2.826210001683772 -7.584138646284703;957.2964664847
-2.536493242995135 -7.292102040958956;883.3543389888
-2.256963614188121 -7.009293962051378;814.7681379194
-1.9877741867024328 -6.7358498689520925;751.276003700
-1.728912438262483 -6.471757064720054;692.5864902728
-1.4802624902391144 -6.216910664905172;638.3985835110
-1.2416414840047207 -5.9711462191488645;588.4128533321
-1.0128223758472736 -5.734260100704745;542.3378804547
-0.7935489745081501 -5.50602292478774;499.89396915603
-0.5835462519850731 -5.286188728206547;460.8152166885
-0.3825276231736593 -5.074501436150767;424.8505505868
-0.19020019963313092 -4.870699519473123;391.7641023198
-0.006268643013608272 -4.674519403421388;361.3351490839
0.16956197701834524 -4.485697990477938;333.3577744920
0.33758404905464434 -4.303974539821447;307.6403487759
0.4980858234160548 -4.129092070393686;284.00489695445
0.6513502205504613 -3.960798405476664;262.2864021828
0.7976539487962012 -3.7988469438439316;242.33207710587
0.9372668611023971 -3.642997220062592;224.000626100
1.0704514979894215 -3.4930153007349505;207.16151431049
1.1974627766604262 -3.348674052206916;191.69425439497
1.318547795462146 -3.2097533069992927;177.48771834844
1.4339457296335565 -3.076039950241305;164.43947915005
1.5438877994953288 -2.9473279427039016;152.45518512145
1.6485972961061781 -2.823418293676215;141.44796850320
1.7482896524114866 -2.704118994170702;131.33788876213
1.8431725502840868 -2.5892449189402305;122.05141042753
1.9334460556627 -2.478617704103725;113.52091474171
2.019302775493682 -2.3720656059335887;105.68424405482
2.1009280313093033 -2.2694233452941908;98.48427765290
2.1785000452422176 -2.170531941425564;91.86853755451
2.2521901350286684 -2.075238538059284;85.78882272012
2.3221629151680996 -1.9833962243493202;80.20087008013
2.3885765019235237 -1.894863852623618;75.06404078013
2.4515827202598834 -1.8095058546064502;70.34103006397
2.5113273111563985 -1.7271920574734394;65.99759925610
2.567950138032352 -1.6477975008256285;62.00232835645
2.621585391244224 -1.571202255481797;58.32638782479
2.672361789820876 -1.4972912448080016;54.943328199295
2.7204027797721264 -1.4259540691548143;51.828886264837
2.7658267284302265 -1.357084833865217;48.96080656026
2.8087471144171947 -1.290581981199798;46.3186770852
2.8492727129167963 -1.226348126453122;43.88377813926
2.8875077760115193 -1.1642898984625778;41.6389432953
2.9235522079220155 -1.1043177846448382;39.568431576430
2.957501735032488 -1.0463459806569677;37.657809967
2.989448070641001 -0.9902922447303857;35.893845460082
3.0194790744106643 -0.9360777566919132;34.26440587439
3.0476789065290335 -0.8836269816640413;32.75836877532
3.0741281766136814 -0.8328675384055325;31.365537830849
3.098904087424022 -0.7837300722374573;30.076566024169
3.122080573451595 -0.7361481324884067;28.88288516865
3.143728434487696 -0.6900580543702214;27.77664121875
3.1639154642665575 -0.6453988451960134;26.75063490892
3.182706574300417 -0.6021120748363291;25.798267288982
3.200163913024792 -0.5601417703096141;24.913489758099
3.216346980382071 -0.5194343143926536;24.090758231008
3.231312737972092 -0.4799383481369189;23.324991098908
3.2451157148996557 -0.4416046771774298;22.611530674669
3.257808109455303 -0.4043861817125705;21.946107836482
3.2694398867614596 -0.36823773003949645;21.324809607255
3.2800588725196484 -0.33311609552523347;20.744049428101
3.2897108429877373 -0.29897987690131106;20.200539903962
3.298439611320769 -0.2657894217619573;19.69126781722
3.306287110405977 -0.23350675315415204;19.213471221910
3.313293472315302 -0.20209549914966257;18.764618446350
3.3194971045014174 -0.17152082528861629;18.342388846166
3.3249347628591677 -0.14174936978782116;17.94465516248
3.3296416217703313 -0.1127491814104766;17.569467352118
3.333651341245489 -0.08448965989709342;17.215037767531
3.3369961312781578 -0.056941498857203385;16.87972757423
3.3397068135163592 -0.030076631029164566;16.562034302854
3.341812880359928 -0.003868175812407809;16.260580441224
3.343342551583056 0.021709611013344447;15.974102980084
3.3443228285830213 0.04668138547307299;15.701443832716
3.3447795463481933 0.0710707615644353;15.44154105579
3.3447374232394522 0.0949003554944465;15.193420804534
3.344220108671454 0.11819182805815848;14.956189960853
3.3432502287815855 0.14096592523823137;14.729029378430
3.341849430167516 0.1632425170952894;14.511187693048
3.3400384217733228 0.18504063502057813;14.301975651043
3.337837015000292 0.2063785074166234;14.10076091255
3.335264162116234 0.22727359387167465;13.906963289850
3.3323379930335797 0.24774261788934043;13.720050384421
3.3290758505243914 0.2678015982335851;13.53953358939
3.32549432393747 0.2874658789462997;13.364964426753
3.321609281480389 0.3067501580930008;13.195931191404
3.3174359011257954 0.3256685152883981;13.0320558762
3.3129887002015534 0.3442344380551197;12.87299135505
3.308281563718177 0.3624608470621377;12.718418800916
3.3033277714876115 0.38036012029098476;12.56804532149
3.298140024084987 0.39794411617453146;12.421601792059
3.292730467700356 0.4152241957506349;12.278840870154
3.2871107179305175 0.43221124387484244;12.139535176654
3.281291882552224 0.4489156895281894;12.003475629185
3.275284583323445 0.4653475252609544;11.87046991519
3.2690989768503638 0.4815163258070414;11.740341092994
3.262744774563546 0.4974312659062151;11.612926309937
3.256231261838061 0.5131011373653687;11.488075628097
3.2495673162962295 0.5285343653925871;11.365650948270
3.2427614253257904 0.5437390242339597;11.245525024153
3.2358217028490195 0.5587228521437807;11.127580559108
3.2287559053732875 0.5734932657153207;11.011709378605
3.221571447354226 0.5880573735999065;10.897811671990
3.2142754159007394 0.6024219896401105;10.785795297765
3.206874584849462 0.616593645442033;10.675575147067
3.199375428237256 0.6305786024105225;10.567072560460
3.1917841331958603 0.6443828632706378;10.460214793569
