Point;Valeur
-4.234344784607648 6.49949061466431;51.683675850152
-3.977344784609816 6.756490614637158;44.847122460098
-3.8155837221503988 6.836489470202859;41.74300025680
-3.690462978571753 6.842142710320827;39.64109266992
-3.5848611806757473 6.81050407391457;37.9394090585
-3.4913785727294298 6.761186249369737;36.451726802394
-3.406272379765643 6.704495985913896;35.108487222208
-3.3274411039614393 6.645575997926555;33.87673095622
-3.2535933046734176 6.58688838855403;32.736806094217
-3.183870126084176 6.529557969362032;31.675046284764
-3.1176617292347215 6.474052559146414;30.68111035540
-3.0545120092781124 6.420519777226947;29.746807780
-2.9940658579630544 6.368953641855945;28.86547184962
-2.9360381314808532 6.3192775094501;28.031574016763
-2.880194333663802 6.271385555374133;27.240464032997
-2.8263379734836738 6.225163432684336;26.48818476886
-2.7743019216952334 6.1804983389337815;25.77133545967
-2.723942276779161 6.137283649836379;25.086968158579
-2.675133871915652 6.095420764678928;24.43250783371
-2.627766895199759 6.054819538254941;23.80568975253
-2.581744289662567 6.015398020443332;23.20450976485
-2.536979714960908 5.977081882614667;22.627184370501
-2.493395923482059 5.939803728875291;22.072118314228
-2.4509234486472775 5.903502393263323;21.537878043620
-2.409499532692977 5.868122271995724;21.023169784151
-2.3690672410357725 5.833612712147863;20.526821287092
-2.329574724018184 5.7999274634607705;20.047766525926
-2.2909745964767225 5.76702419255922;19.585032779924
-2.2532234124987336 5.734864055326468;19.137729665418
-2.2162812178255176 5.703411321734366;18.70503976788
-2.1801111661219124 5.6726330471240445;18.28621059851
-2.144679188191796 5.642498784161401;17.880547653709
-2.109953705380551 5.612980330182858;17.48740839815
-2.075905380106794 5.584051505222011;17.106197025966
-2.0425068977577943 5.555687956611549;16.736359880308
-2.0097327752394905 5.527866986579051;16.377381433312
-1.9775591922778122 5.5005673997680065;16.028780744787
-1.9459638422412326 5.473769368047271;15.690108331918
-1.9149257997820686 5.447454310341257;15.360943393203
-1.8844254030272787 5.421604785543544;15.040891338868
-1.8544441484061445 5.396204396852329;14.729581587480
-1.8249645964917238 5.371237706096136;14.426665594515
-1.7959702874770471 5.346690156829104;14.131815083793
-1.7674456651055352 5.322548005126477;13.844720456847
-1.7393760080410807 5.298798257181285;13.565089358861
-1.71174736780852 5.275428612899417;13.292645382759
-1.6845465125499712 5.2524274148149495;13.027126895563
-1.6577608759428677 5.229783601728147;12.768285973205
-1.6313785107134733 5.207486666541978;12.515887431825
-1.6053880462484813 5.185526617849095;12.269707945091
-1.5797786498722823 5.163893944869336;12.029535238400
-1.5545399914080018 5.142579585389287;11.795167351938
-1.5296622106909343 5.121574896393832;11.56641196556
-1.5051358877356416 5.100871627121915;11.343085779305
-1.4809520152984226 5.080461894308702;11.125013943925
-1.4571019736033237 5.060338159397596;10.91202953680
-1.4335775070273384 5.040493207535276;10.703973078735
-1.4103707025613474 5.020920128184602;10.500692087797
-1.387473969884765 5.001612297205021;10.302040666972
-1.3648800229076758 4.982563360263295;10.107879122348
-1.3425818626524055 4.963767217465941;9.918073609252
-1.3205727613549034 4.945218009091528;9.73249580382
-1.2988462476831069 4.926910102340773;9.551022597838
-1.2773960929774224 4.908838079009292;9.373535814825
-1.2562162984281076 4.890996724009263;9.199921945661
-1.2353010831124434 4.873381014668525;9.030071902053
-1.2146448728230461 4.855986110745016;8.863880786461
-1.1942422896232296 4.838807345096653;8.701247677114
-1.1740881420733897 4.821840214957973;8.542075426970
-1.1541774160758749 4.805080373773282;8.386270475490
-1.1345052662906048 4.788523623544946;8.233742672268
-1.1150670080808298 4.77216590765758;8.08440511162
-1.0958581099462195 4.756003304143154;7.9381739772987
-1.0768741864104099 4.740032019352146;7.794968396582
-1.0581109913290359 4.724248382003308;7.654710303093
-1.0395644115874985 4.708648837584757;7.517324307664
-1.021230461163408 4.6932299430802455;7.382737576729
-1.0031052755255236 4.677988361998444;7.250879717685
-0.985185106347398 4.662920859683862;7.1216826707457
-0.9674663165153743 4.6480242988919045;6.995080606854
-0.9499453754091366 4.633295635606349;6.87100983123
-0.9326188544383059 4.618731915087723;6.749408692233
-0.9154834228178363 4.604330268134536;6.630217495020
-0.8985358435667197 4.590087907543327;6.513378419971
-0.8817729697157515 4.57600212475618;6.398835445297
-0.8651917407114672 4.562070286683429;6.286534273725
-0.8487891790036416 4.548289832689402;6.176422262951
-0.8325623868049753 4.534658271731719;6.068448359637
-0.8165085430130777 4.521173179646721;5.962563036734
