Point;Valeur
-4.7817925640162295 3.82646944345127;132.33308591109
-4.466991039301716 4.141270968117238;106.03790698346
-4.171047913645527 4.42988347596952;84.76954867899
-3.900034316557654 4.683160740120961;68.2364688076
-3.6551967474789797 4.899013281371488;55.663297395941
-3.4355445714822093 5.078827501815265;46.21204081374
-3.23905998485639 5.225655422830256;39.138363337934
-3.063333847208517 5.3432089882185325;33.83662843839
-2.9059062777430764 5.435301062298212;29.837513913318
-2.764442573580097 5.505550161165877;26.788049924037
-2.6368153311677593 5.557241199971137;24.42782952684
-2.5211336711699537 5.5932761861274285;22.567141757980
-2.4157435926971176 5.616174409885087;21.06891634639
-2.319213530827154 5.628097842920614;19.834640311472
-2.2303132411010766 5.630887572330723;18.793737583400
-2.1479905811486555 5.626103315735235;17.895728595119
-2.071348655191288 5.6150617999250745;17.104521556327
-1.99962455758881 5.598871973311046;16.39429355537
-1.9321702469070265 5.578466263130943;15.746536659507
-1.8684356895773453 5.554627761814174;15.147947968780
-1.8079542036048646 5.528013568165985;14.588926447853
-1.750329830827142 5.4991746608041066;14.06250384126
-1.6952265248882685 5.468572728703664;13.563585110660
-1.642358934196742 5.436594376589782;13.088409105827
-1.5914845687570223 5.403563089748167;12.634165725597
-1.5423971576894757 5.369749299469487;12.19872418155
-1.494921025314921 5.335378845224375;11.780440102192
-1.448906335053081 5.300640087001117;11.378018569025
-1.404225070559022 5.265689882855136;10.990416828105
-1.3607676418996484 5.230658613181504;10.616775145017
-1.3184400208479463 5.195654404423805;10.256367624337
-1.2771613236158983 5.160766680462057;9.90856719298
-1.2368617716476493 5.126069149291409;9.572820633701
-1.1974809716630723 5.0916223152522875;9.248630751031
-1.1589664651670006 5.057475592523299;8.935543600464
-1.1212725053283183 5.0236690834092705;8.633139312889
-1.0843590256491427 4.990235074747416;8.341025473093
-1.0481907703881952 4.957199297209836;8.058832313666
-1.0127365613753991 4.9245819851218124;7.786209200210
-0.9779686798151507 4.892398768409883;7.522822035960
-0.9438623450280069 4.860661423262146;7.26835132196
-0.9103952749027718 4.829378503855007;7.022490685501
-0.8775473152176951 4.7985558739529734;6.78494574378
-0.8453001270034888 4.768197154209207;6.555433208527
-0.8136369228193667 4.738304098485107;6.333680164312
-0.782542244250174 4.708876910402057;6.119423473085
-0.752001774136199 4.679914509565522;5.912409270878
-0.7220021780714699 4.651414755410884;5.712392532623
-0.692530970562722 4.62337463536411;5.519136687849
-0.6635764019673637 4.595790422953802;5.332413274977
-0.6351273629405281 4.5686578106222795;5.152001625404
-0.6071733036349305 4.541972021234438;4.97768857109
-0.5797041653283701 4.5157279016499094;4.809268171052
-0.5527103225280539 4.4899200011969365;4.646541453463
-0.5261825338977358 4.464542637434446;4.489316170981
-0.5001119006261789 4.439589951215179;4.337406567482
-0.47448983105961484 4.415055952743134;4.190633154858
-0.4493080106193052 4.390934560053914;4.0488224989213
-0.42455837617202613 4.367219631116698;3.911807013570
-0.4002330941539931 4.343904990572856;3.7794247626628
-0.3763245418608291 4.320984451961549;3.6515192690528
-0.3528252914076261 4.298451836149282;3.527939330418
-0.3297280959403321 4.276300986569845;3.4085388415150
-0.3070258777493123 4.254525781780928;3.293176622566
-0.28471171798538225 4.233120145767445;3.1817162535221
-0.2627788477322468 4.21207805635132;3.0740259139549
-0.24122064022344297 4.191393552011188;2.969978228369
-0.22003060402709115 4.171060737368437;2.8694501167308
-0.19920237704994004 4.151073787553694;2.7723226500230
-0.17872972123461905 4.131426951635248;2.678480910655
-0.15860651784485544 4.1121145552618215;2.5878138575570
-0.13882676324924592 4.0931310026476435;2.500214195790
-0.11938456512884127 4.074470778008375;2.415578250536
-0.10027413904505268 4.056128446537498;2.3338058453049
-0.08148980531525524 4.038098655000471;2.254800184217
-0.06302598614924462 4.020376132011052;2.1784677382384
-0.044877203012963766 4.002955688042459;2.104718135222
-0.02703807418217445 3.985832215220462;2.033464053637
-0.009503312463127064 3.969000686935095;1.9646211198533
0.0077322769440057795 3.952456157304564;1.898107808876
0.024673798457530916 3.936193760516693;1.8338453484081
0.04132626801974294 3.92020871007171;1.7717576261224
0.05769461490700826 3.9044962979450006;1.7117711000553
0.07378368345838311 3.889051893685244;1.6538147119982
0.08959823473158862 3.873870943463089;1.5978198037999
0.10514294809375126 3.858948969078969;1.5437200364774
0.12042242275456722 3.8442815669406674;1.4914513120424
0.1354411792494073 3.8298644070203114;1.4409516979531
0.15020366087415188 3.8156932317936296;1.392161354104
0.16471423507849645 3.801763855170007;1.3450224622711
0.17897719482105923 3.788072161416593;1.2994791579211
0.19299675988844947 3.774614104079938;1.255477464321
0.20677707818222144 3.7613857049099173;1.2129652288600
0.22032222697483275 3.74838305278655;1.1718920615068
0.23363621413778568 3.7356023026535814;1.132209275347
0.24672297934188236 3.723039674458369;1.0938698291132
0.25958639523372373 3.7106914521030654;1.0568282716510
0.2722302685865085 3.6985539824037112;1.02104068825
0.28465834142964175 3.686623674063024;0.9864646488066
0.29687429215519556 3.674896996653123;0.9530591576658
0.30888173660403606 3.663370479612362;0.9207846052401
0.32068422913121397 3.652040711254475;0.8896027211921
0.3322852636524144 3.6409043377916803;0.8594765292188
0.3436882746709512 3.6299580623704664;0.8303703033552
0.3548966382870391 3.619198644123326;0.8022495257511
0.36591367318809587 3.6086228972316423;0.7750808458684
0.37674264162319765 3.5982276900055075;0.7488320410552
0.38738675035887443 3.5880099439746096;0.7234719784477
0.3978491516202852 3.5779666329964006;0.6989705781564
0.40813294401427525 3.568094782375524;0.6752987776938
0.41824117343795647 3.558391467998491;0.652428497601
0.4281768339714718 3.548853815481776;0.6303326082339
0.43794286875521227 3.53947899933377;0.608984897667
0.4475421708522888 3.5302642421296317;0.5883600406868
0.45697758409711814 3.521206813700804;0.5684335688189
0.46625190392845817 3.512304030336141;0.5491818413797
0.4753678782093794 3.503553253997348;0.530582017495
0.4843282080328851 3.494951891546639;0.512612029069
0.49313554851440106 3.4864973939877792;0.49525055466117
0.5017925095703312 3.478187255718428;0.4784769942433
0.5103016566841949 3.4700190137964255;0.4622714448177
0.5186655116594662 3.461990247217072;0.4466146768483
0.5268865533594661 3.4540985762026017;0.4314881114924
0.5349672184358405 3.4463416615042486;0.41687379860004
0.5429099020438843 3.4387172037151554;0.402754395456
0.5507169585460113 3.431222942594576;0.38911314624131
0.5583907022036987 3.423856656404237;0.37593386218390
0.5659334078577323 3.416616161255314;0.3632009023856
0.5733473115967797 3.4094993104663693;0.35089915529270
0.5806346114149379 3.4025039939319246;0.33901402079284
0.5877974678579869 3.395628137501572;0.3275313929180
0.5948380046593305 3.388869702370203;0.316437643130
0.6017583093644042 3.3822266844773963;0.30571960417586
0.608560433945457 3.3756971139177585;0.29536455447621
0.6152463954053096 3.369279054360949;0.2853602030580
0.6218181763712616 3.3629706024812065;0.27569467498392
0.6282777256789991 3.3567698873968044;0.2663564972784
0.6346269589464423 3.350675070118582;0.2573345853298
0.6408677591382534 3.3446843430082547;0.24861822975095
0.6470019771205944 3.3387959292454656;0.24019708368441
0.6530314322065597 3.333008082303917;0.23206115053677
0.6589579126925947 3.3273190854365735;0.22420077212741
0.6647831763855171 3.3217272511691203;0.21660661723805
0.6705089511210265 3.316230920802311;0.20926967054928
0.6761369352731477 3.3108284639225727;0.202181221951
0.6816687982552946 3.3055182779210095;0.1953328562156
0.6871061810126339 3.300298787520169;0.18871644301722
0.6924506965064815 3.2951684443095446;0.1823241272919
0.6977039301900569 3.290125726287949;0.17614831992242
0.7028674404767234 3.285169137414582;0.17018168873683
0.7079427591998905 3.2802972071671213;0.16441714981365
0.7129313920651957 3.275508490107089;0.1588478590794
0.7178348190952222 3.270801565453377;0.1534672041915
0.7226544950666643 3.2661750366624;0.14826879669452
0.7273918499398716 3.261627531015348;0.1432464644428
0.7320482892813137 3.2571576992126645;0.13839424427899
