Point;Valeur
-5.270150425106381 -6.573709770823804;1135.0823287621
-0.1226851757058336 -1.1817811297502763;131.29716656376
4.768252695599102 4.08929731551091;109.76946546120
6.127948613884368 5.886344352936133;291.5424077424
4.231479930880387 4.4308482391958375;99.43900508923
1.4194039760505985 2.0293907756172014;2.3332908647398
-0.21728944025905084 0.7538373671373884;54.50904120587
-0.13152686689843418 1.1428936216739778;40.45691184877
0.8907677204827047 2.4096528183602324;2.318087175649
1.748931225131783 3.4571870650199297;6.588803311752
1.8762656450111386 3.7252247494721225;11.552878352362
1.4174556806184606 3.36609416476257;2.7640956235403
0.8660232384161052 2.8811608045542405;0.28773615953398
0.6039015359088595 2.6597468447269987;2.44152103228
0.6862798507069225 2.763597776818961;1.3648448419836
0.9241288240151194 3.0092314998731773;0.023605041664328
1.0990571393779553 3.1827588248128156;0.3608940555998
1.1183207960269352 3.1949473337631322;0.44455195828246
1.0289360307352053 3.095441936776143;0.0718259723793
0.9337373687089299 2.988955960366389;0.028417992594872
0.9016251196036771 2.9456578147313435;0.10592069877405
0.93389200750268 2.9676303542738034;0.044209441556792
0.9882107523500346 3.0129773163438367;0.0003130431285256
1.0228794788517217 3.0401700657430513;0.018038085028760
1.0243118611862494 3.0356205550501003;0.016227468600124
1.005655256740915 3.012364496544496;0.001483708737472
0.9881494165734681 2.9914691160276754;0.0018748291622210
0.9840296006317741 2.9849716214466335;0.004324602748452
0.9917771842224955 2.9911539356329357;0.0013112542316556
1.0022927911913737 3.0007311085420785;4.236728953942337e
1.007823867105531 3.00578747394871;0.0008357821723714
1.0066764907376822 3.0044921977652317;0.0005637137808327
1.0021362988908513 3.0000206146143205;2.317330138854767e
0.9984654857037428 2.9965495169334084;0.00011366136234869
0.9977271574863839 2.9960785914584513;0.0001740182425790
0.9992459376959968 2.9978875618791085;3.789830351660155e
1.0010870351841064 3.0000117088204177;6.010736137872683e
1.0018209166751653 3.0010032025684508;3.622475093988822e
1.001293341002968 3.0006981758497844;1.8024737966371096e
1.000257799682521 2.9998466600424436;1.3362115545014879e
0.9995379469368636 2.9992729836778955;6.397589777430581e
0.9994528160245498 2.999299404990463;7.018053251877671e
PointOptimal;ValeurOptimale
[0.99945282 2.9992994 ];7.018053251877671e-06
Temps;Nb iteration
0.0021927356719970703;41
