Point;Valeur
-5.270150425106381 -6.573709770823804;1135.0823287621
-5.242521476906652 -6.54608082262407;1127.216583752
-5.2223454303400825 -6.525903248205844;1121.4897611139
-5.20533500870829 -6.508890767833296;1116.6727532293
-5.190132044980939 -6.493685451176488;1112.3763231912
-5.176108234560765 -6.479659086403002;1108.4204509520
-5.162914725988921 -6.466462868485344;1104.7052131228
-5.150335424517021 -6.453880729773164;1101.1687338460
-5.138226305188149 -6.441768662954058;1097.769790487
-5.126486221022497 -6.43002553353975;1094.4794468589
-5.115041304890345 -6.418577483848442;1091.2765826752
-5.103835959291662 -6.4073689239112435;1088.1453112033
-5.092827327873605 -6.39635700363259;1085.073394808
-5.081981735659912 -6.385508053405904;1082.051224752
-5.071272304583439 -6.374795199886468;1079.0711378467
-5.060677302721595 -6.36419671538192;1076.1269433895
-5.050178969063173 -6.353694842721893;1073.2135864060
-5.039762656485768 -6.343274938305036;1070.326902090
-5.0294161936357344 -6.332924834026654;1067.4634329944
-5.019129401076872 -6.322634353461826;1064.620290435
-5.008893718497497 -6.312394939097221;1061.7950477392
-4.998701913403376 -6.302199361043714;1058.9856568399
-4.988547850622022 -6.29204148655355;1056.190382312
-4.978426307891419 -6.281916095622235;1053.407748614
-4.968332826859094 -6.271818731996938;1050.6364974787
-4.958263591635907 -6.2617455817391505;1047.8755531987
-4.948215329035996 -6.251693373472745;1045.123994135
-4.938185226065031 -6.241659295879203;1042.3810291617
-4.928170861255391 -6.231640929040928;1039.6459780718
-4.91817014721642 -6.221636186997209;1036.9182552067
-4.908181282335161 -6.211643269451952;1034.1973556958
-4.898202709998831 -6.20166062100282;1031.4828438520
-4.8882330840396735 -6.191686896592842;1028.774343346
-4.878271239356606 -6.18172093213701;1026.071528860
-4.8683161668639485 -6.171761719478277;1023.3741189821
-4.8583669920772365 -6.161808384978785;1020.6818701270
-4.8484229567667905 -6.15186017117889;1017.9945713481
-4.838483403207998 -6.1419164210533115;1015.3120398779
-4.828547760639329 -6.1319765644734545;1012.6341173013
-4.81861553359875 -6.122040106549556;1009.9606662633
-4.808686291866191 -6.112106617577376;1007.2915676334
-4.798759661781013 -6.102175724360749;1004.6267180601
-4.788835318738625 -6.092247102711445;1001.9660278602
-4.778912980699839 -6.082320470963449;999.3094191951
-4.768992402573409 -6.072395584358208;996.6568244945
-4.759073371349474 -6.06247223018206;994.0081850925
-4.749155701882007 -6.05255022355162;991.3634500464
-4.739239233231096 -6.042629403759406;988.7225751149
-4.729323825491284 -6.032709631104234;986.085521871
-4.719409357036946 -6.022790784139786;983.4522569377
-4.709495722132153 -6.012872757286587;980.822751315
-4.699582828854906 -6.002955458757847;978.1969798102
-4.689670597293456 -5.99303880875881;975.5749205318
-4.6797589579802255 -5.983122737921263;972.9565544573
-4.669847850529762 -5.973207185943866;970.3418650548
-4.6599372224555555 -5.96329210041028;967.7308379559
-4.650027028141392 -5.953377435761794;965.1234606713
-4.640117227947341 -5.943463152404899;962.5197223441
-4.630207787431489 -5.933549215933331;959.9196135353
-4.620298676674766 -5.923635596454799;957.3231260377
-4.610389869691884 -5.913722268002329;954.7302527142
-4.600481343920534 -5.903809208024343;952.1409873574
-4.590573079776633 -5.893896396940887;949.5553245676
-4.580665060266544 -5.883983817756463;946.9732596470
-4.570757270651985 -5.874071455725175;944.3947885073
-4.560849698155957 -5.8641592980575155;941.8199075901
-4.550942331708502 -5.854247333666809;939.2486137974
-4.541035161725119 -5.844335552947821;936.6809044308
-4.531128179914271 -5.834423947584502;934.1167771398
-4.521221379109287 -5.824512510382426;931.5562298754
-4.5113147531225195 -5.814601235123269;928.999260851
-4.501408296618439 -5.80469011643833;926.4458685088
-4.491502005003447 -5.79477914969812;923.896051487
-4.4815958743293285 -5.784868330916772;921.3498085992
-4.471689901209351 -5.7749576566677145;918.807138804
-4.461784082746735 -5.765047124012668;916.2680411952
-4.451878416470132 -5.75513673043702;913.7325149744
-4.441972900279202 -5.745226473795767;911.2005594443
-4.432067532396178 -5.735316352265218;908.6721739921
-4.4221623113249136 -5.725406364301887;906.1473580788
-4.412257235813551 -5.715496508605709;903.6261112299
-4.402352304823957 -5.705586784089186;901.1084330266
-4.392447517503989 -5.6956771898494605;898.5943230988
-4.382542873162693 -5.685767725144654;896.0837811183
-4.37263837125115 -5.6758583893736345;893.5768067938
-4.362734011342689 -5.66594918205718;891.0733998655
-4.352829793118351 -5.6560401028226215;888.5735601013
-4.342925716352789 -5.646131151390313;886.0772872933
-4.333021780902058 -5.636222327561471;883.5845812540
-4.323117986693622 -5.62631363120833;881.0954418143
-4.313214333717399 -5.616405062264275;878.6098688206
-4.303310822017244 -5.606496620717079;876.1278621331
-4.293407451684969 -5.596588306601328;873.6494216235
-4.283504222854087 -5.586680119992657;871.1745471741
-4.273601135693965 -5.576772061002817;868.7032386758
-4.2636981904066555 -5.5668641297752925;866.2354960274
-4.253795387221968 -5.556956326480567;863.7713191342
-4.243892726394374 -5.547048651313836;861.3107079073
-4.2339902081999226 -5.53714110449118;858.8536622630
-4.224087832933862 -5.527233686247684;856.4001821217
-4.214185600908501 -5.517326396834649;853.9502674075
-4.20428351245085 -5.50741923651801;851.5039180481
-4.194381567901054 -5.497512205576574;849.0611339736
-4.184479767611447 -5.487605304300407;846.6219151167
-4.174578111944327 -5.4776985329897405;844.1862614121
-4.164676601271582 -5.467791891953629;841.75417279
-4.154775235973543 -5.457885381509331;839.3256492072
-4.144874016438315 -5.447979001981139;836.9006905843
-4.1349729430602915 -5.438072753699684;834.4792968680
-4.125072016240586 -5.428166637001634;832.0614679996
-4.115171236385768 -5.41826065222881;829.647203921
-4.105270603907417 -5.408354799727966;827.2365045763
-4.095370119222402 -5.39844907985005;824.8293699077
-4.08546978275138 -5.38854349295003;822.4257998595
-4.07556959491924 -5.378638039386586;820.0257943759
-4.065669556154986 -5.3687327195218435;817.6293534017
-4.0557696668910586 -5.358827533721224;815.2364768818
-4.045869927563244 -5.34892248235292;812.8471647612
-4.035970338610842 -5.3390175657881445;810.4614169851
-4.026070900475572 -5.329112784400884;808.0792334990
-4.016171613602697 -5.319208138567441;805.7006142482
-4.00627247844026 -5.309303628666512;803.3255591783
-3.9963734954388346 -5.29939925507934;800.9540682348
-3.9864746650517238 -5.28949501818921;798.586141363
-3.976575987734806 -5.279590918381726;796.2217785087
-3.9666774639468203 -5.269686956044739;793.8609796171
-3.9567790941485215 -5.2597831315678;791.503744633
-3.9468808788033787 -5.249879445342813;789.1500735035
-3.936982818377259 -5.239975897763475;786.7999661721
-3.927084913337979 -5.230072489225677;784.4534225844
-3.91718716415679 -5.2201692201269685;782.1104426855
-3.907289571306356 -5.2102660908669804;779.7710264203
-3.8973921352617102 -5.200363101847229;777.4351737335
-3.8874948565006764 -5.1904602534710245;775.102884569
-3.8775977355032047 -5.1805575461438025;772.7741588735
-3.867700772751655 -5.170654980272681;770.448996589
-3.8578039687303547 -5.160752556266562;768.1273976613
-3.847907323926336 -5.1508502745363085;765.8093620336
-3.8380108388289464 -5.14094813549481;763.4948896501
-3.828114513929511 -5.13104613955648;761.1839804546
-3.8182183497219033 -5.121144287137953;758.8766343907
-3.8083223467024383 -5.111242578657475;756.5728514019
-3.7984265053693513 -5.101341014535105;754.2726314315
-3.7885308262239907 -5.091439595193142;751.9759744226
-3.778635309769168 -5.081538321055345;749.6828803182
-3.7687399565106783 -5.071637192547739;747.3933490611
-3.7588447669566256 -5.061736210097914;745.1073805940
-3.748949741617184 -5.051835374135579;742.8249748592
-3.7390548810052664 -5.041934685092292;740.546131799
-3.7291601856358825 -5.032034143401314;738.2708513559
-3.7192656560268986 -5.0221337494983995;735.999133471
-3.709371292698297 -5.012233503820651;733.7309780874
-3.699477096172761 -5.0023334068075265;731.4663851456
-3.689583066975044 -4.992433458900131;729.2053545872
-3.679689205632655 -4.982533660541857;726.9478863536
-3.6697955126759316 -4.972634012177851;724.6939803859
-3.6599019886372184 -4.962734514255144;722.443636624
-3.650008634051303 -4.952835167223009;720.1968550110
-3.6401154494558914 -4.942935971532532;717.9536354850
-3.6302224353912207 -4.9330369276370645;715.713977987
-3.620329592399816 -4.92313803599179;713.4778824578
-3.6104369210271714 -4.913239297054101;711.2453488365
-3.600544421820824 -4.9033407112833425;709.0163770632
-3.5906520953317007 -4.89344227914092;706.7909670774
-3.580759942112787 -4.883544001090319;704.5691188185
-3.570867962719845 -4.873645877597205;702.3508322257
-3.5609761577114214 -4.863747909129174;700.1361072380
-3.551084527648581 -4.853850096156128;697.9249437941
-3.5411930730954024 -4.8439524391501;695.717341832
-3.531301794618416 -4.834054938585013;693.5133012921
-3.521410692786931 -4.8241575949372395;691.3128221107
-3.5115197681729606 -4.814260408685326;689.1159042262
-3.501629021351524 -4.804363380309664;686.9225475767
-3.4917384529003646 -4.794466510293239;684.7327520997
-3.481848063399798 -4.784569799120992;682.5465177326
-3.4719578534331306 -4.774673247280214;680.3638444126
-3.4620678235868425 -4.764776855260462;678.1847320769
-3.4521779744496546 -4.75488062355331;676.0091806620
-3.442288306613453 -4.744984552652919;673.8371901047
-3.432398820673186 -4.735088643055401;671.6687603413
-3.422509517226315 -4.725192895259318;669.5038913081
-3.4126203968737174 -4.715297309765676;667.3425829410
-3.402731460219283 -4.705401887077752;665.184835175
-3.3928427078692804 -4.695506627700857;663.030647948
-3.3829541404335717 -4.685611532143001;660.8800211933
-3.3730657585247235 -4.675716600914258;658.7329548464
-3.363177562758443 -4.665821834527433;656.589448842
-3.3532895537535903 -4.6559272334975095;654.4495031162
-3.3434017321316305 -4.646032798341784;652.3131176020
-3.3335140985176523 -4.636138529580071;650.1802922342
-3.3236266535397663 -4.626244427734889;648.051026947
-3.313739397829141 -4.616350493330913;645.9253216742
-3.3038523320200412 -4.606456726894944;643.8031763494
-3.2939654567500463 -4.596563128957123;641.6845909060
-3.284078772659968 -4.586669700049335;639.5695652773
-3.2741922803938723 -4.576776440706654;637.4580993962
-3.2643059805988175 -4.566883351465857;635.3501931955
-3.254419873925292 -4.5569904328668835;633.2458466076
-3.2445339610270305 -4.547097685452064;631.1450595650
-3.234648242561428 -4.53720510976652;629.047831999
-3.224762719188473 -4.527312706357439;626.9541638436
-3.2148773915720157 -4.517420475775064;624.8640550282
-3.2049922603796355 -4.507528418572203;622.7775054850
-3.195107326281764 -4.4976365353041725;620.6945151451
-3.1852225899521645 -4.487744826529101;618.6150839395
-3.175338052068261 -4.477853292807577;616.539211798
-3.1654537133111402 -4.467961934703053;614.4668986537
-3.1555695743653653 -4.458070752781759;612.3981444342
-3.1456856359188126 -4.448179747612535;610.3329490703
-3.135801898662921 -4.438288919766958;608.2713124919
-3.1259183632929126 -4.428398269819454;606.2132346284
-3.1160350305073115 -4.418507798347133;604.1587154092
-3.106151901008301 -4.408617505929909;602.1077547631
-3.096268975502041 -4.398727393150709;600.060352619
-3.086386254698073 -4.388837460595107;598.016508905
-3.0765037393094814 -4.378947708851547;595.9762235512
-3.066621430053535 -4.369058138511375;593.9394964837
-3.0567393276510697 -4.359168750168756;591.906327630
-3.0468574328265423 -4.349279544420899;589.8767169204
-3.036975746308279 -4.33939052186806;587.8506642795
-3.027094268828399 -4.329501683113092;585.8281696354
-3.017213001123049 -4.319613028762068;583.8092329147
-3.007331943932019 -4.309724559423808;581.7938540440
-2.997451097999299 -4.299836275710494;579.7820329498
-2.987570464072481 -4.289948178237187;577.7737695578
-2.9776900429034296 -4.280060267621864;575.7690637941
-2.9678098352474795 -4.270172544485653;573.7679155840
-2.9579298418648348 -4.260285009452844;571.7703248529
-2.948050063519195 -4.250397663150816;569.7762915257
-2.9381705009783605 -4.240510506210059;567.7858155272
-2.928291155014162 -4.230623539264116;565.7988967818
-2.9184120264029096 -4.220736762949802;563.8155352138
-2.9085331159245777 -4.210850177907129;561.8357307470
-2.898654424363914 -4.200963784779141;559.8594833052
-2.888775952509694 -4.191077584212438;557.886792811
-2.87889770115448 -4.181191576856688;555.9176591898
-2.869019671095525 -4.171305763364771;553.9520823621
-2.8591418631344565 -4.161420144393009;551.9900622513
-2.8492642780773068 -4.151534720601081;550.0315987797
-2.8393869167341332 -4.141649492651756;548.0766918693
-2.8295097799198192 -4.131764461211531;546.12534144
-2.819632868453238 -4.121879626949845;544.1775474187
-2.8097561831579654 -4.1119949905400315;542.2333097212
-2.7998797248623934 -4.102110552658612;540.2926282702
-2.7900034943991128 -4.092226313985548;538.355502986
-2.7801274926053052 -4.082342275204177;536.4219337897
-2.770251720322574 -4.072458437001743;534.4919206006
-2.7603761783973173 -4.062574800068597;532.5654633387
-2.750500867681064 -4.0526913650988625;530.6425619234
-2.7406257890296253 -4.042808132790249;528.7232162738
-2.730750943303292 -4.032925103843981;526.8074263089
-2.7208763313674327 -4.023042278964938;524.8951919472
-2.71100195409229 -4.013159658861683;522.9865131069
-2.7011278123531204 -4.003277244246493;521.081389706
-2.6912539070296924 -3.9933950358351855;519.1798216624
-2.681380239006691 -3.983513034347372;517.2818088931
-2.6715068091741867 -3.973631240506775;515.387351315
-2.661633618426779 -3.963749655040332;513.4964488459
-2.6517606676643353 -3.9538682786791854;511.6091014011
-2.641887957791849 -3.9439871121580237;509.7253088972
-2.632015489719159 -3.9341061562156483;507.84507124999
-2.6221432643615596 -3.9242254115946777;505.968388374
-2.612271282639277 -3.9143448790415394;504.09526018714
-2.6023995454779216 -3.904464559306819;502.2256866016
-2.592528053808515 -3.894584453144817;500.3596675329
-2.582656808567093 -3.884704561314017;498.4972028952
-2.572785810694894 -3.874824884576748;496.638292602
-2.5629150611391274 -3.864945423699643;494.7829365683
-2.5530445608518715 -3.8550661794532934;492.9311347059
-2.54317431079084 -3.8451871526122496;491.0828869282
-2.5333043119193044 -3.8353083439554307;489.23819314783
-2.523434565206191 -3.8254297542658815;487.39705327707
-2.513565071626014 -3.815551384330814;485.55946722787
-2.5036958321588156 -3.8056732349415494;483.72543491183
-2.4938268477901797 -3.7957953068940284;481.89495624021
-2.4839581195115734 -3.7859176009881432;480.0680311239
-2.474089648320382 -3.776040118028227;478.24465947363
-2.4642214352197245 -3.766162858823077;476.42484119954
-2.4543534812181313 -3.756285824185573;474.60857621151
-2.444485787330759 -3.746409014933267;472.7958644191
-2.434618354578361 -3.7365324318881328;470.9867057316
-2.424751183987442 -3.72665607587651;469.18110005782
-2.414884276590955 -3.7167799477292087;467.37904730620
-2.405017633428032 -3.706904048281919;465.5805473849
-2.3951512555432504 -3.697028378374694;463.78560020184
-2.3852851439882805 -3.687152938852172;461.9942056643
-2.375419299820552 -3.677277730563731;460.20636367947
-2.365553724103591 -3.667402754363098;458.42207415394
-2.355688417907555 -3.657528011109324;456.6413369941
-2.345823382308918 -3.6476535016656;454.86415210594
-2.3359586183907104 -3.6377792269004803;453.09051939506
-2.3260941272421696 -3.627905187686747;451.32043876666
-2.3162299099593464 -3.6180313849023755;449.5539101256
-2.3063659676446804 -3.608157819430218;447.79093337639
-2.2965023014074863 -3.5982844921580535;446.03150842311
-2.2866389123634767 -3.588411403978579;444.275635169
-2.2767758016355497 -3.5785385557894633;442.52331351886
-2.266912970352828 -3.568665948493398;440.77454337416
-2.2570504196517702 -3.558793582998144;439.02932463796
-2.2471881506755484 -3.5489214602169583;437.2876572124
-2.2373261645744282 -3.539049581067629;435.5495409994
-2.2274644625057642 -3.5291779464736743;433.8149759002
-2.2176030456337728 -3.5193065573635196;432.0839618159
-2.2077419151299185 -3.509435414670963;430.3564986470
