Point;Valeur
-5.278443310844976 3.211087309711683;186.71464363776
-4.245334682123065 4.023551897335183;99.85499394174
-2.899733271728744 4.986776301926756;33.79281713778
-1.7242232752239557 5.668860279968483;14.556467892240
-0.9230483748991852 5.90821060955201;16.037982516057
-0.48951101724293966 5.746563468680394;16.08297742063
-0.3066701817490982 5.328868880543701;11.31057794590
-0.23567081879291027 4.815646843315808;6.168944588144
-0.17033348164541806 4.329139229124709;3.2371686103883
-0.05655457478886912 3.9346687787585575;2.049337884589
0.1135153213232215 3.647207790862817;1.4337467262499
0.3193096073938092 3.4499285148115484;0.8787792560001
0.5307537518737281 3.3137725819976063;0.41533351803197
0.7218926252476103 3.2116781654625797;0.13980271701274
0.8773630522585711 3.1255847778129184;0.030846116178175
0.9928781327728001 3.047379907558313;0.008778415878242
1.0722083058435832 2.9762730431668643;0.015178772720853
1.123109834281062 2.91505056105366;0.02819730156241
1.1538819599293262 2.866897137403218;0.043123113166969
1.1712947615987577 2.833531211024254;0.05714691310125
1.1798842781779773 2.814657200794946;0.06682948855998
1.1822008259162697 2.8083268342479824;0.07029464432182
1.1794959656444843 2.811701471848505;0.06798507781342
1.1724347874305694 2.8218083056096774;0.0616186037768
1.1616016100011206 2.836064362419052;0.053011764362999
1.1477373763838465 2.852511938237705;0.04357930937430
1.131759016532578 2.8698205223680175;0.034317114606
1.1146567838221233 2.8871554176408223;0.025893214140819
1.0973608890412367 2.904007984221785;0.018701105064105
1.0806378039218667 2.9200509043246714;0.012896210596839
1.065040728027242 2.9350454400858523;0.008449420855729
1.0509111695052122 2.9487996098602713;0.0052137617251505
1.0384141318222233 2.9611612963435054;0.0029848114703420
1.0275866309826822 2.9720271327806262;0.0015441002231695
1.0183838375723564 2.981352238773722;0.000685983105419
1.0107143935529992 2.9891528420675417;0.0002325295699420
1.0044630027840875 2.995500132218532;4.0172640013598536e
0.9995025770048795 3.0005076826988413;5.055924048586581e
0.9956998389389292 3.0043162487022506;3.712242325962109e
0.9929180118642721 3.0070793643620544;0.00010027198326206
0.9910190043339596 3.0089518641039183;0.00016079754868009
0.989866136124304 3.010082039825871;0.00020435346703015
0.9893274314641664 3.010607098267598;0.0002264313982346
0.9892789876949719 3.0106510563812674;0.00022840468220657
PointOptimal;ValeurOptimale
[0.98927899 3.01065106];0.00022840468220657279
Temps;Nb iteration
0.002479076385498047;43
