Point;Valeur
-5.634775809101282 3.7374783309950477;183.67659450683
-5.583978377658415 3.7735312541579256;178.99230497861
-5.475307822572684 3.8532583394902886;169.08742275188
-5.312514225405404 3.973464356021934;154.81728272944
-5.100081476733416 4.130228132217692;137.28617871761
-4.843125384555527 4.319003046738047;117.75261500709
-4.547284026132244 4.5347253118592015;97.53025159139
-4.2186025774873235 4.771927816791557;77.89180867374
-3.8634148763045792 5.024857276503294;59.982488238827
-3.488223954112081 5.287592451370571;44.74834952926
-3.0995837142661165 5.5541612622365815;32.88364860473
-2.7039838357700265 5.818654721814009;24.799541256522
-2.3077398524380333 6.0753357337742395;20.614879504323
-1.916890195868396 6.318740971797641;20.168226237101
-1.5371018030943722 6.543774238339214;23.048778979108
-1.1735856799433597 6.745789912593243;28.64272137398
-0.8310235836038982 6.920665324562049;36.190674373155
-0.513506747396762 7.064861132535191;44.851435495471
-0.22448732204312483 7.175469029883142;53.76708298138
0.033257044404507996 7.250246359101555;62.124764458593
0.2576453167096706 7.287637461851156;69.2110453999
0.4473019466222919 7.286781838852437;74.4555005399
0.6015528203107173 7.247509428697223;77.46121728882
0.7204088097872934 7.170323536048087;78.0209623766
0.8045376632460467 7.056372143802997;76.11885864678
0.8552251530508793 6.907408527542595;71.9184500147
0.8743265609617927 6.7257422513514475;65.7389309503
0.8642097159754534 6.514181759825808;58.02202829739
0.8276909093252279 6.2759698901776515;49.29251057756
0.7679650926928798 6.01471370979086;40.11554422137
0.6885318190375023 5.734310137878199;31.05411695062
0.5931184106667151 5.438868835051463;22.629522489369
0.485601836801806 5.13263384218785;15.287479426167
0.36993075391666086 4.819905420958208;9.371883488256
0.2500491080256555 4.504963494230696;5.1075175776038
0.12982262070672962 4.191994007132143;2.5923221522869
0.012969382179851732 3.8850194310450736;1.7991139627508
-0.09700434226875458 3.58783451575316;2.585983593802
-0.19686211906499929 3.3039482620770917;4.714044102076
-0.2836883385793453 3.036532941611452;7.870776743171
-0.35493152055779165 2.7883808346546317;11.696946302557
-0.40843942263866556 2.561869195259212;15.814946627882
-0.4424856074823519 2.3589337866711753;19.856483377687
-0.45578729007509383 2.181051164376898;23.487691595538
-0.4475144501913578 2.0292297205397865;26.430097153659
-0.41729035296599576 1.904009345633093;28.476233146351
-0.36518377037892347 1.8054694132155005;29.499180410743
-0.29169333578442597 1.733244654463363;29.455779398969
-0.19772459027859193 1.6865483624092288;28.383723588112
-0.08456039186194146 1.664202253675191;26.3931609310
0.04617454549936749 1.6646722193450025;23.653773415536
0.19255413684329376 1.686109117658947;20.378556423823
0.3523955281804373 1.7263937002605971;16.80566787367
0.5233068659368758 1.783184721243127;13.179758743847
0.7027372604425564 1.8539692543513684;9.734135944054
0.8880279645013032 1.9361142381737702;6.6749568890696
1.0764638003676021 2.026918281464626;4.168429508432
1.2653238977231847 2.1236627900227383;2.3317127473005
1.451930850373909 2.2236615216992988;1.2279041626382
1.6336974590045197 2.3243077357472064;0.8651867601912
1.808170299857027 2.423118175273927;1.1999093081838
1.973069442878948 2.5177732052656228;2.143112843174
2.126323735824173 2.6061525216118984;3.5698068649438
2.266101170985156 2.6863659467833085;5.330152936227
2.390833956631417 2.7567789332380266;7.26163696221
2.4992380237478726 2.8160325041814227;9.201304937926
2.590326808244292 2.8630574709100136;10.997196064865
2.663419257433656 2.897082874628026;12.518223177372
2.7181421153300764 2.9176387064101976;13.66191129824
2.7544266423955195 2.924553060093225;14.359596449765
2.772500020108994 2.917943967657295;14.578893016830
2.772871777660186 2.8982062536191973;14.323443453324
2.7563156558915574 2.865993822814988;13.630154517457
2.723847391243455 2.822197863613627;12.564287148264
2.67669895903673 2.7679215052182204;11.212892969951
2.61628986032518 2.7044515126422164;9.677172918040
2.5441960693641206 2.6332276357973345;8.06436979368
2.4621172793066655 2.5558102497291033;6.479797290168
2.371843092110307 2.473846931441537;5.019556984664
2.2752187950932043 2.3890386152427476;3.7644084177683
2.1741113515988055 2.303105953597714;2.775144203380
2.070376207481927 2.2177564847615043;2.0896919360338
1.9658254794562249 2.1346531728270777;1.7220278263237
1.8621980467342423 2.055384841246427;1.6628535913538
1.7611320149602072 1.9814389684847602;1.881867313376
1.664139962400772 1.9141772554652245;2.331358397199
1.572587314013182 1.8548143101475278;2.9507820964668
1.487674120697838 1.8043997263023814;3.671923814868
1.4104204501311282 1.7638037626631933;4.42424868603
1.3416555234316354 1.7337067565237205;5.14004672848
1.2820106598801098 1.7145923338464313;5.759025089286
1.231916021283309 1.7067444073453806;6.232061811894
1.1916010795658416 1.7102478860281762;6.523914266653
1.1610986669245726 1.7249929554602272;6.61476323899
1.140252408412806 1.750682728572163;6.500563864251
1.128727283036244 1.7868440130721301;6.192260617313
1.1260230121129207 1.8328408942195569;5.713999639937
1.131489933397022 1.8878907914877068;5.10053314515
1.1443469867702951 1.9510826149693958;4.394054154844
1.1637014124880256 2.021396622585342;3.640723572503
1.188569746200059 2.0977255624089866;2.8871552559659
1.2178996862708915 2.1788966757451274;2.1771094578877
1.250592408170565 2.2636941358668925;1.5486131258018
1.2855249076351063 2.3508815042603777;1.0316804836341
1.321571968507948 2.4392238004564137;0.6467531334860
1.3576273721615046 2.527508802532966;0.4039200624582
1.3926239925453074 2.6145672225342125;0.3029188797644
1.4255524535099517 2.699291433669716;0.3338645172172
1.4554780623363803 2.780652463450704;0.4786041078938
1.481555774522921 2.8577150080561617;0.7125596385561
1.5030429889732588 2.929650267323681;1.0068951498221
1.5193100188895179 2.995746445931816;1.3308336362582
1.5298481310023422 3.0554168136782036;1.6539502870526
1.5342750933717717 3.1082052653686576;1.94828230031
1.5323382190015973 3.153789367849265;2.19011941082
