Point;Valeur
-6.8924126504700345 -1.3482978205565477;680.5378427235
0.34758734953036274 5.891702179443849;28.845254139387
5.0325303654464975 9.975061499664669;549.5810987477
3.261821107756145 7.420411009515822;203.26477249294
-0.672645804621486 2.7480619928092116;17.677308141944
-2.9601109169407356 -0.26445661961700884;235.11665985697
-1.9297424928457765 0.1566723979140212;149.98125621115
0.9289880187061501 2.5381047760235087;1.3543502571357
3.390468587723433 4.648324477449055;73.67871134499
3.8756583345714253 4.918879141597288;103.90186645879
2.5819183715182215 3.527682621734246;20.582580086354
0.7971935667314345 1.7415496719624102;10.165912967364
-0.17285986609445314 0.8521709963240358;50.096667973795
0.13517220266945307 1.2986225591353793;29.984249613479
1.2027368544005217 2.5375066587426836;0.5248960526963
2.118603851578337 3.639495495519113;14.023882322613
2.2482791829351485 3.9531470540825207;21.851800133374
1.614566919923818 3.4872755624229717;5.471357396415
0.740584233119565 2.756525814781497;1.1381694346622
0.20773690273266787 2.3371494204130787;9.536474956423
0.26528585354195156 2.4760615749394232;7.1511415334223
0.7318660400108192 2.992545026883433;0.37574843732510
1.2050113803508282 3.486676993739319;2.192615389714
1.3667869614844421 3.6445264173710474;4.640965978812
1.1748345485068197 3.429031017159214;1.67324921862
0.8327579746174192 3.04954863638749;0.08583189767452
0.60551129546436 2.776606009516023;1.7326423122093
0.6323021031555321 2.75448733711698;1.6995869732249
0.8588676891908433 2.9331514781142896;0.19741116110643
1.1108800419249611 3.1414742620879497;0.2870401295459
1.230982480779701 3.2243564737976387;0.9330229879843
1.1777748801909176 3.141782676728655;0.460174364184
1.0293114998428359 2.9723908706233355;0.0016330203087902
0.9078898133132971 2.8383658886523233;0.29215454758245
0.8912465432123373 2.8167408917524277;0.3864965676727
0.9707646407403099 2.8977414856010846;0.08047406523709
1.0747400200285993 3.008235905895469;0.033193917871620
1.1283318101736888 3.0718675690561734;0.18195316676058
1.1036145290967472 3.0592568166307927;0.12035564199355
1.028904771466522 2.9974321664478234;0.0036166167774998
0.9593513759380667 2.940472591015447;0.04533677344626
0.9357900569981319 2.9283769614104327;0.08305517198918
0.9611132045352575 2.9634349120004466;0.025621135395170
1.0061367249068358 3.0160902547291757;0.002272710184790
1.0352251975280466 3.05055652697351;0.03323079399435
1.0309547037640419 3.0494585646258203;0.02926951823252
1.0018675988448607 3.021549721323901;0.0026613619501282
0.9716278787211643 2.9908164461336284;0.006531029869926
0.9604108678131421 2.9778143285775185;0.01732400884766
0.9722783616092303 2.986997321063494;0.007571438981685
0.9956248957639635 3.007131633758789;0.0001003955571849
1.0138008836461325 3.021899711907982;0.005768191862740
1.0169279199727916 3.021704820653685;0.006727608307464
1.0069335342089356 3.0086985979644787;0.0011011937283225
0.9938640708992407 2.9930884429597535;0.0007663668250490
0.9876348793849313 2.984885225353644;0.003401931194750
0.9915336939272716 2.98740949237622;0.0020037568329393
1.0013818272587849 2.9964617030570775;3.3030437823839406e
1.0097698473171248 3.0045715453639823;0.0009390511197497
1.011575152332867 3.006530417186465;0.0014878770906358
1.0068862174370523 3.0023286710965773;0.0003924993824152
0.9999318106274241 2.996094383705455;7.842301435091154e
0.9955120647549265 2.9925308797988865;0.0006478140191154
0.9957670989523267 2.993690042415717;0.0005023404885284
0.9993318636780876 2.9981311712240895;2.9683694768613355e
1.0029532193878774 3.002541521376675;0.00013594953993957
1.0040166252130316 3.004265218551644;0.0003086811119652
1.0021441406539198 3.0029014965363827;0.00011484983991909
0.9990018282580783 3.0001101931766465;4.162513092103209e
0.9968010415826268 2.998109620141694;0.00011741232730195
0.9967378818838432 2.998112140753584;0.00012029449447809
PointOptimal;ValeurOptimale
[0.99673788 2.99811214];0.00012029449447809848
Temps;Nb iteration
0.004448890686035156;70
