Point;Valeur
-6.99179119752854 -2.565673096761623;830.0647959287
-4.5897911975293155 -0.16367309676246267;347.747141700
-3.277106553038493 1.1289305454157192;172.99481425275
-2.4071379347726487 1.96842609832323;91.48138468933
-1.7907915735581383 2.54683838176384;50.0868023014
-1.3397566902350135 2.954306408357172;28.238041463061
-1.0032156708466724 3.2431020876882757;16.463970951438
-0.7485028370944985 3.447110743326346;10.031655715014
-0.5532925606770147 3.5896721318975797;6.4746883252354
-0.40179275609984844 3.687401111792384;4.478964905372
-0.2826144641284426 3.752336706782529;3.3358883837071
-0.1874532650131387 3.7932843975520223;2.660821776292
-0.11021515862973025 3.816715689296423;2.2441699695899
-0.04641108113586219 3.8273978549097505;1.9714305340810
0.0072738743932824895 3.828846101549433;1.779917669655
0.05329183426493266 3.8236528359930464;1.6352308020205
0.09345930333845043 3.813729255284764;1.5184271902116
0.12912377907819966 3.8004833115456726;1.4190195709919
0.16128634342535006 3.784951072151038;1.3311504453315
0.19069203290860753 3.7678937760344375;1.2515007777536
0.21789653188012928 3.7498695774998714;1.1781463129229
0.24331542730630407 3.731286589448617;1.1099318486717
0.26726060180929256 3.7124421029839327;1.0461286965358
0.28996713227230575 3.6935515859820915;0.9862470062637
0.31161317586683307 3.6747701236566956;0.9299327975472
0.33233467470717476 3.6562082701831833;0.8769113369023
0.35223623118767605 3.637943767463027;0.8269558803368
0.3713991527326733 3.6200302077942292;0.7798703072064
0.38988740391721555 3.6025034367004984;0.7354793683608
0.4077520113446613 3.585386284724554;0.6936231143332
0.42503432441811817 3.568692063589239;0.6541536241164
0.44176843002634447 3.5524271486928582;0.6169330055537
0.457982941477792 3.5365928860178055;0.5818321036434
0.47370232459418166 3.521186999507836;0.5487296076260
0.488947881428223 3.506204629103727;0.5175113870393
0.5037384806841249 3.4916390957095387;0.488069963183
0.5180911007181497 3.477482464284101;0.4603040642130
0.5320212338387624 3.4637259577061497;0.4341182349473
0.5455431879397458 3.450360260346835;0.40942248507140
0.5586703121183705 3.4373757401437883;0.3861319662828
0.5714151659918303 3.424762610467601;0.36416667276423
0.5837896472966979 3.412511047527589;0.3434511614648
0.5958050885586114 3.4006112749604944;0.3239142898622
0.6074723308149818 3.38905362421175;0.30548896954202
0.6188017802969621 3.3778285770774;0.2881119343267
0.6298034524419639 3.366926795112007;0.2717235219192
0.6404870064704151 3.356339139381834;0.25626746817259
0.650861772924583 3.346056683139022;0.2416907132026
0.6609367759401914 3.3360707193124726;0.22794321862768
0.6707207515666538 3.326372764223388;0.2149777952774
0.6802221631087685 3.31695455856087;0.20274994076147
0.6894492142117129 3.3078080663829796;0.19121768632309
0.6984098602262351 3.298925472709096;0.18034145244537
0.7071118182502568 3.2902991801178243;0.17008391270355
0.7155625761441797 3.281921804658267;0.16040986539129
0.7237694007397045 3.273786171299118;0.15128611247456
0.7317393454067768 3.2658853090808826;0.14268134545303
0.7394792571017775 3.258212446092074;0.13456603773367
0.7469957829889927 3.250761004357001;0.1269123431435
0.7542953767057716 3.243524594699888;0.11969400023059
0.7613843043232125 3.2364970116303304;0.11288624202174
0.7682686500437429 3.2296722282837886;0.10646571092563
0.774954321664841 3.2230443914393314;0.10041037848683
0.781447055834889 3.216607816631517;0.09469946971359
0.7877524231189224 3.2103569833666614;0.08931339171835
0.7938758328892693 3.204286530450473;0.08423366642456
0.7998225380535292 3.1983912514312456;0.07944286710780
0.8055976396298485 3.192666090160351;0.07492455855212
0.8112060911779121 3.1871061364711686;0.07066324061552
0.8166527030923155 3.1817066219752395;0.06664429500994
0.8219421467653525 3.176462915975058;0.06285393511239
0.8270789586230795 3.171370521490746;0.05927915863455
0.8320675440415908 3.1664250713996585;0.055907702987436
0.8369121811462997 3.1616223246854824;0.05272800318782
0.841617024499002 3.1569581627947088;0.04972915216143
0.8461861086763023 3.15242858609764;0.046900863306141
0.8506233517432095 3.1480297104514934;0.044233435186591
0.8549325586247919 3.1437577638621783;0.04171771823855
0.8591174243793778 3.139609083242955;0.039345083368782
0.8631815373765788 3.135580111266528;0.03710739234201
0.8671283823825812 3.1316673933086077;0.03499696985369
0.8709613435553296 3.1278675744791733;0.033006577192112
0.8746837073533461 3.1241773967405067;0.03112938739949
0.8782986653596266 3.120593696108369;0.02935896184679
0.8818093170236029 3.1171133999341127;0.027689228141567
0.8852186723235681 3.113733524265699;0.026114459293011
0.8885296543520681 3.1104511712849794;0.024629254062621
0.8917451018260655 3.107263526819344;0.023228518433023
0.8948677715248264 3.1041678579254457;0.02190744813116
0.8979003406566187 3.101161510542577;0.02066151214598
0.9008454091572162 3.0982419072143133;0.019486437183928
0.9037055019219024 3.095406544875916;0.01837819300883
0.9064830709727562 3.0926529927058826;0.01733297861591
0.9091804975631155 3.0899788900395193;0.016347209192437
0.9118000942212543 3.087381944342881;0.015417503820164
0.9143441067351881 3.08485992924557;0.014540673877435
0.9168147160794622 3.082410682629987;0.013713712101118
0.9192140402869473 3.0800321047763863;0.01293378227075
0.9215441362658973 3.0777221565610233;0.01219820947962
0.9238070015647848 3.0754788577067127;0.011504470959179
0.9260045760860796 3.073300285083916;0.010850187425556
0.928138743750484 3.071184571060932;0.010233114918265
0.9302113341130551 3.0691299019017526;0.0096511371031
0.932224123932537 3.0671345162101344;0.009102258013347
0.9341788386954547 3.0651967034187453;0.008584595202755
0.9360771540961582 3.0633148023219565;0.008096373289504
0.9379206974741351 3.0614871996510518;0.007635917866283
0.939711049209637 3.0597123286904306;0.007201649757221
0.9414497440791696 3.0579886679339725;0.006792079601419
0.9431382725717888 3.0563147397801744;0.006405802744577
0.9447780821672839 3.054689109264889;0.006041494421190
0.9463705785776025 3.0531103828307624;0.005697905210769
0.9479171269521991 3.0515772071321168;0.005373856752535
0.9494190530488182 3.0500882678744583;0.005068237703832
0.9508776443703233 3.048642288687419;0.004779999928434
0.952294151268735 3.0472380300302633;0.004508154901658
0.9536697880173772 3.0458742881289975;0.004251770319938
0.9550057338521166 3.044549893944158;0.004009966903244
0.9563031339824771 3.0432637121684603;0.0037819153793765
0.957563100573551 3.04201464025326;0.0035668336397788
0.9587867136996744 3.040801607463259;0.003363984057118
0.9599750222704566 3.0396235739584196;0.003172670955438
0.9611290449300973 3.038479529902407;0.002992238224203
0.962249770930786 3.0373684945967545;0.002822067068035
0.9633381609808861 3.036289515640066;0.002661573884448
0.9643951480685812 3.0352416681114285;0.0025102082622827
0.9654216382618009 3.0342240537774017;0.002367451093980
0.9664185114850069 3.033235800321943;0.0022328127952299
0.9673866222736436 3.0322760605985524;0.0021058316258622
0.9683268005067274 3.0313440119039585;0.0019860721062519
0.9692398521182931 3.030438855272761;0.001873123523782
0.9701265597884327 3.0295598147925626;0.0017665985242584
0.9709876836141711 3.0287061369386374;0.0016661317834268
0.9718239617612112 3.027877089928051;0.0015713787540603
0.9726361110966901 3.027071963092202;0.0014820144842950
0.9734248278037776 3.0262900662676278;0.0013977325031772
0.9741907879785172 3.025530729204337;0.0013182437695928
0.9749346482094086 3.024793300991183;0.001243275680975
0.975657046140303 3.0240771494978937;0.001172571138394
0.976358601017017 3.0233816608330915;0.0011058876648123
0.9770399142182139 3.022706238818089;0.0010429965734949
0.9777015697709481 3.0220503044757887;0.000983682183712
0.9783441348513329 3.02141329553433;0.0009277410810489
0.9789681602707293 3.020794665945084;0.0008749814197809
0.979574180947958 3.0201938854145527;0.0008252222649316
0.9801627163678532 3.0196104389497718;0.0007782929717446
0.9807342710265866 3.0190438264168313;0.0007340326004498
0.9812893348641648 3.01849356211214;0.0006922893643125
0.9818283836843971 3.017959174346054;0.0006529201090751
0.9823518795627959 3.0174402050385285;0.0006157898220040
0.9828602712426856 3.016936209326442;0.0005807711688583
0.9833539945198623 3.0164467551822005;0.0005477440571929
0.9838334726162096 3.015971423043459;0.0005165952244984
0.9842991165424574 3.0155098054533913;0.0004872178497640
0.9847513254505528 3.0150615067114543;0.000459511187132
0.985190486975787 3.0146261425341407;0.0004333802203898
0.9856169775691208 3.0142033397255954;0.00040873533710615
0.9860311628198679 3.01379273585768;0.0003854920213078
0.9864333977690937 3.013393978959302;0.0003635705636294
0.9868240272139672 3.0130067272146817;0.0003428957879491
0.9872033860033196 3.0126306486703553;0.0003233967935721
0.9875717993246882 3.0122654209506043;0.0003050067120764
0.9879295829830966 3.011910730981138;0.0002876624779870
0.9882770436717228 3.0115662747206713;0.000271304612493
0.9886144792348425 3.011231756900337;0.0002558770194665
0.9889421789231275 3.0109068907705603;0.00024132679307851
0.9892604236416026 3.010591397855246;0.00022760403636113
0.9895694861904307 3.0102850077130716;0.000214661690086
0.9898696314987766 3.009987457705669;0.00020245537137504
0.9901611168519048 3.0096984927724746;0.0001909432214898
0.9904441921117181 3.0094178652120953;0.00018008576227859
0.9907190999309429 3.009145334469967;0.00016984576078602
0.9909860759611497 3.0088806669321584;0.00016018810156402
0.9912453490547359 3.008623635725108;0.00015107966624443
0.9914971414611198 3.008374020521159;0.00014248921996025
0.9917416690172373 3.008131607349664;0.00013438730422671
0.991979141332571 3.0078961884135977;0.0001267461359146
0.9922097619688256 3.0076675619114153;0.00011953951196918
0.9924337286144226 3.007445531864069;0.0001127427195472
0.9926512332539572 3.007229907947013;0.00010633245126644
0.9928624623327826 3.007020505327062;0.0001002867252728
0.9930675969168117 3.0068171445039384;9.45848098557491e
0.9932668128477482 3.0066196511564174;8.920715234931608e
0.9934602808938001 3.006427855992885;8.413531207775229e
0.9936481668960772 3.0062415946062284;7.935189711407852e
0.9938306319107433 3.0060607073329013;7.484050463570983e
0.9940078323470868 3.005885039116065;7.058566467187222e
0.9941799201015806 3.0057144393726682;6.65727870506102e
0.9943470426880935 3.005548761864363;6.278811136280112e
0.9945093433643425 3.0053878645721546;5.9218659771843876e
0.9946669612546916 3.0052316095746607;5.585219250727244e
0.9948200314694131 3.005079862929882;5.267716588943934e
0.9949686852205027 3.004932494560395;4.9682692741524236e
0.9951130499341498 3.0047893781418313;4.685850505298925e
0.9952532493599775 3.004650390994613;4.419491876637673e
0.9953894036771131 3.0045154139787766;4.168280056687245e
0.9955216295972132 3.0043843313918552;3.931353656047649e
0.9956500404645023 3.0042570308696894;3.7079002733667386e
0.995774746352933 3.004133403290111;3.49715370930515e
0.9958958541605483 3.0040133426794093;3.2983913389353985e
0.9960134677011058 3.0038967461214803;3.1109316336015965e
0.9961276877930754 3.003783513669615;2.9341318236971964e
0.9962386123460559 3.0036735482608212;2.76738569437616e
0.9963463364447052 3.0035667556326215;2.6101215066215914e
0.9964509524302454 3.0034630442422476;2.4618000365513155e
0.9965525499796237 3.003362325188178;2.3219127262272883e
0.9966512161823734 3.0032645121339203;2.1899799396407297e
PointOptimal;ValeurOptimale
[0.99665122 3.00326451];2.1899799396407297e-05
Temps;Nb iteration
0.01194906234741211;206
