Point;Valeur
-7.151796562726873 2.9335400176629634;336.615166691
-7.089779195433994 2.995557384954891;327.51025403664
-7.045937847465609 3.039324288703716;321.1621049623
-7.010057688143864 3.0751052200798807;316.0205476432
-6.978882177632252 3.106168519180633;311.5923139508
-6.950892198160385 3.134037907999062;307.6474968820
-6.925236227798964 3.159567179541394;304.05729401946
-6.901381148766788 3.1832907397902024;300.7410977979
-6.878967400775764 3.2055689511578627;297.64456096256
-6.857739104760488 3.2266582266167987;294.7290192652
-6.837506616545754 3.246748583923462;291.9658248673
-6.818124834558997 3.265985396354974;289.3330645361
-6.79947985423995 3.2844827722357657;286.8135410145
-6.781480353818668 3.3023321899792264;284.39347027661
-6.76405181163742 3.319608294127348;282.0616071370
-6.747132495313447 3.3363729150905304;279.808638861
-6.730670601810675 3.3526779351983107;277.6267528340
-6.714622169195763 3.368567381270753;275.50932091676
-6.698949520143267 3.384078984242411;273.45066420781
-6.683620080677752 3.3992453627336134;271.4458745295
-6.668605469297143 3.4140949356656396;269.49067678975
-6.653880784561419 3.428652636000798;267.58132134
-6.639424040787175 3.442940476079745;265.71449872872
-6.625215715913275 3.4569780005652193;263.8872713821
-6.611238385468361 3.4707826531181434;262.09701832951
-6.5974764234363 3.4843700760502343;260.3413900121
-6.583915755677567 3.4977543573215786;258.61827104364
-6.570543655058736 3.5109482357553694;256.9257492697
-6.557348569991969 3.523963272781981;255.26208987562
-6.544319979966883 3.536809997142197;253.62571357070
-6.531448273065416 3.5494980275703183;252.01517809443
-6.518724641509865 3.562036177412621;250.42916244558
-6.506140992108137 3.5744325443222467;248.86645336180
-6.493689869082893 3.58669458755131;247.32593366945
-6.481364387257585 3.598829194866951;245.8065721975
-6.469158173952569 3.6108427407442663;244.30741500697
-6.45706531824523 3.6227411371825684;242.82757773194
-6.445080326486686 3.634529878255059;241.36623886586
-6.433198083158885 3.646214079309733;239.92263385379
-6.421413816310636 3.65779851158411;238.4960498760
-6.40972306693555 3.669287632871373;237.08582122734
-6.398121661757179 3.6806856147744775;235.69132520953
-6.386605688969886 3.6919963669995766;234.31197847150
-6.375171476553755 3.7032235590714913;232.94723373698
-6.36381557283746 3.714370639798265;231.59657687185
-6.352534729031309 3.7254408547613482;230.2595242489
-6.341325883493079 3.7364372620719566;228.93562037412
-6.330186147520378 3.7473627465971737;227.62443574326
-6.319112792493478 3.758220032833946;226.32556490244
-6.308103238215138 3.769011696584772;225.038624689
-6.29715504231433 3.779740175567558;223.76325263413
-6.286265890597474 3.790407779076105;222.4991055057
-6.275433588246459 3.801016696793289;221.2458579828
-6.2646560517739935 3.811569006845608;220.00320144113
-6.25393130165859 3.822066683176197;218.77084284271
-6.243257455590506 3.8325116023077745;217.54850371747
-6.2326327222678515 3.842905549552598;216.33591922762
-6.2220553956890114 3.85325022472685;215.13283730709
-6.211523849893996 3.863547247414408;213.93901786862
-6.201036534112655 3.873798161824229;212.75423207226
-6.190591968281329 3.8840044412778187;211.5782616495
-6.180188738894779 3.8941674923610994;210.4108982780
-6.169825495163803 3.904288658770433;209.25194300229
-6.159500945450145 3.914369224880923;208.10120569635
-6.149213853956296 3.9244104190590727;206.95850456489
-6.138963037647038 3.934413416743681;205.8236656792
-6.128747363384017 3.944379343313474;204.69652254571
-6.11856574525502 3.954309276759025;203.57691570280
-6.10841714208269 3.9642042501760244;202.46469234620
-6.098300555097721 3.974065254093288;201.35970597800
-6.08821502576355 3.9838932386486414;200.26181607910
-6.078159633740845 3.9936891156254757;199.1708878024
-6.068133494980924 4.003453760359966;198.08679168614
-6.058135759938096 4.013188013528549;197.00940338376
-6.048165611892318 4.022892682826358;195.9386034121
-6.038222265373637 4.032568544541951;194.8742769141
-6.028304964681248 4.04221634503887;193.8163134352
-6.018412982489978 4.051836802148196;192.7646067144
