Point;Valeur
3.0534709683187895 4.154000936915933;46.699965271611
2.539778276281833 3.6708902259501706;22.369231742427
1.793791489178011 2.9778408480769345;3.012261811895
1.0911721885451064 2.343460987302597;1.7179144265660
0.6274499572354564 1.9573641083272864;9.236888053084
0.47782593882080293 1.8899064033109099;12.162164371269
0.6030973842839205 2.098024342731301;7.719430844795
0.8890636741234065 2.464540683861409;1.9703328517034
1.1995010282446197 2.8510326088888625;0.07220653781287
1.4233214945369113 3.1448827481825234;1.49161634423
1.502866943426624 3.2874678142940903;2.8340290240920
1.439127708699945 3.279277457132657;2.335252971790
1.2777252494852673 3.1658047978084274;0.891498156587
1.0844811232715263 3.013032263867688;0.045342342776185
0.9205066878758874 2.8824478577805857;0.17544533712262
0.8245586992011773 2.8133372417502382;0.5901000336612
0.8063611441226533 2.8160518062981374;0.6416208645113
0.8503670743300242 2.8757260255059442;0.3379339930109
0.9263619688336404 2.9628449567550366;0.055903478222644
1.0020611143085167 3.0458135687508783;0.01127107238603
1.0533814258142453 3.10120743869408;0.1086833903888
1.0697939100653648 3.119110110711878;0.1617973246192
1.0542770207496073 3.103056464215558;0.11258193176320
1.019155327762293 3.0658656509071958;0.033619477806779
0.980064598384012 3.0236038934963445;0.0010083953564824
0.9503305791688468 2.9899637018024388;0.016826870186155
0.9373842925653865 2.972681667083203;0.03701954458660
0.9418318468542741 2.9726122633299554;0.03341286328896
0.9588390441071395 2.985117453520451;0.014479211112394
0.9808624388285946 3.0028033469191646;0.0014413312224909
1.0005739660086443 3.0184506947122434;0.001788508434523
1.0130379155990425 3.0271977382956763;0.007385335588910
1.0166489989756617 3.0274839546052625;0.008823427294739
1.0128348301065724 3.0207578739384657;0.005109501254539
1.0049034989479682 3.0103295467643147;0.0010589265649788
0.9965891174305259 2.999920477669224;6.037214917458454e
0.9908107806434773 2.99242643863716;0.0012657638538807
0.9889740246373342 2.989222238041802;0.002139344130154
0.990900597730595 2.990094276768562;0.0016257016556094
0.995260002892216 2.9936743780525186;0.0005522727659092
1.0002525319340376 2.998124650872482;1.4114849301611919e
1.0042754337035869 3.001805074588403;0.0001694279519793
1.0063721396836616 3.003723777067366;0.00046218081997026
1.0063779223310383 3.0036834313653418;0.00045916891269855
PointOptimal;ValeurOptimale
[1.00637792 3.00368343];0.00045916891269855636
Temps;Nb iteration
0.0024166107177734375;43
