Point;Valeur
3.1432769684956483 -7.643143585539787;406.861071576
3.7692769684948773 -7.017143585540179;318.13834253548
4.167117922718405 -6.605240980179798;268.08900423579
4.46769596831236 -6.284587552112288;233.57339213221
4.710563074904 -6.017578349481899;207.74264212029
4.913795230090603 -5.786940372445351;187.51828852581
5.087442024556885 -5.583053446457675;171.21807699576
5.23778737985734 -5.39990473833536;157.81012511296
5.369085050176645 -5.23343359453354;146.6110916203
5.484385547929886 -5.080740413819553;137.14315266365
5.585975270221273 -4.93966547204965;129.05840886649
5.675629054069731 -4.808546127992793;122.09557725256
5.754764598828257 -4.6860680034030695;116.0535863418
5.824541571947799 -4.571169196836299;110.7746576257
5.885927757501246 -4.462976122742984;106.13301576733
5.939744659459263 -4.360759081392359;102.02709487978
5.986699806167488 -4.263900612408545;98.37400111155
6.027410169816753 -4.171872400346585;95.1054797751
6.0624194882946565 -4.084218061048227;92.16491448710
6.092211305368963 -4.000540069718247;89.50505193762
6.1172189446216425 -3.920489667787446;87.08624817325
6.137833250029997 -3.8437589523360463;84.87509710994
6.154408675768128 -3.7700745914650957;82.8433441754
6.167268140082367 -3.6991927692258995;80.96701606826
6.1767069432749 -3.6308950730634084;79.22571671379
6.182995969704442 -3.564985112830516;77.60205272053
6.186384336889367 -3.5012857141858262;76.08116095547
6.187101613820493 -3.439636567811236;74.65031752146
6.185359700700507 -3.3798922440027956;73.29861225876
6.181354440241258 -3.3219205028936227;72.01667645341
6.175267014210163 -3.26560084602093;70.79645408919
6.167265166513867 -3.2108232665791716;69.6310089825
6.157504284768074 -3.1574871645545315;68.51436166851
6.146128365172448 -3.1055003997294954;67.44135108
6.13327088005808 -3.0547784608063018;66.40751702300
6.119055563309894 -3.0052437329986774;65.40900004135
6.103597125662662 -2.956824849666121;64.44245610670
6.087001909398309 -2.909456116112765;63.504983703053
6.069368490069526 -2.8630769957168862;62.5940615135
6.050788231416985 -2.817631650175354;61.70749509131
6.031345798500447 -2.7730685269748805;60.84337118497
6.011119633200109 -2.7293399882646363;60.00001859308
5.990182395557067 -2.6864019761830877;59.175974593454
5.968601373895461 -2.64421371041272;58.36995613850
5.946438866257019 -2.6027374143240167;57.58083512826
5.923752535350695 -2.561938066572795;56.807617174808
5.900595738969346 -2.5217831754256457;56.04942335806
5.8770178376085465 -2.482242573437246;55.30547454579
5.853064480871644 -2.4432882303950882;54.5750779126
5.828777874085232 -2.4048940827081258;53.857615345900
5.804197026462672 -2.3670358776164075;53.15253347016
5.779357982017383 -2.329691030796225;52.45933506233
5.754294034387149 -2.2928384960855124;51.7775716599
5.7290359266108 -2.2564586461982583;51.106837194916
5.7036120368644845 -2.2205331634131222;50.44676250792
5.678048551079905 -2.1850449393312874;49.79701061994
5.652369623325996 -2.1499779828848014;49.157272654255
5.626597524772886 -2.115317335863269;48.52726431782
5.600752782003685 -2.081048995302739;47.906722863819
5.57485430541015 -2.0471598421296817;47.2954044
5.548919508340441 -2.013637575528101;46.69308195999
5.522964417642808 -1.9804706525371365;46.099542863915
5.497003776201455 -1.9476482324341229;45.5145876988
5.471051138024023 -1.915160125501899;44.93802850918
5.445118956404632 -1.882996745813559;44.36968759004
5.41921866565172 -1.8511490676974125;43.80939638071
5.393360756842004 -1.8196085855841313;43.25699450402
5.367554848019717 -1.7883672769521661;42.71232893082
5.34180974925015 -1.7574175681234872;42.17525325260
5.31613352288915 -1.7267523026748592;41.64562704750
5.290533539421925 -1.6963647122563161;41.12331532680
5.265016529188477 -1.6662483896213287;40.608188051200
5.239588630297328 -1.6363972636923658;40.100119707067
5.2142554330057935 -1.6068055765011884;39.59898893493
5.189022020823804 -1.5774678618530407;39.10467820289
5.163893008587967 -1.548378925581333;38.61707351910
5.138872577716805 -1.5195338272662458;38.136064178014
5.1139645088678725 -1.4909278633028893;37.661542535962
5.0891722121804825 -1.462556551215638;37.193403812213
5.06449875528224 -1.4344156151193987;36.731545912072
5.039946889229593 -1.4065009722416797;36.27586926925
5.01551907252982 -1.3788087204227866;35.826276704966
4.991217493388613 -1.3513351265177584;35.38267330156
4.9670440903154445 -1.3240766156352648;34.944966288935
4.9430005712085805 -1.297029761144732;34.51306494202
4.919088431027362 -1.2701912753967832;34.08688048798
4.8953089681625865 -1.2435580011045202;33.66632602196
4.871663299598577 -1.2171269033297059;33.25131643025
4.848152374956447 -1.1908950620355019;32.841768320061
4.8247769895003305 -1.1648596651602232;32.4375999550
4.801537796185328 -1.1390180021733232;32.03873119587
4.77843531681592 -1.11336745807766;31.645083445534
4.755469952383009 -1.087905507826519;31.25657959826
4.732641992636495 -1.0626297111231662;30.87314399230
4.709951624953461 -1.0375377075767713;30.494702365713
4.6873989425526865 -1.0126272121858293;30.121181814987
4.664983952101276 -0.9878960111294045;29.75251075620
4.642706580762254 -0.9633419578391027;29.388618888429
4.620566682720927 -0.9389629693352769;29.02943715914
4.598564045229458 -0.9147570228056501;28.674897731498
4.5766983942050805 -0.890722152412247;28.324933953254
4.554969399415424 -0.866856446305355;27.979480327184
4.533376679278804 -0.8431580438363256;27.638472482883
4.511919805310225 -0.8196251329474727;27.3018471497
4.490598306238444 -0.7962559477339057;26.969542131438
4.469411671815904 -0.7730487661604485;26.641496280605
4.44835935634795 -0.7500019079233802;26.317649475625
4.4274407819575785 -0.7271137324491692;25.99794259746
4.40665534160862 -0.7043826370175785;25.682317507673
4.386002401902943 -0.6818070550027979;25.37071702714
4.36548130566663 -0.6593854542236567;25.06308491553
4.345091374346061 -0.6371163353953041;24.75936585142
4.324831910220656 -0.6149982306753274;24.459505413112
4.304702198451136 -0.593029702298016;24.16345005994
4.284701508972152 -0.5712093412906393;23.87114711428
4.264829098240988 -0.5495357662667385;23.58254474400
4.245084210855315 -0.5280076222906787;23.297591945436
4.225466081045227 -0.506623579808587;23.01623852688
4.205973934052721 -0.4853823336411014;22.738435092525
4.186606987403876 -0.4642826020350335;22.464133026776
4.167364452082965 -0.4433231257684053;22.193284479099
4.14824553361626 -0.42250266730694785;21.92584234917
4.129249433069384 -0.4018200100065249;21.661760272493
4.110375347967371 -0.38127395736110703;21.400992606257
4.091622473142473 -0.3608633322907479;21.143494415715
4.072990001512892 -0.3405869764697361;20.889221460781
4.054477124799206 -0.32044374968951683;20.638130182995
4.0360830341842115 -0.30043252925620323;20.390177692812
4.017806920917798 -0.2805522094187867;20.145321757179
