Point;Valeur
3.2557077954187967 -6.437678316825894;300.48079195164
5.902271224359968 -2.621776276607952;57.70738174226
5.57208436791115 -1.2375957951155865;39.30870401140
4.528951926509706 -0.4292568702040346;24.253060798465
3.604710485004861 0.3904405084311614;13.594411502189
2.8492442453127818 1.1436450324771283;6.865960293750
2.240038719031501 1.7590579468321577;3.0776364680679
1.769938153515866 2.230311957780268;1.1852246927981
1.4264051566367177 2.573642406210594;0.3636021644371
1.1892975474906085 2.8106444684968817;0.07168909224537
1.0361659243988797 2.963771638302422;0.002620483872581
0.9458626154930343 3.0540808606653416;0.0058556086713378
0.900151772482956 3.0997929470893313;0.019928313050772
0.8842564863347683 3.1156880638331943;0.026780301367782
0.8868297387678271 3.113114705593546;0.02560245699458
0.8996007319697599 3.10034370581114;0.02014888466556
0.916867544567663 3.083076898796432;0.013812788606001
0.9349527539722473 3.0649916907154098;0.008455076423413
0.9516927374108743 3.0482517071410955;0.004661831206515
0.9659971905077358 3.0339472539389263;0.0023086194490
0.9774924446028981 3.0224519998351003;0.0010106946922308
0.9862478857128701 3.013696558730412;0.00037672871410143
0.9925767745753016 3.0073676698693665;0.00010939918068876
0.9968991033245801 3.003045341119977;1.8902008407615427e
0.9996532855192938 3.0002911589251546;2.1733012983904373e
1.00124432173004 2.9987001227143977;3.250363204490491e
1.0020177973781657 2.9979266470662758;8.382644326128778e
1.002251104426976 2.99769334001747;1.040049709516622e
1.0021552913268308 2.9977891531176164;9.545470319866414e
PointOptimal;ValeurOptimale
[1.00215529 2.99778915];9.545470319866414e-06
Temps;Nb iteration
0.0016243457794189453;28
