Point;Valeur
3.7514621804962225 -3.326690510949664;98.72658741154
5.391462180496313 -1.6866905109495738;41.5986470965
6.216282816376055 0.02402186246787541;56.14191251168
5.389904921171759 0.9013536695202754;44.67504535504
3.888849066782485 1.0741729497713295;15.763904375511
2.2749411902677203 1.0771481142680501;7.001987490291
1.0756966504337493 1.3897089068110673;12.018687802630
0.5473508896518345 2.1340227122960522;7.90991019047
0.5053908136839389 3.1023028445601506;0.870721182320
0.6047682614370031 3.9687000057281874;2.410051242047
0.5621510381863034 4.45117114116777;6.404896751003
0.29855470336973605 4.490045513610818;5.199822345683
-0.06663542581473575 4.239052345951985;2.7918722250105
-0.3349322524194574 3.9220835726455725;3.3140583630566
-0.3604407437634004 3.7126707532357535;4.037122462321
-0.13499923196530492 3.6588310979434864;2.629226039610
0.2318822878862812 3.690866835699678;1.09117259595
0.5916137947376766 3.6934675758099234;0.9727621226814
0.8341364122807358 3.585266570386411;1.0736431356233
0.93472376229246 3.3633802433066236;0.4917701810517
0.9457458526867655 3.093048422200266;0.017621504430687
0.9483374342892513 2.861914310542;0.1657542796872
1.0002639275933636 2.73072950253461;0.3619648090002
1.1078857275896032 2.7062473524116566;0.23611599598197
1.2330081316366879 2.748575871016973;0.11886347787673
1.323300911120885 2.801828623716365;0.20642497546409
1.3448801769366427 2.826367609380945;0.2663937607906
1.2988931826868668 2.8154609288827586;0.1756992547570
1.2156881192327866 2.7904339200293378;0.09058922411135
1.1343688698355971 2.781443556482247;0.09417210243397
1.0817168161342605 2.807376845000541;0.09298218188299
1.061790864849427 2.8660655795479615;0.042575310420611
1.0597517732990878 2.938205571115925;0.00740551562085
1.0549394956233187 3.0000796996528263;0.015126801926717
1.034196389436321 3.036429457389283;0.02244853937549
0.9981511943934688 3.046465223704494;0.010124934151648
0.9584596928818052 3.0410586902786223;0.003412340981990
0.9293573407053198 3.034383420712009;0.011431534462463
0.9192971046889631 3.0356307383455334;0.01590850416072
0.9272520193043418 3.045245730981363;0.010364939824723
0.9448178636089279 3.056787903821427;0.006280248153276
0.9618487067145629 3.062234880065369;0.007648778084848
0.971887236329394 3.0571143388958775;0.007416740650900
0.9745076659248098 3.042670781521005;0.0036510509188089
0.9739354563913055 3.024452668409902;0.0012876859925200
0.9754582880994951 3.008787858814238;0.001672257633801
0.9820367804211958 2.9994773139820223;0.001689865281242
0.9929272757604316 2.996458689195513;0.0005131952700487
1.0046658210593986 2.996774584047965;4.0472261715252e
1.0134014972032832 2.9968609806768005;0.0006107273785578
1.0170313712488466 2.9946518462779683;0.0008646606419660
1.01600435543445 2.9903986840496546;0.0005123203193905
1.012611595696529 2.9860250954218;0.0003617847484098
1.0094422672203376 2.98367118039148;0.0005454851752485
1.0080032341940073 2.984392941384248;0.0005389046195465
1.008213170966624 2.9877037194432066;0.00028534182855968
1.0088644927089079 2.9920472198130494;0.00014515082257901
1.0086016809426477 2.9957644217627197;0.00016818044937850
1.0067748139418045 2.997933309727892;0.0001388350265835
1.0037247453047526 2.998652188681008;3.828958362752973e
1.0004562525850285 2.9987249885489016;4.515284944850604e
0.9979991525252745 2.9990400896923393;3.9989164999713436e
0.9968686178234245 3.0000420560649568;4.7983066344091216e
0.9969004963308331 3.001564444781357;2.1480033625266885e
0.9974784085715279 3.0030408514655984;1.6683724912599874e
0.9979527170113859 3.0039013269793724;3.3161636314116486e
0.9979868743038707 3.0038985977675985;3.34717593511061e
PointOptimal;ValeurOptimale
[0.99798687 3.0038986 ];3.34717593511061e-05
Temps;Nb iteration
0.004063129425048828;66
