Point;Valeur
4.2677461985213245 -6.326447418793797;244.49222857960
4.582547723206651 -6.01164589405444;211.94483770369
4.8738807508856095 -5.710943036589527;184.47616688190
5.133403546757871 -5.428838324210783;161.9333800854
5.358691898118644 -5.166498854620296;143.6874738771
5.550242293393191 -4.92357243541601;129.00513005618
5.710047378830637 -4.6989730318938445;117.19343829481
5.840812745241976 -4.491282604419503;107.65274499140
5.9455044649231725 -4.298971030710221;99.88821202483
6.027087727919196 -4.120518173097232;93.50319419279
6.088381425002457 -3.954479833223703;88.1857083536
6.131984062838474 -3.7995206148334897;83.69345362173
6.160243241382951 -3.6544271720488197;79.8398537729
6.17525108948151 -3.5181099875203015;76.48206172875
6.178854480857071 -3.3895986721527263;73.51111091209
6.172672997798109 -3.2680338524198733;70.84405592458
6.158120297891526 -3.152657514179555;68.41781659263
6.136426276424892 -3.0428029217820267;66.18441653764
6.108658529431035 -2.937884760801562;64.10733197405
6.075742324228412 -2.8373898589870166;62.15870837658
6.038478717896437 -2.740868658569682;60.317247260678
5.9975607241865685 -2.647927502952408;58.56660605822
5.953587578340517 -2.5582217358265305;56.89418861849
5.907077228393243 -2.4714495743255203;55.29023194921
5.858477217788605 -2.387346698992331;53.74711704350
5.808174134672226 -2.305681495421901;52.25884893619
5.756501799243759 -2.2262508809628745;50.82066443607
5.703748348860635 -2.148876652127448;49.428736133709
5.650162365418286 -2.0734022925641917;48.079948990670
5.595958173369001 -1.9996901866210073;46.7717316476
5.541320421004913 -1.927619188966395;45.501928990220
5.486408043016207 -1.8570825060240788;44.26870582887
5.431357689157147 -1.787985850073759;43.07047405039
5.376286692223072 -1.7202458314425517;41.905837479589
5.321295638398318 -1.6537885584463798;40.77355010869
5.266470594210607 -1.5885484184636656;39.672484419351
5.2118850367872245 -1.524467016873179;38.60160732698
5.157601527574438 -1.4614922535026649;37.559961883374
5.10367316411356 -1.3995775188499362;36.54665333084
5.050144839680136 -1.3386809945996443;35.56083844607
4.9970543365032185 -1.2787650449155652;34.60171737148
4.944433274745975 -1.2197956867672841;33.66852732879
4.892307936432398 -1.1617421290405507;32.76053775723
4.840699980893616 -1.104576371499759;31.877046530787
4.7896270660845115 -1.0482728558384102;31.017376993548
4.739103388189705 -0.9928081620520856;30.180875615643
4.6891401502904095 -0.9381607442401747;29.366910120803
4.639745969417696 -0.8843107007111797;28.574867972722
4.59092723009412 -0.831239573926216;27.804155135042
4.542688391383148 -0.778930176402821;27.054195040525
4.495032253546655 -0.7273664391911057;26.324427720615
4.447960189604998 -0.676533279991211;25.614309058578
4.401472346395017 -0.6264164883406995;24.923310138182
4.355567819126515 -0.5770026256600147;24.25091666691
4.310244802902778 -0.5282789382064071;23.59662845756
4.2655007242247125 -0.48023328125906695;22.959958956097
