Point;Valeur
4.607634877575165 -9.536119973318975;489.0407178150
4.726519099596005 -9.352660731895098;464.1164495988
4.963045837121406 -8.990212706532601;417.21256485251
5.301273831282887 -8.468042769599831;355.46726959794
5.721405545400553 -7.809353175675058;287.3862117964
6.200731740571717 -7.040319728284088;221.5420784468
6.714638411605805 -6.189068132756912;165.38271287272
7.237636697664113 -5.284627962554704;124.30386500414
7.744377376011059 -4.355902668093618;101.09178298394
8.21061387832328 -3.4306917218322033;95.77986280425
8.614081291512166 -2.534797466715827;105.9019018075
8.935263337331904 -1.691244698664402;127.07080876763
9.158024657476268 -0.9196356773671505;153.77267474212
9.270091634582908 -0.23565735202169824;180.2460083258
9.263371215683394 0.3492486512449874;201.31579364366
9.134103533320065 0.8280490658853632;213.0700656158
8.882850308625656 1.1981170236022276;213.29876603132
8.514326853717703 1.4610729098545685;201.65501399128
8.037090774104115 1.6224811374827206;179.5412216692
7.463105040470956 1.6914205115049898;149.76064170576
6.807196821591379 1.6799495834446514;116.00399946786
6.0864362510138195 1.6024911772611121;82.25760692957
5.319461082826408 1.475162054200498;52.222548719026
4.525773957852084 1.3150744523914617;28.824947580836
3.725038770231376 1.1396360078922707;13.877440370087
2.936401449710342 0.9658733913585077;7.9255224611761
2.1778584426773624 0.8098029641628123;10.2836312755
1.4656933976876894 0.6858689822519654;19.238959248970
0.8139991730977175 0.6064664895009438;32.37958856482
0.23429843554486063 0.5815621948570683;46.990114403251
-0.26472803190935346 0.618422478900824;60.453625227305
-0.6774004808845426 0.7214533888111871;70.60351661376
-1.0010862418099762 0.8921532167836866;75.98068662528
-1.23613618436525 1.1291741682025815;75.96884233675
-1.3857188925668555 1.4284858514423628;70.80008472053
-1.455563191962869 1.7836299825053628;61.44172058805
-1.453622469467433 2.186052894960732;49.390816809444
-1.3896764171365936 2.6255002550555697;36.413482857650
-1.2748873589509735 3.0904568541593203;24.2702414594
-1.121329159929493 3.5686135103643686;14.467062282553
-0.9415068710302559 4.04734295673561;8.064492621788
-0.7478847573075343 4.5141670993755545;5.566298904176
-0.5524392392598801 4.957199145583472;6.896018414134
-0.3662516165867208 5.365545762582349;11.456805395581
-0.19915332442608302 5.729656545813088;18.258753996286
-0.0594339919493109 6.041610555289798;26.089890866373
0.04638016218794247 6.295332413096084;33.70307764884
0.11367294338158167 6.486733334586477;39.99133623979
0.13980806441946442 6.613775379902624;44.128189801806
0.1241234025225684 6.676460054505543;45.656589145501
0.06785340615040025 6.67674505854635;44.51863442763
