Point;Valeur
6.353972533556387 0.655664115772769;70.3925836720
6.180044842247881 0.5587195086425574;62.796035684014
6.018691319790051 0.473579239520749;56.41571458554
5.868811084219885 0.3991501247531666;51.04433362901
5.729402025019084 0.33443767514694756;46.51020325385
5.599551916762493 0.27853721038885126;42.67111262832
5.478430332509035 0.23062577319895539;39.40926294103
5.365281284955728 0.18995477123856475;36.627071646416
5.259416529858399 0.15584328127841118;34.243697947556
5.160209472114488 0.12767195602006964;32.19216553584
5.0670896202683195 0.1048774793345082;30.41697991916
4.979537540081694 0.0869475205572563;28.872155319171
4.897080262255507 0.07341614292642973;27.51958073282
4.819287103425765 0.06385962528999656;26.327666856161
4.745765863242937 0.05789265988874703;25.27022559018
4.676159363685464 0.05516489236471145;24.32554214832
4.61014229980681 0.05535777319921564;23.47560665739
4.547418373888526 0.05818169254717631;22.705477835334
4.487717687492257 0.06337337296448098;22.00275604192
4.430794368199045 0.07069349681662018;21.357146901490
4.37642440991646 0.07992454724786668;20.760099928465
4.324403707530891 0.09086884348904434;20.204509262950
4.274546268414994 0.10334675301352192;19.684465839845
4.226682584873778 0.11719506462651808;19.195052150244
4.180658153045094 0.13226550800046155;18.732172273704
4.136332125072897 0.1484234064785035;18.29241111848
4.093576082560027 0.1655464511515099;17.872917849075
4.052272920386038 0.18352358529140034;17.471309343490
4.0123158309552736 0.2022539892113535;17.085590237212
3.973607379839031 0.22164615651228914;16.714086702886
3.936058664586575 0.2416170534932256;16.35539160465
3.899588549217661 0.2620913542349719;16.008319072030
3.864122967587427 0.2830007445544176;15.671866874251
3.8295942894259554 0.304283288623008;15.345185254366
3.7959407434094565 0.32588285261462246;15.027551112790
3.7631058921342024 0.34774858024758615;14.718346620913
3.7310381543173925 0.36983441554979635;14.417041503370
3.699690369979372 0.39209866859960485;14.123178358492
3.669019404736165 0.41450362037035404;13.836360494827
3.6389857896843374 0.4370151631623571;13.556241851349
3.609553393673462 0.4596024734167976;13.282518643314
3.580689125052963 0.4822377139990337;13.014922437267
3.5523626602400853 0.5048957632968083;12.753214409665
3.524546196696157 0.5275539687223159;12.497180585780
3.4972142281122913 0.5501919224182856;12.246627890503
3.4703433398097587 0.5727912571727884;12.001380871626
3.443912022532139 0.5953354607217349;11.761278980106
3.417900502976437 0.6178097067842998;11.526174311709
3.3922905895561044 0.6402007013259876;11.295929730833
3.3670655320250624 0.6624965426773706;11.070417310939
3.3422098937165217 0.6846865942624731;10.849517037273
3.317709435260088 0.7067613688006453;10.633115726924
3.2935510087448243 0.7287124229501281;10.421106128938
3.269722461389371 0.7505322614528183;10.213386173689
3.246212547861596 0.7722142499246516;10.009858345916
3.223010850471322 0.7937525355138249;9.810429160303
3.2001077065271026 0.8151419747192463;9.615008722066
3.1774941422117813 0.8363780677220873;9.423510358034
3.1551618123921514 0.8574568986474347;9.235850306220
3.1331029458264297 0.8783750812193176;9.051947453903
3.1113102952861986 0.89912970932523;8.871723116006
3.089777092148818 0.919718312047479;8.695100846903
3.0684970050592923 0.9401388127591055;8.522006280038
3.047464102295841 0.9603894919188001;8.352366990633
3.026672817504064 0.9804689532309503;8.18611237763
3.0061179184994984 1.0003760928691925;8.023173561628
2.985794478859585 1.0201100714856466;7.863483296160
2.9656978520570725 1.039670288756966;7.7069758901071
2.945823647903792 1.0590563602367649;7.553587139396
2.9261677110990174 1.0782680963087206;7.403254266494
2.9067261016916284 1.097305483049304;7.25591586640
2.8874950772849655 1.1161686648291642;7.111511858171
2.8684710768273973 1.1348579284962241;6.969983440939
2.849650705846088 1.1533736889982933;6.831273053977
2.831030722993713 1.1717164763144545;6.695324339943
2.8126080277912884 1.1898869235788752;6.562082110973
2.794379649458481 1.2078857562882845;6.431492317157
2.7763427367339304 1.2257137824955073;6.303502017059
2.758494548597337 1.2433718839013892;6.178059349995
2.7408324458112947 1.2608610077623812;6.0551135098506
2.723353883210125 1.278182159541796;5.934614720204
2.706056402667814 1.295336396236257;5.816514210635
2.6889376266848313 1.3123248203177003;5.70076419403
2.671995252537787 1.3291485742343951;5.587317844850
2.6552270469413912 1.3458088354211135;5.476129278106
2.6386308411774166 1.3623068117723953;5.367153529197
2.622204526647545 1.378643737536633;5.260346534313
2.6059460508135928 1.3948208695938487;5.155665111482
2.5898534134890543 1.4108394840815937;5.053066942165
2.573924663451235 1.4267008733378823;4.952510553360
2.5581578953450617 1.4424063431328733;4.8539553001
2.542551246852412 1.4579572101623857;4.757361348970
2.5271028961031643 1.4733547997801573;4.662689660583
2.511811059306737 1.4886004439469964;4.5699019744190
2.4966739885834226 1.5036954793773756;4.478960792564
2.4816899699790422 1.5186412458650818;4.3898293644043
2.4668573216453797 1.5334390847726027;4.302471671564
2.4521743921720933 1.548090337668084;4.21685241318
2.4376395590566506 1.5625963450977771;4.13293699149
2.423251227299808 1.5769584454805692;4.050691497750
2.409007828115442 1.59117797411451;3.9700826984005
2.3949078177450094 1.6052562622841489;3.891078021592
2.3809496763662867 1.619194636460108;3.813645543941
2.367131907089462 1.6329944175824114;3.7377539775746
2.353453035031608 1.6466569204196864;3.663372657445
2.3399116064631436 1.6601834529973987;3.59047152890
2.326506188019997 1.6735753160889706;3.519021135515
2.313235365975477 1.686833802763787;3.44899260714
2.300097745566168 1.6999601979866492;3.380357648274
2.2870919503683167 1.7129557782646572;3.3130885265173
2.274216621719341 1.7258218113367692;3.247158061439
2.2614704181799254 1.738559555901242;3.1825396135448
2.2488520150347995 1.7511702613789533;3.1192070735057
2.2363601038278196 1.7636551677085883;3.057134851603
2.2239933919281167 1.776015505170136;2.9962978673842
2.2117506021248428 1.7882524942344986;2.9366715395171
2.1996304722491393 1.8003673454377473;2.8782317758598
2.187631754819222 1.8123612592759848;2.8209549637187
2.175753216707135 1.824235426119369;2.764817960305
2.1639936388270247 1.8359910261452113;2.7097980833849
2.152351815839773 1.8476292292848413;2.65587310210
2.140826555876421 1.8591511951870805;2.6030212280159
2.129416680275045 1.8705580731926403;2.5512211062633
2.1181210233336216 1.8818510023220876;2.5004518069590
2.106938432073993 1.8930311112726246;2.4506928167231
2.095867766019424 1.9040995184261051;2.401924030395
2.08490789698135 1.9150573318640225;2.354125742910
2.07405770885776 1.9259056493916455;2.3072786413360
2.06331609743913 1.9366455585677285;2.261363797067
2.052681970224482 1.9472781367418364;2.2163626581832
2.0421542462435243 1.9578044510957566;2.1722570419428
2.0317318558875224 1.968225558691283;2.129029127445
2.0214137407455395 1.9785425065212854;2.086661448424
2.0111988534474294 1.9887563315654662;2.0451368861958
2.0010861575124466 1.9988680608493565;2.004438662734
1.991074627202785 2.008878711506356;1.9645503338995
1.9811632473823253 2.0187892908428924;1.9254557827889
1.9713510133794214 2.028600796405344;1.8871392132267
1.961636930854263 2.038314216049963;1.8495851433809
1.952020015669567 2.0479305280133637;1.8127783995081
1.9424992937655787 2.057450700985974;1.776704109822
1.9330738010378794 2.0668756941861206;1.7413476984868
1.92374258321856 2.0762064574352808;1.706694879722
1.9145046957602467 2.0854439312347646;1.672731652039
1.9053592037227922 2.0945890468425983;1.639444292574
1.8963051816629743 2.1036427263516173;1.6068193515525
1.8873417135257835 2.1126058827675815;1.5748436468461
1.878467892538807 2.1214794200882343;1.5435042586539
1.8696828211082899 2.1302642333822615;1.5127885242779
1.8609856107175942 2.138961208868861;1.4826840330079
1.852375381826901 2.147571223996702;1.453178621106
1.8438512637756226 2.1560951475237617;1.4242603668956
1.8354123946858452 2.164533839596527;1.3959175859370
1.8270579213677833 2.172888151829399;1.368138826313
1.8187869992261656 2.1811589273831307;1.340912864001
1.8105987921696292 2.1893470010450606;1.3142286983350
1.8024924725193707 2.197453199306076;1.288075547560
1.7944672209212613 2.2054783404401253;1.262442844482
1.7865222262576168 2.213423234581324;1.2373202321918
1.7786566855614998 2.2212886838020136;1.2126975598824
1.7708698039313657 2.2290754821895016;1.1885648787489
1.7631607944472965 2.2367844159228873;1.1649124379672
1.7555288780880334 2.2444162633489135;1.1417306807544
1.747973283649698 2.251971795057994;1.1190102405078
1.740493247664912 2.259451773959153;1.096741937020
1.7330880143233278 2.2668569553546454;1.0749167727697
1.7257568353929913 2.274188087014028;1.0535259292861
1.7184989701427371 2.2814459092475254;1.0325607635864
1.71131368526565 2.2886311549794254;1.012012804682
1.7042002548032147 2.2957445498198776;0.9918737501594
1.697157960070214 2.302786812136681;0.972135462820
1.6901860895812553 2.3097586531270804;0.9527899673978
1.6832839389771286 2.3166607768874634;0.9338294473334
1.6764508109527259 2.3234938804839897;0.9152462416173
1.6696860151857422 2.330258654021666;0.897032841694
1.6629888682656107 2.33695578071314;0.8791818884287
1.6563586936238244 2.3435859369469068;0.8616861691325
1.6497948214647145 2.3501497923545944;0.8445386146496
1.6432965886972544 2.356648009878204;0.8277322965004
1.6368633388673364 2.363081245836507;0.8112604240818
1.6304944220905808 2.369450149990082;0.7951163419238
1.6241891949864056 2.3757553656069352;0.7792935270004
1.6179470206128226 2.3819975295271134;0.7637855860936
1.6117672684011124 2.3881772722262884;0.748586253210
1.6056493140920196 2.3942952178789723;0.7336893870512
1.5995925396722148 2.400351984421323;0.7190889685283
1.5935963333117114 2.406348183613355;0.7047790983337
1.587660089301604 2.412284421100253;0.6907539945558
1.5817832079925236 2.4181612964732095;0.6770079903428
1.575965095733986 2.423979403329885;0.6635355316134
1.5702051648140563 2.4297393293340193;0.6503311748126
1.5645028334000026 2.4354416562747954;0.6373895847119
1.558857525478971 2.441086960125039;0.6247055322541
1.5532686707999759 2.4466758110996083;0.6122738924400
1.5477357048159528 2.452208773712617;0.600089642258
1.5422580686266645 2.4576864068343314;0.5881478586548
1.5368352089219188 2.463109263747538;0.5764437165450
1.53146657792588 2.4684778922032695;0.5649724868631
1.5261516333414686 2.473792834476102;0.5537295346518
1.520889838295361 2.47905462741867;0.5427103171894
1.5156806612838607 2.4842638025159127;0.531910382154
1.510523576119041 2.489420885938748;0.5213253658267
1.505418061875549 2.494526398597041;0.5109509913238
1.5003636028379035 2.4995808561922015;0.5007830668734
1.4953596884483304 2.5045847692690577;0.49081748411960
1.4904058132552076 2.509538643267747;0.48105021646245
1.48550147686175 2.514442978574185;0.47147731743164
1.4806461838756637 2.519298270570993;0.4620949190915
1.4758394438590918 2.5241050096874904;0.45289923047830
1.471080771278607 2.5288636814486973;0.44388653606852
1.466369685456739 2.5335747665251476;0.43505319427741
1.4617057105229088 2.5382387407806117;0.42639563598797
1.4570883753655501 2.5428560753206977;0.4179103631084
1.4525172135844557 2.5474272365400306;0.4095939471591
1.4479917634436037 2.551952686169603;0.4014430278873
1.4435115678246093 2.5564328813233668;0.3934543119089
1.4390761741804117 2.560868274544203;0.3856245713784
1.4346851344896352 2.565259313849804;0.3779506426845
1.4303380052111732 2.5696064427777574;0.37042942517165
1.4260343472394739 2.573910100430373;0.3630578798872
1.4217737258602976 2.578170721519304;0.3558330283539
1.4175557107065218 2.5823887364089186;0.3487519513662
1.4133798757148868 2.5865645711602765;0.3418117878105
1.4092457990827776 2.5906986475737326;0.33500973350956
1.4051530632256606 2.5947913832316893;0.3283430400892
1.4011012547350812 2.5988431915410666;0.3218090138678
1.3970899643367303 2.6028544817746715;0.31540501476834
1.393118786848917 2.6068256591124603;0.3091284552509
