Point;Valeur
6.989143310692899 0.7967113111253212;98.05509951271
6.699143310693711 0.506711311127486;79.80673838689
6.507992337874357 0.3257839782496525;69.61056376437
6.35890254548174 0.19136985230077008;62.6217970101
6.234489102917025 0.08468611388561252;57.41322596805
6.126763682947278 -0.002837405339037244;53.344989674549
6.031275033228297 -0.07596930180021873;50.068197619025
5.945239536373324 -0.13769999258941726;47.369352124975
5.8667763757938385 -0.19006387103433667;45.107479087731
5.794541978887471 -0.23453023140034351;43.18436521434
5.727535414153464 -0.2722103970393447;41.52883559632
5.664986212960989 -0.3039765045673046;40.08774681521
5.606285608935057 -0.3305338521101332;38.8204930313
5.550942274819904 -0.35246709151560407;37.69548224842
5.498552663288017 -0.37027085639489427;36.68778105290
5.448780455262189 -0.38437070982098903;35.77748506537
5.401341905949057 -0.3951378509086628;34.948558001254
5.355995134087464 -0.40289967803938515;34.187983620352
5.312532121219113 -0.40794753494346236;33.48513279238
5.27077261875405 -0.41054250365315237;32.83128233403
5.230559426923552 -0.41091982142957784;32.219243424530
5.1917546791899545 -0.40929231506628605;31.643070785160
5.154236876355267 -0.4058531250985273;31.0978324911
5.117898488548229 -0.4007779111011769;30.57942605301
5.0826439936600005 -0.3942266734388859;30.08443031677
5.048388255784944 -0.3863452879575595;29.60998544384
5.015055171892813 -0.37726682270459616;29.153695138525
4.982576532620448 -0.3671126863379884;28.713546665000
4.950891055883963 -0.3559936439989588;28.28784519669
4.9199435614177345 -0.3440107265110396;27.875159785015
4.889684261339635 -0.33125605171366246;27.474278796216
4.8600681470861975 -0.3178135716840888;27.084173094778
4.8310544570495795 -0.303759756043341;26.70396558536
4.802606212296152 -0.28916421902002337;26.33290598731
4.774689810112599 -0.2740902962069799;25.970349923574
4.747274666970082 -0.2585955756735802;25.61574157259
4.720332903954024 -0.2427323872982972;25.26859926591
4.693839068865203 -0.22654825355531458;24.92850352348
4.667769890129284 -0.21008630460224503;24.59508710777
4.642104058405414 -0.19338566020320802;24.268026750585
4.6168220324004015 -0.1764817808232934;23.94703626659
4.591905865903032 -0.15940679005400687;23.63186081698
4.56733905347098 -0.1421897704103714;23.322272127238
4.5431063925572825 -0.12485703440864722;23.018064496840
4.519193860156305 -0.1074323727441837;22.719051466603
4.495588502300971 -0.08993728128826992;22.425063032150
4.472278334953497 -0.07239116851984405;22.1359433112
4.449252255016729 -0.05481154492256334;21.85154858884
4.426499960346003 -0.03721419578070023;21.571745675275
4.404011877778697 -0.01961333873605472;21.296410526803
4.381779098314843 -0.002021767336336081;21.025427083088
4.35979331868219 0.015549018228628642;20.758686286368
4.338046788609515 0.033088692128802756;20.496085251971
4.31653226320802 0.05058799461984241;20.237526565210
4.295242959927767 0.06803863356478111;19.98291768390
4.274172519616927 0.08543319488825973;19.732170429293
4.253314971263228 0.10276506118106593;19.48520055098
4.232664700042145 0.12002833772140667;19.241927353973
4.2122164183386195 0.1372177852515792;19.00227337787
4.191965139443549 0.15432875890673514;18.766164119946
4.171906153659247 0.17135715272225038;18.53352779510
4.152035006575766 0.18829934923845068;18.304295127161
4.1323474793045705 0.20515217371024486;18.078399166362
4.112839570479054 0.22191285252432658;17.85577512933
4.093507479850798 0.23857897542079548;17.636360257980
4.074347593328295 0.2551484611844106;17.42009369449
4.055356469319919 0.2716195264749993;17.2069163702
