Point;Valeur
7.848060942919293 6.663330563782804;502.27333512615
3.937458803762243 2.7527284246281387;37.63823675096
2.8241581911024154 1.8264043158634216;6.39780623786
2.4446103160520214 1.6930332295746788;3.870844086850
2.263448556638005 1.7678308484900827;3.1184566779439
2.1298735142360385 1.8838334323745398;2.5231934863984
2.0091257972808316 2.0016638449842747;2.0154756186700
1.8954844810052394 2.114021271410076;1.587212200550
1.788658481257291 2.219708568697686;1.231116947922
1.6889625408647728 2.318340357963179;0.9395425796217
1.59666893514842 2.4096487243920617;0.7046880980713
1.5119624779706184 2.4934507623015025;0.5188149217437
1.434934884783403 2.5696558097109232;0.3744487740208
1.3655804652325447 2.6382695346758225;0.26455729610046
1.3037945348423834 2.6993955404230525;0.1826948668384
1.2493747606207364 2.753234024989536;0.12310844070695
1.2020256866091021 2.8000773086979316;0.080801150904
1.1613664958009493 2.840302154469128;0.05155368540917
1.126941893991218 2.874359002575148;0.03190667401149
1.0982357909596865 2.9027584359663012;0.019110146349916
1.074687250610851 2.9260554022115626;0.01104819507876
1.0557079864678098 2.9448319050739276;0.006148064385577
1.040700526256761 2.95967903530652;0.0032828892993114
1.0290760694119605 2.971179303463444;0.0016763112225233
1.0202710432933835 2.9798902620905503;0.0008154208326965
1.0137614256904524 2.9863303344249674;0.00037627027364220
1.0090740636805318 2.9909676200214035;0.00016392946988011
1.0057944436306179 2.99421220109572;6.707436975434325e
1.0035706854853428 2.9964122052541065;2.56232368810869e
1.0021138105906717 2.9978535070202357;9.079899879643504e
1.001194758470738 2.998762765021935;2.9654152090463217e
1.0006385974207395 2.999312909784928;8.893058338320774e
1.000317381669919 2.9996309392107268;2.4761991608840224e
1.000140592819115 2.9998049681468255;6.965819825681871e
1.000050789671093 2.9998971463091677;2.4001121013262855e
PointOptimal;ValeurOptimale
[1.00005079 2.99989715];2.4001121013262855e-08
Temps;Nb iteration
0.002071380615234375;34
