Point;Valeur
7.878039098598045 -5.302458565848727;124.35412335420
7.8662329863019025 -5.1624597015002704;120.49171858957
7.8494172250469845 -5.028988535877548;116.94472714136
7.828103405229292 -4.901518298086276;113.66586565632
7.8027564668912035 -4.779569019391832;110.61584072620
7.773798904322582 -4.662703327097577;107.76197816662
7.741614592189883 -4.5505226169165125;105.07708786806
7.706552267257372 -4.442663569758625;102.53852372474
7.668928696684397 -4.338794981962084;100.1274051093
7.6290315611285635 -4.238614880732032;97.82797212414
7.587122078301157 -4.141847899141342;95.6270516341
7.543437390351649 -4.048242887316493;93.51361503912
7.498192736326537 -3.957570738565468;91.4784120163
7.451583429052711 -3.8696224110910604;89.51366717500
7.4037866540433654 -3.784207127699406;87.61282880913
7.354963106449198 -3.701150737476726;85.77036079422
7.305258480625277 -3.6202942248617687;83.9815702118
7.254804825588657 -3.5414923528445597;82.2424645616
7.203721778422512 -3.464612428226448;80.54963347587
7.152117686630255 -3.3895331779529014;78.90015072438
7.100090629416378 -3.3161437265217186;77.2914930242
7.047729347006715 -3.2443426653731278;75.72147276508
6.9951140862710375 -3.1740372059860844;74.18818225938
6.942317370196072 -3.1051424091390656;72.68994753722
6.889404698052182 -3.037580483489992;71.2252900456
6.836435182490142 -2.9712801472381356;69.79289489428
6.783462129254481 -2.9061760471765608;68.39158452337
6.7305335646790425 -2.8422082299886453;67.0202968619
6.677692715645101 -2.7793216610770655;65.67806720568
6.624978446305796 -2.7174657866492025;64.36401317540
6.572425655456449 -2.6565941351701694;63.07732222754
6.520065638090323 -2.5966639546307446;61.81724127827
6.467926414371028 -2.5376358824235323;60.58306807902
6.416033028949364 -2.4794736448778876;59.37414404257
6.364407823296936 -2.422143783792623;58.18984827130
6.3130706834837795 -2.3656154075357305;57.02959258138
6.262039265610831 -2.309859964499199;55.89281735239
6.211329200910221 -2.2548510368995123;54.77898806109
6.160954282340903 -2.200564153091338;53.687592382274
6.110926634347614 -2.1469766167310267;52.61813775977
6.061256867299825 -2.0940673512690067;51.57014936748
6.011954217985583 -2.0418167583983005;50.54316839372
5.963026677422512 -1.9902065891983112;49.53675059410
5.9144811071193075 -1.939219826836296;48.55046506705
5.866323344836822 -1.888840579779898;47.5838932144
5.818558300786314 -1.8390539845853082;46.636627856025
