Point;Valeur
7.9385202751883135 -3.430797879454417;90.52935310011
7.376165836288375 -2.868443440609468;76.12524731177
6.95204329776738 -2.4578133655785814;66.19159905547
6.582547268563364 -2.1034361043117658;58.12808410737
6.241860744496855 -1.7788000549475327;51.17173483868
5.918671371381727 -1.4724676712417408;44.99268609802
5.607128458548734 -1.178569815222845;39.42072837733
5.3039388821678815 -0.8938246538164256;34.35853505729
5.007181478123803 -0.6163305560331558;29.746407862313
4.71574529403245 -0.34499529681578384;25.54557886758
4.429036541176387 -0.07923732347378543;21.72943206581
4.146816803482904 0.18118092824164705;18.27852700205
3.869112302506766 0.4362488020035738;15.17760722621
3.596165457798009 0.6857614644446987;12.413706241653
3.3284142942706323 0.9293469103896834;9.974880697788
3.0664924619505567 1.1664732941142435;7.849303450490
2.811246648489356 1.3964398490263423;6.02455430445
2.563770569017559 1.618352161072813;4.4870038985999
2.32545602250505 1.8310811240398581;3.221220519164
2.0980614098477557 2.033204733005578;2.209355149118
1.883795187881305 2.222934151255088;1.4304898747377
1.685402496283586 2.3980332188247973;0.8599866617727
1.5062205722046187 2.5557600451789275;0.4689747929075
1.3501213188433765 2.6929010432652096;0.2242984017018
1.2211798710453736 2.806039911119593;0.08950471759857
1.122829357617004 2.8922785713069294;0.027603955357764
1.0563441852374444 2.950560000935859;0.005809651864396
1.0190418245505792 2.983257064025662;0.0006640565419996
1.0035850411864988 2.9968057427798933;2.366664793064979e
0.9999960879943345 2.99994782706519;1.5319401107592036e
0.999978370287123 3.0000217369926196;9.403873630706162e
PointOptimal;ValeurOptimale
[0.99997837 3.00002174];9.403873630706162e-10
Temps;Nb iteration
0.0019638538360595703;30
