Point;Valeur
8.849306612874535 4.513092149192595;414.5191044746
8.534505088119577 4.198290624444312;363.2515511730
8.229975175335188 3.895524477988407;317.16948359128
7.939154514744217 3.6089100797741724;276.41575335683
7.663344335157894 3.3400318234998863;240.70488984849
7.402885472568112 3.089318615317796;209.59977586491
7.157615843907948 2.856587116236315;182.61934911960
6.927091834637738 2.641307784754911;159.28737500651
6.7107099961379655 2.4427526275265357;139.1554413481
6.50777944629973 2.260083891424538;121.81319350567
6.31756712528561 2.0924099450385714;106.89183088292
6.139326921589047 1.9388215019681259;94.06395926990
5.972318672547049 1.7984154085486974;83.04150055312
5.815820550507601 1.6703102506881122;73.5726342562
5.669137003370236 1.5536564263766732;65.43834005248
5.531603647574414 1.4476424017112066;58.448873820410
5.402590045545302 1.351498303146141;52.44036748325
5.281501005419523 1.2644976397326255;47.27165570636
5.167776848460952 1.185957712919517;42.82137881963
5.060892960044312 1.115239111501985;38.985378410998
4.960358850753836 1.0517445782863464;35.67438225160
4.865716891330542 0.9949174565803992;32.811963796348
4.776540840314686 0.9442398681670193;30.332755424929
4.69243425075789 0.8992307334142633;28.180891894960
4.6130288186378605 0.8594437140124652;26.30865989542
4.5379827181161225 0.8244651365251686;24.675330282349
4.4669789558290915 0.7939119383372001;23.246151003938
4.3997237667731905 0.7674296652028649;21.991480525272
4.335945067169967 0.7446905403363716;20.88604351486
4.275390974358643 0.7253916180804685;19.90829251532
4.2178283997996715 0.7092530300400947;19.039861201152
4.163041718337176 0.6960163277661079;18.265096580160
4.110831514717548 0.6854429232683417;17.57065909676
4.061013406801813 0.6773126266129161;16.945181037583
4.013416943795943 0.6714222784148842;16.37897492373
3.9678845770456865 0.6675844740271366;15.863784707950
3.92427070042802 0.6656263755682839;15.39257358890
3.882440757040764 0.6653886075041536;14.959343122451
3.84227040871105 0.6667242312781628;14.558979063289
3.803644764770348 0.6694977943959862;14.187120022527
3.7664576665404605 0.673584449378299;13.840045590063
3.730611024045179 0.6788691380916598;13.514581055474
3.6960142015500197 0.6852458370998932;13.208016277908
3.662583448672776 0.6926168598582961;12.918036613278
3.630241373946602 0.7008922117665168;12.642664113485
3.5989164578764425 0.709988994308466;12.380207474767
3.5685426026897273 0.7198308547214948;12.129219436669
3.5390587161502864 0.7303474778539804;11.888460524813
3.5104083269611 0.741474117086253;11.656868194344
3.4825392294414312 0.7531511613883742;11.433530570604
3.4554031553159814 0.7653237357989424;11.21766410276
3.4289554706021224 0.7779413327907878;11.008594547704
3.4031548957153355 0.7909574721723341;10.805740788019
3.377963247050148 0.8043293873422087;10.608601061825
3.353345198414917 0.8180177358799964;10.416741244837
3.3292680608157106 0.8319863325949876;10.229784878768
3.3057015791969118 0.8462019033082429;10.047404685612
3.282617744845137 0.8606338577621611;9.86931534623
3.2599906222615154 0.8752540801801337;9.695267354655
3.2377961893934195 0.890036736107812;9.525041787607
3.216012190204455 0.9049580942746539;9.35844585278
3.194617998632761 0.9199963623096046;9.195309099665
3.173594493064837 0.9351315352371766;9.035480193975
3.1529239405123493 0.9503452557553522;8.878824171826
3.132589889748728 0.965620685387635;8.72522010185
3.112577072710887 0.9809423856571541;8.574559094553
3.092871313530883 0.9962962085066223;8.426742606990
3.073459444607344 1.0116691952448837;8.281680998861
3.05432922917367 1.0270494833563837;8.13929230237
3.035469289859176 1.042426220560833;7.999501174081
3.0168690427826443 1.0577894855620529;7.862238001546
2.9985186367463967 1.073130214961295;7.727438141721
2.9804088971398985 1.0884401358595497;7.59504127144
2.9625312741876053 1.1037117037047757;7.464990833310
2.9448777952020992 1.118938044975181;7.3372335627
2.9274410205349746 1.1341129043228475;7.211719084117
2.910214002939113 1.14923059583259;7.088399565719
2.8931902500759508 1.1642859580731555;6.967229424722
2.8763636899262486 1.179274312647782;6.848165074779
2.859728638877389 1.1941914259708626;6.731164709870
2.8432797722822842 1.2090334740217132;6.616188119035
2.827012097295548 1.2237970098412627;6.503196527385
2.8109209278117064 1.2384789335599573;6.392152459512
