Point;Valeur
9.041917029333781 8.109174058748476;782.5808762974
4.551518607030023 3.8357986163984714;90.30605341922
1.7935574475148743 1.432537644957884;5.4823868805594
1.1788865825617603 1.243848311627465;13.06713001802
1.37898713604595 1.8889027543455297;3.5221091889532
1.5180005141653259 2.4533832623053713;0.5703899435997
1.4272969096436723 2.7428579945286042;0.36451542562439
1.2360293261313005 2.8715534227012003;0.11850455739919
1.0653769577140304 2.9545308689852314;0.007926874730731
0.953592524244981 3.0306178705184017;0.004088354335147
0.890578252263261 3.0949899687536777;0.0218293180200
0.8579826218688574 3.137507102136967;0.03915850918752
0.8444714057930273 3.1565202052537176;0.04869165143853
0.8448514472370832 3.156848538010457;0.0486840970998
0.8559195578128664 3.144792233951953;0.04172599142370
0.8744166255554026 3.1255316195773704;0.03152938216487
0.8969826500224051 3.1027679700518407;0.021174078826371
0.9206915466691878 3.079137665256848;0.012552717506295
0.9433697744422455 3.056556263345061;0.006405615251913
0.963606908472626 3.0363561281241735;0.002646230628273
0.9806198437783413 3.0193402640107756;0.0007496426327363
0.9940997398735959 3.0058491877883227;6.903650087716428e
1.004084531757943 2.9958585534468374;3.3847936410005095e
1.0108550728761816 2.989087424775984;0.0002369301312470
1.014846634846469 2.9850970092437965;0.0004425344036981
1.0165734882018034 2.9833709818507557;0.000551217090083
1.0165680855567873 2.9833765784823814;0.0005508518502436
PointOptimal;ValeurOptimale
[1.01656809 2.98337658];0.0005508518502436966
Temps;Nb iteration
0.0016055107116699219;26
