Point;Valeur
-10.92865594606816 -0.8740750933995205;143.8296711116
-10.902655946070405 -0.848075093399628;142.72392277507
-10.884222263607747 -0.8296195219966775;141.93426153971
-10.869146042833389 -0.8145144403975249;141.28493848737
-10.85607262917148 -0.8014087514525045;140.71932366754
-10.844366482419016 -0.7896682995699009;140.21083820999
-10.833669807714958 -0.77893596968415;139.74451614742
-10.82375777573823 -0.7689873159443174;139.31095254853
-10.814478254389519 -0.7596704436798509;138.9037834047
-10.805722652897133 -0.7508769193182017;138.5184662155
-10.797410260485648 -0.742526141574037;138.1516248762
-10.789479155214032 -0.7345562678537244;137.80066935762
-10.781880600512807 -0.7269186209576232;137.46356127589
-10.774575422146299 -0.7195740722538908;137.1386623095
-10.767531572231155 -0.7124906096697083;136.82463227865
-10.76072243713144 -0.7056416482191693;136.52035834707
-10.754125629187829 -0.6990048235365632;136.2249044674
-10.747722103271796 -0.6925611096977041;135.93747441772
-10.741495497435114 -0.6862941607844358;135.6573842140
-10.735431631881287 -0.6801898105261678;135.3840411480
-10.729518122143274 -0.6742356859784806;135.11692760291
-10.723744076176818 -0.6684209050010675;134.855588380
-10.718099854148065 -0.6627358363375507;134.5996206514
-10.712576875745777 -0.6571719071592012;134.3486658949
-10.707167464012702 -0.6517214470781715;134.10240336453
-10.701864717577216 -0.6463775605248253;133.86054474410
-10.696662405218742 -0.6411340214295536;133.62282973699
-10.69155487816998 -0.635985185622494;133.3890223979
-10.686536996645776 -0.6309259174396564;133.15890805975
-10.68160406787153 -0.6259515278169273;132.93229074152
-10.676751793487238 -0.6210577217481543;132.70899094864
-10.671976224649587 -0.6162405534324631;132.4888437951
-10.667273723497306 -0.611496387778673;132.27169739223
-10.662640929913005 -0.6068218671991311;132.0574114581
-10.6580747327167 -0.602213882831156;131.84585611369
-10.653572244589988 -0.5976695494849056;131.63691083365
-10.64913078015635 -0.593186183744944;131.4304635302
-10.644747836747085 -0.5887612847530149;131.22640974906
-10.640421077459106 -0.5843925172816676;131.02465196039
-10.636148316179982 -0.5800776967734228;130.82509893354
-10.63192750430985 -0.5758147760735166;130.62766518154
-10.62775671894867 -0.5716018336280805;130.43227046736
-10.623634152356788 -0.5674370629540085;130.23883936339
-10.619558102526 -0.5633187632172229;130.0473008572
-10.61552696471829 -0.5592453307803104;129.85758799824
-10.611539223858367 -0.5552152515999518;129.66963757927
-10.607593447672985 -0.5512270943720271;129.4833898502
-10.60368828048954 -0.5472795043367208;129.29878825868
-10.599822437621853 -0.5433711976673957;129.11577921553
-10.595994700272044 -0.5395009563772856;128.93431188168
-10.592203910894728 -0.5356676236872554;128.7543379744
-10.588448968971164 -0.5318700998036697;128.57581159119
-10.5847288271526 -0.5281073380641339;128.3986890477
-10.58104248773078 -0.5243783414114483;128.22292873140
-10.577388999405445 -0.5206821591631169;128.04849096560
-10.57376745431665 -0.5170178840463066;127.87533788608
-10.570176985317097 -0.5133846494720113;127.70343332688
-10.566616763460654 -0.5097816270255507;127.532742715
-10.563085995686409 -0.5062080241524356;127.36323297601
-10.55958392268016 -0.5026630820216798;127.19487244000
-10.556109816897521 -0.4991460735498882;127.02763076379
-10.552662980732674 -0.49565630157180907;126.86147885204
-10.5492427448212 -0.4921930971441821;126.69638878688
-10.545848466464273 -0.4887558179711494;126.53233376210
-10.542479528164368 -0.4853438469409879;126.36928802202
-10.53913533626254 -0.481956590764379;126.20722680455
-10.535815319668965 -0.4785934787059814;126.04612628826
-10.532518928679082 -0.47525396140147363;125.88596354289
-10.52924563386875 -0.4719375097531523;125.72671648329
-10.525994925061118 -0.4686436138979117;125.568363826
-10.522766310360703 -0.46537178224171594;125.41088505009
-10.519559315248554 -0.4621215405555907;125.25426035716
-10.516373481734322 -0.4588924311281584;125.09847063816
-10.513208367560582 -0.4556840119707323;124.94349743908
-10.510063545456273 -0.452495856070922;124.78932293003
-10.506938602434197 -0.4493275506910349;124.63592987588
-10.503833139131185 -0.4461786967083565;124.48330160877
-10.500746769186446 -0.44304890799397617;124.33142200216
