Point;Valeur
-11.00395887857399 -0.5029871613656578;130.92444946711
-10.977332500675372 -0.47636078346704;129.67777522874
-10.938898830594757 -0.437929531447754;127.8579168526
-10.890887746228296 -0.38992855025207945;125.54945648107
-10.83438652479381 -0.33345384190177707;122.78021179874
-10.770061181317956 -0.2691842055182795;119.55377474273
-10.698378161003312 -0.19760357972368642;115.858463378
-10.619701058280661 -0.11909846501548034;111.66993197802
-10.53434337823645 -0.034011445544257043;106.95090667275
-10.442603728936806 0.05732279723371686;101.6487534324
-10.344795008728896 0.1545474106430147;95.69045997801
-10.241274931500806 0.25725189026302453;88.97348849659
-10.132485640645722 0.36493144568656827;81.34880219236
-10.01901539889857 0.4769242604567942;72.58685801916
-9.9017117318977 0.5922974380683677;62.30198722030
-9.7819105954089 0.7095982024958555;49.72738038785
-9.662194273810547 0.8261488261784554;32.78007033548
-9.549752016527943 0.9347329150131475;15.089355558785
-9.505633164841694 0.9747709049532841;26.688325445761
-9.476011161839642 1.0002953875872478;31.99703761751
-9.456754333281243 1.0153740032782508;34.800831301617
-9.4465301527032 1.0213276201905932;35.91629923103
-9.444882466597141 1.0186227346788026;35.58148216813
-9.451786868129412 1.007311776715971;33.761818826898
-9.467510172816786 0.987177462155233;30.144995339625
-9.49258282637827 0.9577748663598694;23.813387678440
-9.527828972770862 0.9184567375835981;10.330170000724
-9.57235981513853 0.8710305227068711;21.281071648764
-9.606448723698588 0.834079044682329;29.796472519230
-9.633966390718626 0.8036226603428667;35.289694943582
-9.655989395042473 0.7785506113107086;39.224697181903
-9.672923972266558 0.7584386038583661;42.100298906468
-9.684893622158226 0.7431522450676392;44.141501696484
-9.691865701390297 0.7327180569317683;45.45685465237
-9.693704239855101 0.7272700682596737;46.09090849611
-9.690194459724045 0.7270254637571841;46.04364789089
-9.681053817500802 0.7322741985986341;45.27501641577
-9.665935062838495 0.7433770817176054;43.69841184424
-9.64442307605777 0.7607707715787269;41.15913778689
-9.616025150141994 0.7849806111226337;37.38014049629
-9.580153057115194 0.81664470706465;31.808069132114
-9.536100766419827 0.8565520243883888;22.987274586353
-9.483164394941827 0.9055915265693537;7.9345171025932
-9.470481235637287 0.9156010874146012;13.680432872150
-9.47015359972379 0.9133502028047003;12.85524429310
-9.481527534982925 0.8995156000823115;2.289820616685
-9.510643568723133 0.869431978841186;18.737600809065
-9.537599807455617 0.841580804182121;26.096250377000
-9.563190051809697 0.8151296694249852;31.534729696731
-9.587698060557996 0.7897787093555626;35.98478888993
-9.611253656466076 0.7653882395829108;39.80008438052
-9.633915812520096 0.7418920532380381;43.15818384806
-9.655703009196742 0.7192657581276771;46.16189267204
-9.67660700870525 0.6975124067195271;48.876010123792
-9.696599938012637 0.6766551004999193;51.343603054609
-9.715638209387244 0.6567328903960656;53.594201854191
-9.73366476775574 0.6377984217784562;55.648316941083
-9.750610371543443 0.6199165884098408;57.52009448659
-9.766394272303996 0.6031638155252613;59.21895157147
-9.780924494352064 0.5876277633089575;60.750612654987
-9.794097830347352 0.5734073310033747;62.11777298368
-9.8057996214315 0.5606128913763461;63.32051516998
-9.815903362551786 0.5493667146030888;64.35655125446
-9.824270155974055 0.539803559212436;65.22133118260
-9.830748023964544 0.5320714205244169;65.90803869237
