Point;Valeur
-11.98825515727211 -1.7722198527488562;179.16793500840
-11.991196562090916 -1.7645717299391936;178.9740871012
-11.989688555538628 -1.7457813599094734;178.4381604265
-11.985368922958404 -1.7199234997233068;177.68285439330
-11.979265510782643 -1.689549350028932;176.78453381711
-11.972023173880656 -1.6562552640514472;175.7908399531
-11.964046271893833 -1.621039138418663;174.73149382072
-11.955588140635673 -1.5845237519939244;173.62498868461
-11.946807269048524 -1.5470967204466026;172.4827615494
-11.937802570196022 -1.5089981923101452;171.31180326277
-11.928635525118464 -1.4703757936620245;170.1162953993
-11.919344084003447 -1.4313190471626218;168.89863804826
-11.909951391687196 -1.3918809276149389;167.66009536929
-11.900471263277765 -1.3520913559250716;166.4012008396
-11.890911619080848 -1.3119656406395286;165.12201120598
-11.881276638025447 -1.2715097526462842;163.82226505415
-11.871568106233038 -1.2307236144462403;162.50148115037
-11.861786259954984 -1.189603144067155;161.1590186575
-11.851930310696236 -1.1481415171068534;159.79411312152
-11.841998770384473 -1.1063299370405797;158.40589694906
-11.831989650517986 -1.0641580952760716;156.99340983677
-11.821900581631109 -1.021614434312018;155.5556025485
-11.811728882081306 -0.9786862846237454;154.09133613173
-11.801471594266255 -0.9353599190573403;152.59937782953
-11.791125499517364 -0.8916205516198699;151.07839440904
-11.780687118587428 -0.8474522968700576;149.52694327196
-11.77015270190774 -0.8028380992984716;147.94346147303
-11.759518212028592 -0.7577596376672993;146.3262525971
-11.74877929951714 -0.7121972063216138;144.67347130592
-11.737931272809968 -0.6661295733962567;142.98310524199
-11.726969061970372 -0.6195338142382099;141.25295385161
-11.715887175869739 -0.5723851169829327;139.4806035502
-11.70467965193334 -0.5246565558766136;137.663398488
-11.693339997217173 -0.47631882647356266;135.79840597184
-11.681861119165813 -0.42733993512055;133.88237531624
-11.670235243904797 -0.377684833002775;131.91168859086
-11.658453819294495 -0.32731498229435263;129.8823012174
-11.646507399159626 -0.27618783836420546;127.78966979043
-11.634385504028755 -0.22425622719451338;125.62866362336
-11.622076452254493 -0.1714675906667727;123.39345534559
-11.609567153373133 -0.11776306340913764;121.07738421151
-11.596842852743498 -0.06307633236591267;118.67278339834
-11.583886812503023 -0.0073322124116552215;116.17075909367
-11.570679908065706 0.049555154520286776;113.56090400393
-11.557200110793223 0.10768460758163448;110.83092005486
-11.543421814459673 0.16717097110826643;107.96611280596
-11.529314942914537 0.22814903328158492;104.94870047271
-11.514843744020105 0.29077892175608266;101.75684798762
-11.499965121466818 0.3552535364397824;98.36328085173
-11.484626264116505 0.42180910841085806;94.73323391010
-11.46876116701998 0.49074068958577666;90.82130287045
-11.452285323655126 0.562425775735848;86.56639259665
-11.435087229904086 0.6373621043943672;81.88315415906
-11.417013930282438 0.7162319317261162;76.64641786286
-11.397844375832303 0.8000204608708584;70.66014630062
-11.377234555515784 0.8902596315146897;63.586960860646
-11.35458418172412 0.9896201737691142;54.75344405413
-11.32860809120694 1.1038140643142347;42.387753455424
-11.294727049093613 1.253170327749888;15.025696314347
-11.293826719612253 1.2565893792347773;13.766425276496
-11.24946360321155 1.4528518202550382;43.29615282884
-11.231518302985634 1.5319062844099172;52.01580069187
-11.230101358672943 1.5376257616774287;52.59309564591
-11.23981030259056 1.4940048726041522;48.040672715169
-11.258427056008161 1.410930776212983;37.88196219764
-11.289070929669139 1.2746725159511292;1.5662464319850
-11.289473787707696 1.2724057184179114;4.613400813821
-11.19548694661001 1.690610753081791;66.13467965940
-11.142956251675766 1.9240655469463344;82.61958937005
-11.115982611675525 2.043576928827937;89.89587680276
-11.104903973462998 2.092203637647247;92.69409576614
-11.10380855080671 2.096307709514874;92.92831668239
-11.10907975907 2.0720268010133602;91.54852959066
-11.118518974729337 2.0291790095611972;89.05973192954
-11.13081187345814 1.9736398390948215;85.72537402810
-11.145204944131915 1.908784008713814;81.658746937
-11.161314360728571 1.8363381604723779;76.8613872410
-11.179023945832697 1.7568371225852408;71.22494624101
-11.198456179887 1.6697556038170758;64.48689407616
-11.220039698691288 1.5732123229607045;56.07639704320
-11.244831813195969 1.4625460304382292;44.51903270376
-11.276347143211817 1.3222304904854092;22.52285932711
-11.268622396036879 1.3559412302020006;29.35935948642
-11.280861484703438 1.3012382547571182;16.94204261596
-11.223269391462624 1.5567512228377278;54.52218265759
-11.195233031951192 1.6808472191947168;65.39656770716
-11.185422636500967 1.7238817145313408;68.7683025755
-11.187142280116241 1.7156389619403705;68.13803658602
-11.196478629594182 1.673543223729585;64.81411650211
-11.211290597796385 1.6071448048996808;59.19103113006
-11.230738183673928 1.520216593961788;50.896665730888
-11.255488619658596 1.409851705224709;37.82676710224
-11.292340247921752 1.2460185959040124;17.086554195114
-11.300253317213553 1.2104139670966982;25.80898734384
-11.286389156611202 1.2713456307408397;4.992995620616
-11.306656982732248 1.181193460135816;31.19181912920
-11.305107160073648 1.1876320155161475;30.083379219350
-11.284869790738604 1.276880549784265;5.84181759902
-11.294694535331645 1.2329829448226468;20.681353183343
-11.279769647956169 1.2987510359937033;16.26672118718
-11.291688708259741 1.2455970360996962;17.166721929320
-11.276942802899278 1.3105984245552722;19.736875176238
-11.287349683826488 1.2641437308922325;9.962194055321
-11.265860487757362 1.359077651699447;29.99290650300
-11.26673879220544 1.3548122139804577;29.239056809571
-11.286885508889327 1.2651750862226154;9.373829641858
-11.277886248516955 1.304694479561733;18.120041829829
-11.295437360621067 1.2266038884897459;22.20871144278
-11.288672065126061 1.2562160592498728;13.475839847548
-11.431432510297398 0.6317200038295768;82.17613566234
-11.51570229364045 0.2628749593860627;103.12863983539
-11.56364430268086 0.05273549673744227;113.34891482372
-11.588936339066212 -0.05848889734162194;118.40184089696
-11.600062673332443 -0.10786522745015012;120.57634931993
-11.602295566215561 -0.11841536479695702;121.03453347596
-11.598912228116987 -0.1044419804413186;120.4231994212
-11.591947966426337 -0.07482269151099324;119.1190373261
-11.582663897266704 -0.0350546897854616;117.34594721148
-11.571837842640933 0.011474210783923806;115.23724847501
-11.559945317252678 0.0626951557074388;112.87073676075
-11.547272040516697 0.11736713104842762;110.28912255247
-11.533983699943748 0.1747726193569576;107.51209237160
-11.520168943643904 0.23453018038971465;104.54331965351
-11.505865499655911 0.2964807108919447;101.37425646505
-11.491075499206957 0.36062085052941906;97.98568755885
-11.475773638019328 0.42706768768326453;94.34747307031
-11.459910171639077 0.4960460902819247;90.4164420662
-11.443409493311492 0.5678954616083561;86.13183922930
-11.426163788413037 0.6430982524119297;81.4067635520
-11.408019378571392 0.7223408911005051;76.11192315389
-11.388749357486251 0.8066355973608992;70.04249035808
-11.367995067833263 0.8975806272534242;62.84141995216
-11.345119898554126 0.9980099856494467;53.78216603170
-11.318720325479287 1.1141651016813159;40.87505162264
-11.283287859179202 1.2705131181617708;5.124320890156
-11.278733170508385 1.2901152247301033;13.435531244498
-11.3078822890649 1.1605525847959566;34.38304155745
-11.313666514969357 1.1344460623409682;38.163423397810
-11.30327443653331 1.179996906009999;31.26094849339
-11.27499284378801 1.304898775385994;18.355088686427
-11.273708649866798 1.3101434412032715;19.806264812110
-11.300181841443143 1.1924721371356846;29.076545883295
-11.302780450240105 1.180531521198755;31.157359209196
-11.286955803783883 1.2502361490155425;15.41337739062
-11.314684324180964 1.1271261662492102;39.14045793274
-11.320419201920807 1.1013236290555917;42.46261879535
-11.311272272618238 1.1413921563536682;37.1690877333
-11.288588361548793 1.2414635813825883;18.13985214450
-11.305198690221667 1.1675234437110766;33.26237236233
-11.301471036140388 1.1836378256800524;30.606257449101
-11.279501754087136 1.280613475106474;9.14618261575
-11.28660269886578 1.2487666899352907;15.858153933856
-11.264780717311096 1.3451750048705742;27.621008638547
-11.26608637044587 1.3390013629843889;26.423708158525
-11.288881171226214 1.2376106067758892;19.19042103167
-11.28567075775592 1.251453943581335;14.915776201198
-11.234231401872014 1.479455932599056;46.63598231466
-11.211103124687659 1.581663441440222;57.00115460248
-11.205488105577126 1.6060411845179923;59.207624620326
-11.211202428551404 1.5800841320785168;56.860465838529
-11.224927632053666 1.5185699812302111;50.863009131193
-11.245586659002567 1.4263333033853298;40.2245324523
-11.276309241529498 1.289577710150651;13.438934938706
-11.27463072385452 1.2965312491385033;15.937026368095
-11.306123904105167 1.1566157528115382;34.894091117507
-11.313690811875789 1.1226373982121893;39.68158780490
-11.305099000953376 1.160230200262584;34.338323596499
-11.281157638404816 1.2658962334574628;8.228006746269
-11.288514386398917 1.2328843376506686;20.365092117232
-11.270679467439628 1.311579744506307;20.334514767552
-11.277883604560849 1.2792654700317125;8.591172655105
-11.234695480407124 1.4706898101924204;45.67480251926
-11.21720665523174 1.5479060631457828;53.8312032436
-11.215800567542571 1.5536466768712094;54.390908741815
-11.225156973068781 1.5115807787736868;50.16594416293
-11.242908162951453 1.4322765645861284;41.0303184691
-11.270599849941892 1.3089608090057518;19.68415719830
-11.26072755023797 1.3523103501804212;29.041989041833
-11.27125683148816 1.3052019184286647;18.664686408897
-11.370876683204312 0.865394450706868;65.40284507704
-11.426788250768277 0.618250054392592;82.92776756056
-11.455739030770049 0.4898979011256922;90.70312702757
-11.467921302589875 0.4354104732944117;93.80816068852
-11.469583020963826 0.4272632743692566;94.2617155379
-11.464556115808586 0.44858572618093834;93.06166287736
-11.455179344596253 0.4890885609069171;90.74066585448
-11.442861124459224 0.5425815122535629;87.58207074479
-11.42842240697284 0.6054620569169803;83.71770889743
-11.412301971963979 0.6758113129269182;79.17188006639
-11.394671498094452 0.7528881115294473;73.87173397979
-11.37548274188278 0.8369229889430018;67.6224145660
-11.354441052292568 0.9292384071627954;60.013120153778
-11.3308290168257 1.033034198548803;50.09750375506
-11.302716139792969 1.1568998704216613;34.74256083890
-11.256344656194534 1.3619619836364898;30.819873203516
-11.238865337464706 1.4388741336102802;41.93531709040
-11.239658831675072 1.4347395621499321;41.41774112563
-11.25383442328597 1.3712857963594982;32.38504274104
-11.285201486460826 1.2317138675930286;20.468623402702
-11.289489702678667 1.21220732056481;24.97655987316
-11.271590963469109 1.29113536854614;14.382037420602
-11.281188409940693 1.248175932882116;15.657678941280
-11.262670981573658 1.3299426110218757;24.804769543798
-11.267569094491964 1.3078344336570327;19.571126719982
-11.30727793673561 1.1315456951892833;38.35360592597
-11.321212302478008 1.069363336940469;46.09304969189
-11.318718842656112 1.0799157134226847;44.87054432951
-11.304305475331981 1.1432870369602757;36.699033001316
-11.276681874932216 1.2652908375939118;7.978131524985
-11.279951589124346 1.2503529725738476;14.85197265863
-11.250404343707412 1.3810839590962776;33.978366335917
-11.244315886979406 1.4076655261840494;37.869956088574
-11.254491951492938 1.3620700598814344;30.904966161502
-11.282917066635864 1.2356054540367933;19.361400510441
-11.284548420018536 1.227937841691684;21.337124779347
-11.260463487936098 1.334388794379548;25.782434814398
-11.260511654874158 1.3337604971619417;25.65812516711
-11.282556574270616 1.235620443301423;19.336485988847
-11.278749122953549 1.2521103819782622;14.151894891271
-11.217140545736289 1.5255817719385039;51.717040780642
-11.186733771634072 1.6602477801582016;63.95071745124
-11.175516923686477 1.7095210302892927;67.87921756273
-11.176408204543241 1.7049163392079683;67.52438035946
-11.18526894493928 1.6648685657825375;64.33650986508
-11.199827865558154 1.5995112775475069;58.76145234983
-11.219178813171196 1.5129122471061827;50.43168352367
-11.243997132287497 1.4021241652787504;37.140522357820
-11.281742297097276 1.234153898575303;19.665601959986
-11.290865610611716 1.1931389210105892;28.59569042386
-11.279473813380715 1.2431530397226482;17.0751085744
-11.361711422027895 0.879938684139835;64.11870117426
-11.406361997714859 0.6824584050506941;78.66471747475
-11.42783708268262 0.5871267610203725;84.79799395719
-11.434870300407919 0.5554369244779337;86.73952748019
-11.43278398919199 0.5639384457662424;86.22030510765
-11.424811014789855 0.5983980239205098;84.08951458704
-11.412887217784752 0.6503014013871018;80.77541570390
-11.398127271786269 0.714754368110115;76.46126277626
-11.38110170538539 0.7892621668269635;71.14977895566
-11.361975244667367 0.8731217751521668;64.65285237878
-11.340511936631044 0.9674040705939728;56.464095040282
-11.315819477958744 1.0760937035672868;45.22200699788
-11.284760516326296 1.2131512790007313;24.570314923198
-11.297567687020347 1.1558757026995121;34.722434579098
-11.291411223612103 1.1826896565741212;30.38889436522
-11.266859281691644 1.2911610394375796;14.757111174063
-11.269813278806474 1.277628998738065;8.697216165723
-11.119796247818337 1.9525917870733314;84.6334823291
-11.030545521198327 2.353947366409098;106.65073031636
-10.979035959604948 2.585286802341882;117.47870098359
-10.951052698597891 2.710604898422457;122.94645966546
-10.937776109242815 2.769629057651417;125.43982045712
-10.933723914983116 2.7870664415700372;126.1680965497
-10.935486758255266 2.7782899239587855;125.80447470770
-10.940945476029043 2.7528599380447223;124.74180536497
-10.948784921492658 2.7167131454886606;123.21477316269
-10.958191495450203 2.6735247367190977;121.36464477635
-10.968664855926185 2.625556876338905;119.2758087923
-10.979900725989166 2.5741870276895655;116.99718414616
-10.9917180349175 2.520236580565288;114.55501428074
-11.004013744573337 2.4641747230875994;111.96054429799
-11.016735007582776 2.406244185529926;109.21454836370
-11.029862232748142 2.3465378051630794;106.30983749381
-11.043399097011172 2.285043770778388;103.23238585295
-11.057367105239791 2.221670374153459;99.96139663680
-11.071803317478858 2.1562565131502245;96.46838886037
-11.086760578126103 2.088570979668437;92.71514897948
-11.102310178390926 2.0183008939503537;88.65006534493
-11.118547560761005 1.945026630513071;84.20178066913
-11.135602762328853 1.868175754533866;79.26785517627
-11.153659573747039 1.7869383911451606;73.69309278687
-11.172993190049649 1.7001007766068823;67.22355986963
-11.194054029173856 1.6056744922988546;59.39258016451
-11.217697386959562 1.4998800657983977;49.156120562515
-11.246120236565021 1.3729987410991262;32.91330273360
-11.300029702608171 1.133353138047618;37.901464867479
-11.323620915128474 1.0281145681110617;50.4244788227
-11.328490024212273 1.005864641824195;52.68986607846
-11.321065623663245 1.038124397581061;49.363070936873
-11.304386765437632 1.111458328894402;40.809278072739
-11.27744664954832 1.2303985397855675;20.36209621158
-11.289674231036813 1.1757199925280286;31.452911039593
-11.281984753704311 1.20938685730357;25.201099368892
-11.249352497353522 1.3538382022886013;29.737716180
-11.241915977221543 1.386397942618168;35.02544448308
-11.25203281830005 1.3410367150715183;27.39030139796
-11.284927226978443 1.194705211401188;28.082515066647
-11.292119178483002 1.1623462061276237;33.594664637
-11.28121586913043 1.2102619691888754;24.99207269024
-11.242179307472332 1.383175613998181;34.553651965810
-11.229225015699077 1.4402170375113301;42.35164663580
-11.233116329880826 1.422431272934715;40.0875414719
-11.25011859137095 1.3464595856600348;28.43923199705
-11.2929813300045 1.1559077708417358;34.56817577633
-11.308510307526127 1.086526363972258;43.864845590196
-11.306676328552587 1.0941198387989188;42.94201471074
-11.292165948850151 1.1579527027585512;34.24410852251
-11.262427886713802 1.2894417758895838;14.51054028610
