Point;Valeur
-12.965753837917333 2.9531536086982584;112.81466907996
-12.98488972516593 2.9011723481109737;110.26136600392
-13.011298223171112 2.8160485388030314;106.00698424573
-13.043768094387332 2.703749769033573;100.14791407902
-13.081625873882905 2.5679011249791155;92.58413980450
-13.12471106357033 2.409955577405508;82.93933913930
-13.173491456575332 2.2288216826336567;70.27509126013
-13.229552210305071 2.0190767504015183;51.88460825255
-13.297941872439017 1.7622031273757404;7.874824260296
-13.18049015185874 2.2059132857917723;68.4905573995
-13.109882426683459 2.4723187725924864;86.84288374877
-13.070958828817883 2.6185250137002094;95.42595929463
-13.054874022606901 2.6779607166437085;98.7049303791
-13.0557892632251 2.6727586168484363;98.42884466587
-13.069747591561132 2.6179664296354495;95.41326446612
-13.094118010891016 2.5236313662303393;89.97937648606
-13.127308568815971 2.3958793563866996;82.04450700422
-13.168695458110236 2.2371855641427882;70.95701130761
-13.218913101491607 2.045291634776241;54.61194718547
-13.281538412204059 1.8068914116063;20.744837414281
-13.393551389352604 1.3832500689650056;64.1137388240
-13.458329692433626 1.1371968981708553;82.13631792729
-13.491482731683625 1.0098685344691876;90.05338673858
-13.501847277196978 0.9680082054463535;92.5007198717
-13.495164087280212 0.9900607394665507;91.20149144356
-13.475238621661118 1.0617772610526823;86.87041890950
-13.444467467380138 1.1742223359704536;79.61551772875
-13.40402336636028 1.3230743082073526;68.85294140565
-13.353596184913572 1.5096043610742877;52.33850222922
-13.289478599198471 1.747901805663143;13.523857954868
-13.14187650566137 2.3013282888455757;75.80998486029
-13.046293111548337 2.658720702518385;97.83961705249
-12.986500192499843 2.881007275274099;109.32375333865
-12.952630682431076 3.005309248617464;115.25117499590
-12.937951899488855 3.057006452410294;117.63467101880
-12.937713701342691 3.0540404879539946;117.5111259227
-12.94853391632938 3.0092124937367655;115.46635934021
-12.968018265450244 2.931606174524919;111.82910760490
-12.994513047812566 2.8275152866270754;106.7511516983
-13.026947570195853 2.7010357412111916;100.23117322636
-13.064750673998319 2.5543803818707014;92.09058885656
-13.107851454337379 2.387878194456357;81.86753108713
-13.156830464019064 2.1994088341385205;68.47036983923
-13.2135132902315 1.9821757011995715;48.63320163234
-13.284052491338745 1.7131248399833363;22.73430874683
-13.279481386614853 1.7276579499978952;18.950593041093
-13.20576602515912 2.003262036434604;50.95744163741
-13.175294613610879 2.115925762404733;61.679289867759
-13.173345504684674 2.121012606201824;62.13183718635
-13.193057074862551 2.0443940971647967;55.152393863339
-13.232060768868566 1.8950779873387795;38.00647832428
-13.296731773778822 1.6492054923849147;34.50400824389
-13.307619449164445 1.6061928535979617;40.620574323821
-13.28314983562013 1.6964975291232773;26.09490479118
-13.213448431934806 1.9575009345104593;46.02656239427
-13.188844220106363 2.0484725630446814;55.62113600163
-13.193736932937806 2.0281276824142758;53.63984162407
-13.22208075149482 1.9193021332791185;41.39258097139
-13.275720418449987 1.715179553948225;21.773955961445
-13.255673912007335 1.789125664104564;17.920193667972
-13.31441793808536 1.566389828904082;45.45862396727
-13.330035820551101 1.5060806376936018;52.07346869749
-13.316358068710155 1.5560326051591356;46.64017131363
-13.27731224094624 1.701538214482574;24.798069194379
-13.19381400807764 2.014827794890429;52.38272744578
-13.155129860920265 2.158993491042711;65.48528109805
-13.145624468913649 2.192894864924616;68.2091973445
-13.157623900246334 2.1454956412072788;64.39499552386
-13.187235767850654 2.0315560447293923;54.11737621597
-13.234260404650763 1.8519539399892673;31.733676236592
-13.311968044937593 1.5568754745044422;46.42379307391
-13.342708255803286 1.4389332567185742;58.45819745234
-13.343376739656904 1.434293868411777;58.8690658072
-13.321198703315956 1.5157333900045769;50.90658016014
-13.27803691563909 1.6763273703610866;29.48363315301
-13.199919459096757 1.9690050989716674;47.6372889957
-13.167876534186819 2.08788480033715;59.52580252065
