Point;Valeur
-13.057985049888778 0.7072895924914686;99.92152754545
-13.05782693600577 0.7074477063744771;99.91154425048
-13.057603255930363 0.7076713864130533;99.8974194531
-13.057329281931048 0.7079453602666546;99.88011608101
-13.057012974344484 0.7082616674905052;99.86013542136
-13.056659473427706 0.7086151676838186;99.8378007196
-13.056272480606514 0.7090021592421993;99.81334438758
-13.055854847586987 0.7094197902472663;99.7869451994
-13.05540887591745 0.7098657589061471;99.7587472072
-13.054936487446371 0.7103381430953398;99.72887050506
-13.054439329255557 0.710835295429558;99.69741785597
-13.05391884212725 0.711355774796911;99.66447901675
-13.0533763072618 0.7118982996437306;99.63013368928
-13.052812879303115 0.7124617149517883;99.59445360731
-13.052229610362648 0.7130449682171223;99.55750405477
-13.051627467912244 0.713647091560108;99.51934499687
-13.051007348376244 0.7142671881363385;99.48003193947
-13.050370087631405 0.7149044216397218;99.43961659309
-13.04971646923667 0.7155580080757196;99.39814739347
-13.04904723096646 0.7162272092310256;99.35566991483
-13.048363070056878 0.716911327430276;99.31222720170
-13.047664647462685 0.7176097012818677;99.26786003824
-13.046952591345612 0.7183217021923398;99.22260716876
-13.046227499959688 0.7190467314835751;99.17650548013
-13.04548994405981 0.7197842179866168;99.12959015394
-13.044740468930721 0.7205336160148758;99.081894794
-13.04397959611207 0.7212944036410812;99.03345153786
-13.04320782487889 0.7220660812186087;98.98429114454
-13.04242563352443 0.7228481701002428;98.93444308064
-13.041633480482695 0.7236402115170395;98.88393558806
-13.040831805320513 0.7244417655874351;98.83279574665
-13.040021029623128 0.7252524104326425;98.78104952955
-13.039201557792587 0.7260717413790447;98.72872185293
-13.0383737777745 0.7268993702320261;98.67583662120
-13.037538061725742 0.7277349246086753;98.62241676838
-13.036694766633268 0.7285780473192086;98.56848429645
-13.03584423489223 0.7294283957889195;98.51406031097
-13.034986794850033 0.7302856415140466;98.4591650546
-13.034122761321646 0.7311494695462465;98.40381793885
-13.03325243608044 0.7320195780014076;98.34803757409
-13.03237610832799 0.7328956775894007;98.29184179839
-13.031494055145528 0.7337774911620581;98.23524770519
-13.030606541929247 0.7346647532772402;98.1782716698
-13.0297138228111 0.7355572097773058;98.12092937526
-13.02881614106646 0.7364546173806756;98.06323583699
-13.027913729509645 0.7373567432854728;98.00520542713
-13.027006810878099 0.738263364784461;97.94685189785
-13.026095598205835 0.7391742688906917;97.88818840415
-13.025180295186594 0.7400892519734134;97.82922752600
-13.02426109652706 0.7410081194039124;97.76998128982
-13.023338188290369 0.7419306852110408;97.71046118949
-13.022411748230134 0.7428567717462455;97.65067820668
-13.021481946115086 0.7437862093579674;97.59064283061
-13.020548944044485 0.7447188360753002;97.53036507737
-13.019612896754357 0.7456544973008282;97.46985450852
-13.018673951914648 0.7465930455125658;97.40912024929
-13.017732250417382 0.7475343399749298;97.34817100613
-13.016787926655871 0.7484782464586726;97.28701508380
-13.015841108795078 0.7494246369697001;97.22566040188
-13.014891919033202 0.7503733894866911;97.16411451076
-13.013940473854603 0.7513243877074219;97.1023846071
-13.012986884274145 0.7522775208036947;97.0404775488
-13.012031256073096 0.7532326831847508;96.97839986952
-13.011073690026697 0.7541897742690444;96.91615779239
-13.010114282123558 0.755148698264238;96.85375724374
-13.009153123776997 0.7561093639552703;96.79120386586
-13.008190302028515 0.7570716845003399;96.72850302961
-13.007225899743553 0.7580355772346374;96.66565984633
-13.006259995799699 0.7590009634816519;96.60267917949
-13.005292665267554 0.7599677683718694;96.5395656557
-13.004323979584408 0.760935920668678;96.47632367565
-13.003354006720938 0.7619053526012867;96.41295742390
-13.002382811341125 0.7628759997044628;96.34947087916
-13.001410454955565 0.7638478006648909;96.28586782355
-13.000436996068402 0.764820697173951;96.22215185162
-12.999462490318056 0.7657946337867186;96.15832637913
-12.998486990611966 0.7667695577869822;96.09439465126
-12.997510547255532 0.7677454190580799;96.03035975064
-12.996533208075464 0.7687221699593549;95.96622460492
-12.995555018537733 0.7696997652080335;95.90199199410
-12.994576021860308 0.7706781617663293;95.83766455743
-12.993596259120885 0.7716573187335823;95.7732448001
-12.992615769359785 0.7726371972432442;95.70873509984
-12.991634589678213 0.7736177603645228;95.64413771242
-12.990652755332041 0.7745989730085071;95.57945477806
-12.98967029982132 0.7755808018385929;95.51468832669
-12.988687254975671 0.7765632151850377;95.44984028328
-12.987703651035721 0.7775461829634763;95.38491247291
-12.986719516730766 0.7785296765972333;95.3199066255
-12.985734879352792 0.7795136689432737;95.25482438082
-12.98474976482704 0.7804981342216377;95.18966729204
-12.983764197779228 0.7814830479482112;95.1244368307
-12.982778201599602 0.7824683868706861;95.05913439048
-12.981791798503938 0.7834541289075732;94.99376129069
-12.980805009591629 0.7844402530901322;94.92831878025
-12.979817854901007 0.7854267395070896;94.86280804098
-12.978830353461987 0.7864135692520188;94.79723019089
-12.977842523346187 0.7874007243732636;94.73158628730
-12.97685438171462 0.7883881878262894;94.66587732983
-12.97586594486308 0.7893759434283496;94.60010426324
-12.974877228265314 0.7903639758153628;94.53426798010
-12.973888246614088 0.7913522704008966;94.46836932337
-12.97289901386026 0.7923408133371612;94.40240908883
-12.971909543249929 0.7933295914779188;94.33638802741
-12.970919847359758 0.7943185923432176;94.27030684742
-12.96992993813057 0.795307804085865;94.20416621660
-12.96893982689928 0.796297215459558;94.13796676417
-12.967949524429262 0.7972868157885907;94.07170908270
-12.966959040939189 0.7982765949390648;94.00539372993
-12.965968386130479 0.7992665432915289;93.93902123050
-12.964977569213353 0.800256651714981;93.87259207755
-12.963986598931607 0.8012469115421647;93.80610673431
-12.96299548358615 0.8022373145460995;93.73956563556
-12.962004231057374 0.803227852917783;93.67296918904
-12.961012848826403 0.8042185192450092;93.6063177767
-12.960021343995276 0.8052093064922478;93.53961175636
-12.959029723306132 0.806200207981532;93.47285146216
-12.95803799315943 0.8071912173743078;93.40603720644
-12.957046159631242 0.8081823286541928;93.33916928047
-12.956054228489705 0.8091735361106047;93.2722479555
-12.955062205210629 0.8101648343232132;93.2052734840
-12.954070094992316 0.8111562181471755;93.13824610020
-12.95307790276965 0.8121476826991175;93.07116602116
-12.952085633227464 0.8131392233438214;93.00403344772
-12.951093290813244 0.8141308356815867;92.93684856519
