Point;Valeur
-14.977513662324704 -0.6141257221416625;169.0877849803
-14.89789931274813 -0.32742167252713406;159.63894458792
-14.732078806281137 0.24649829004255241;138.74999450065
-14.475034546806913 1.1286795383018298;98.35989226219
-14.094049742569124 2.4391641075553085;67.32702569304
-13.957095104945058 2.8873399181654182;96.95886110943
-13.97650915483913 2.7788522878439403;90.89262450119
-14.147891429349375 2.129913288150732;35.85837006695
-14.69856086811594 0.14431029084591662;142.03876794453
-15.095502380099799 -1.3084654129191902;189.4501982639
-15.376520290218021 -2.3650440807250455;217.52601269852
-15.561160018595725 -3.095558480379331;234.93974243117
-15.662647283501151 -3.5467241894084056;245.0037511483
-15.69085635535697 -3.752707281793983;249.35065123348
-15.653457286521993 -3.7393784993997627;248.84732519039
-15.55644350032839 -3.5262897552252603;243.90632000107
-15.404363153633131 -3.127547775546737;234.5853169670
-15.200340751115954 -2.551899162395705;220.56056904377
-14.945851398315385 -1.8018848459620942;200.9392189839
-14.640022413972849 -0.871227565011448;173.67042298100
-14.27760369231645 0.2627208743878342;133.3011265280
-13.840922737381486 1.6686962962010758;49.73902552340
-13.165387015051468 3.9528535355590746;149.01418247663
-12.639593109788699 5.693546423526935;202.41101203906
-12.223999435965274 7.028783415513955;235.27788378232
-11.898085010405035 8.029980048877112;257.2024908138
-11.647991578225191 8.74565481467563;271.84174983400
-11.463407456175608 9.21226210742591;281.05137548683
-11.3363099926969 9.45849601912209;285.90454478654
-11.260330730671326 9.50743146153355;287.0575645919
-11.230393836839475 9.377725567648957;284.9071636733
-11.242500430580337 9.084320108687683;279.66188324393
-11.293607234287574 8.638819849456585;271.3681314497
-11.381582380386012 8.049600401479829;259.9021808320
-11.505245679429574 7.3216103373440005;244.92122951045
-11.66453354581948 6.4557084041818324;225.73981596192
-11.860902214720765 5.447094365891846;201.02319485093
-12.098309116870954 4.281515200616219;167.88474826229
-12.386083727985516 2.9241457927747025;117.92191390042
-12.752627533813628 1.2662094147860952;60.03466546524
-12.873194417814753 0.5924372946616335;103.21565216796
-12.857933377935689 0.4645473530513816;109.05688549612
-12.726028847650381 0.806901544916139;90.17250738426
-12.464854590477396 1.672778983572823;34.52870395325
-12.588584499811873 1.011060723055522;75.76648750840
-12.53474726857429 1.0697355071360737;70.83942684495
-12.308698466450137 1.8291803685604784;56.071261725735
-12.322724176165737 1.6274970200644654;33.03863407643
-12.7085925641805 -0.06993041949967815;129.83516229699
-12.961344002930778 -1.2277022015077805;170.54842721525
-13.114983959080465 -1.9868914538133116;192.564770183
-13.186424928483355 -2.4172978289841045;203.8974045676
-13.186582941509906 -2.5632760548818507;207.44777051406
-13.12305115585674 -2.4549073088671935;204.40960571939
