Point;Valeur
-2.5547351006022723 -7.181985520695067;-1.5894638288046
-2.2399359545655515 -7.496761945546309;-1.664951885382
-2.0181194749409834 -7.5605071716783305;-1.691892911043
-1.8653197208309087 -7.555441706352382;-1.70406396967
-1.7587876398844864 -7.554245819809587;-1.7098930988744
-1.6840953933871274 -7.553358086067765;-1.7127384538571
-1.6316381777077376 -7.552769397052367;-1.7141366646573
-1.594801357405842 -7.5523689018322475;-1.7148247408882
-1.568953275986968 -7.5520942921708265;-1.7151631578999
-1.5508317592307506 -7.551904856831846;-1.7153294094281
-1.538137098676954 -7.551773652945326;-1.7154109894191
-1.529249720127613 -7.551682529390117;-1.7154509848593
-1.5230307723982175 -7.551619121798695;-1.7154705814094
-1.5186806137327367 -7.5515749423200225;-1.7154801805055
-1.5156384631115718 -7.551544131370238;-1.7154848827528
-1.5135114233293214 -7.551522630236382;-1.7154871871623
-1.5120244159838825 -7.551507619137441;-1.715488317410
-1.510984950641213 -7.551497135719501;-1.7154888725145
-1.5102583791894821 -7.551489812792371;-1.7154891457008
-1.5097505396125612 -7.551484696826467;-1.7154892805432
-1.5093955949159827 -7.551481122058842;-1.7154893473805
-1.5091475188298433 -7.551478624526627;-1.715489380704
-1.508974137540471 -7.551476879050883;-1.7154893974547
-1.508852962069128 -7.551475659271451;-1.7154894059663
-1.50876827369488 -7.551474806824252;-1.7154894103545
PointOptimal;ValeurOptimale
[-1.50876827 -7.55147481];-1.7154894103545864
Temps;Nb iteration
0.007977962493896484;24
