Point;Valeur
-2.5547351006022723 -7.181985520695067;-1.5894638288046
-2.3145351189360652 -7.422185327220099;-1.6518496143771
-2.182945437746102 -7.497277793201025;-1.6729083659399
-2.08758605790128 -7.529482925161293;-1.6847098885076
-2.012275718148212 -7.543819608521437;-1.6924342296488
-1.9502319830406272 -7.550122641187571;-1.697872715596
-1.897840519129152 -7.552762738041373;-1.701858757652
-1.8528937490330688 -7.5537443466154714;-1.7048533290953
-1.8139165750559811 -7.553991360925058;-1.7071402996029
-1.779858120937438 -7.553927281938771;-1.708907059722
-1.7499329576785279 -7.553743748475695;-1.710283324104
-1.7235319339630872 -7.553525521721943;-1.7113619910051
-1.7001686793234547 -7.553308549846573;-1.7122112930143
-1.6794457832920444 -7.5531068041440115;-1.7128823146654
-1.6610324753950996 -7.552924588752701;-1.7134138681657
-1.6446493510456617 -7.552762129974396;-1.7138357784951
-1.6300575839492908 -7.552618073850643;-1.714171167358
-1.6170510906981044 -7.552490575990152;-1.7144380829946
-1.605450692900108 -7.55237775556074;-1.714650688663
-1.5950996650391864 -7.552277868107478;-1.714820144987
-1.5858602654273901 -7.552189357503816;-1.7149552747815
-1.5776109793328121 -7.5521108576104625;-1.715063070064
-1.570244288405144 -7.552041176494207;-1.7151490825628
-1.5636648365303156 -7.551979275331512;-1.7152177268512
-1.5577878998975272 -7.551924247445714;-1.7152725171920
-1.5525380947822451 -7.551875300211782;-1.7153162535030
-1.5478482744200388 -7.551831738982984;-1.7153511679694
-1.5436585785730108 -7.551792953497239;-1.7153790409911
-1.5399156085143395 -7.551758406744068;-1.7154012931037
-1.536571706395438 -7.55172762504595;-1.7154190579900
-1.5335843225781258 -7.551700189913593;-1.7154332405555
-1.5309154579232767 -7.5516757314080785;-1.7154445631756
-1.528531170519618 -7.551653921566594;-1.7154536025527
-1.5264011383020957 -7.551634469830956;-1.7154608191100
-1.524498270485759 -7.551617118380778;-1.7154665804411
-1.5227983617259624 -7.55160163798799;-1.7154711800259
-1.5212797840064327 -7.5515878252129225;-1.7154748521700
-1.5199232118840782 -7.5515754989137145;-1.7154777839328
-1.518711377299326 -7.551564498090923;-1.7154801246504
-1.5176288506179876 -7.551554679261632;-1.7154819935405
-1.5166618451032376 -7.551545914749127;-1.7154834857743
-1.515798042195826 -7.55153809083905;-1.7154846773248
-1.5150264353679577 -7.551531106088148;-1.7154856288387
-1.5143371906388994 -7.551524870198892;-1.7154863887273
-1.5137215217997424 -7.55151930255712;-1.7154869956343
-1.5131715790471245 -7.551514331462701;-1.715487480406
-1.5126803492464296 -7.551509892724406;-1.715487867667
-1.5122415669641587 -7.551505929240271;-1.7154881770719
-1.511849634815171 -7.551502389993019;-1.7154884243093
-1.511499552342105 -7.5514992295287;-1.7154886219041
-1.5111868524606105 -7.551496407225504;-1.715488779854
-1.5109075445953963 -7.551493886816915;-1.715488906141
-1.5106580639430558 -7.551491635991142;-1.715489007136
-1.5104352260756886 -7.551489625895194;-1.715489087927
-1.5102361863515483 -7.551487830715245;-1.7154891525759
-1.5100584037715117 -7.551486227524039;-1.7154892043243
-1.509899608513653 -7.551484795740455;-1.7154892457627
-1.5097577730395124 -7.551483516887896;-1.7154892789591
-1.5096310862643152 -7.551482374848617;-1.7154893055655
-1.5095179304649975 -7.551481354859143;-1.7154893269010
-1.5094168606065856 -7.551480443821818;-1.7154893440199
-1.509326585964924 -7.551479630196718;-1.7154893577643
PointOptimal;ValeurOptimale
[-1.50932659 -7.55147963];-1.7154893577643366
Temps;Nb iteration
0.031913042068481445;61
