Point;Valeur
-5.031711986217939 1.2360510794555095;99.18947430280
-5.041819047685077 1.2168745687696858;98.16559353409
-5.052036079723275 1.189251368828157;96.69422514147
-5.062370834601059 1.1537949829972023;94.78685558717
-5.0728358287592075 1.1110099377184721;92.44371434597
-5.083448576819412 1.0612954867304591;89.6527922488
-5.094232202469731 1.0049451357151022;86.3875264151
-5.105216563389462 0.9421407324322284;82.60246810098
-5.1164401566108175 0.872938620354643;78.22549590014
-5.127953327717592 0.7972428821132848;73.14344180833
-5.139823877965914 0.7147552176650929;67.17365838689
-5.152147601877976 0.6248771905960969;60.001038225859
-5.165070579410349 0.5264993690313109;51.01106391268
-5.178846525995579 0.4174536290066771;38.6809846177
-5.19405185287254 0.2924506272407461;15.104247822967
-5.214774195835714 0.11247811271171151;39.98036863552
-5.231000994494752 -0.026070727134969524;54.79295838642
-5.243842122966334 -0.13374367979581078;63.97896871968
-5.253876255018228 -0.2159756726293926;70.19073102577
-5.2615012458684856 -0.2764672943611715;74.43160696800
-5.267019687201629 -0.318009859803667;77.2111052199
-5.270672803851247 -0.342812058776618;78.82622299490
-5.27265740189187 -0.3526629967590408;79.46214341493
-5.273135531946058 -0.34902489999493114;79.2359347136
-5.2722403687260115 -0.33308929678388477;78.21725148911
-5.27007975532341 -0.3058106743218434;76.43761799982
-5.266737987728901 -0.26792318158441253;73.89233731903
-5.2622758972368056 -0.21994095239670552;70.53542080751
-5.256728765811811 -0.1621375889939582;66.26446693821
-5.250100701897458 -0.09449161625393546;60.88557835571
-5.242351870142337 -0.016563242857315447;54.02773711103
-5.23336785772413 0.07280056289266683;44.889703345841
-5.222869247605824 0.17633553900803267;31.10386455310
-5.209964445201101 0.3026569833137675;17.71699430831
-5.204132693951943 0.3609324268477183;30.065029796859
-5.2023009473112 0.3805996671595278;33.2082417204
-5.203775456781706 0.3683274670396293;31.278504506749
-5.2084501562377135 0.32516030310899036;23.260147792825
-5.217188875176389 0.24286058770252705;17.17383461892
-5.219041177908735 0.22649073060672714;21.470502593616
-5.215854248956173 0.25831545865578487;11.767865692876
-5.204056968572498 0.37272405389558005;31.97004654474
-5.196595600263329 0.44540287608562135;41.923661532891
-5.192297074733258 0.48759108983294286;46.73764767518
-5.190615845669916 0.5045245724056331;48.53516880306
-5.19123059491094 0.4992952477949924;47.98622458938
-5.193957160717498 0.473683842265645;45.2046692904
-5.198737977086082 0.4282606362831991;39.79620386703
-5.205701507221961 0.3618165442548389;30.184841038959
-5.215487926869309 0.26824607788084476;6.185487397982
-5.2073790783180725 0.3472154043276101;27.62462573518
-5.20378662085512 0.3827479376625459;33.50748778922
-5.203633471198746 0.38516682614990755;33.869378940836
-5.206573282039515 0.3578049894503634;29.496352906876
-5.2127834930656185 0.2989851828131449;16.55667749960
-5.22474506582513 0.18499970579040492;29.70915916437
-5.232097139890627 0.11511033541415684;39.877073876923
-5.236154902850217 0.07669194060199533;44.486499942286
-5.237488834911588 0.06427529589399217;45.87748405363
-5.23641774954311 0.07481099947609654;44.70071063277
-5.233100746188829 0.10678563702047114;40.9215967677
-5.22752696874087 0.1603197182318395;33.65585824844
-5.21935149265509 0.23874348881512603;18.397959406420
-5.206232979384759 0.36456667466877224;30.628659753315
-5.197715035089888 0.4462483479699356;42.01061715814
-5.19245147205199 0.4966696236854087;47.698269691521
-5.189848251462397 0.5215186001815766;50.26496635884
-5.189550856983864 0.5241946649441059;50.53377413855
-5.1913383357204586 0.5068215492776423;48.7637526921
-5.195096390915651 0.47050427149218177;44.838003979485
-5.200834170323519 0.41516821294976963;38.0850068248
-5.208786353764494 0.33858209628817537;25.983899392887
-5.220033342294116 0.23042316953949352;20.557385573447
-5.225168252557091 0.1808934061384252;30.400742656893
-5.226394887004127 0.1688254747480409;32.34735840201
-5.224275651950928 0.188823262016605;29.04901564015
-5.218748397481805 0.24149276830532956;17.61499215786
-5.207784202116381 0.3463398724244114;27.45772140319
-5.201619523694922 0.40517471950349243;36.73670997652
-5.198853290056007 0.4314043266098002;40.188212175932
-5.198931064408687 0.43033822311922887;40.054182837474
-5.201602758575158 0.40437689526674936;36.62805815038
-5.206877200150313 0.35344586644147863;28.7411646928
-5.215302859468928 0.272308715222928;1.8223217192678
-5.28126570042319 -0.3261967891614638;77.83629089523
-5.339870087754011 -0.8573824905840739;106.93554441883
-5.392144339274015 -1.3308745838481268;127.38918946582
-5.43881677171339 -1.7534259754113402;143.19704403517
-5.480484149779419 -2.130539495651049;155.95852238907
-5.517658785297351 -2.4669217996916593;166.51906719782
-5.550789649951254 -2.766686324645454;175.39553949203
-5.5802745050941605 -3.0334693855694868;182.9338913629
-5.60646800948441 -3.270507370426179;189.3804665504
-5.629687687260318 -3.4806932608944394;194.9187167974
-5.650218604868946 -3.666620707360962;199.68994557070
-5.668317191129769 -3.8306198703235896;203.8058763947
-5.684214445630651 -3.974787406964386;207.3566968635
-5.698118685573649 -4.101012058071985;210.41643974888
-5.710217929390798 -4.210996786879694;213.04671644589
-5.720681985292578 -4.3062781279826075;215.2993877771
-5.729664294313175 -4.38824322356386;217.2185250504
-5.7373035653624465 -4.458144906903447;218.84188265125
