Point;Valeur
-6.268781242873448 2.5510537466971446;146.94127959441
-6.350839684010505 2.468995305413667;143.7606600124
-6.434211890053288 2.3861075692405285;140.46773195178
-6.51941992616352 2.3020425360509544;137.03897268315
-6.606823841432934 2.216550530414486;133.4524206488
-6.6967432313028405 2.129403554601776;129.6840971812
-6.789502061923187 2.0403657113202938;125.70598169334
-6.885454764286542 1.9491748303640857;121.48401521070
-6.985008731940247 1.8555255901303007;116.9755269173
-7.088649978610111 1.7590494280510842;112.12549358711
-7.1969776547197775 1.6592868440375466;106.86070174355
-7.310755359177473 1.5556456094882198;101.08005520100
-7.430993436155492 1.4473330065557537;94.63733692129
-7.559091308594017 1.3332374936476223;87.30779121266
-7.697106817049537 1.2117025441787574;78.71534181231
-7.848330866588706 1.0800386799191097;68.14461894046
-8.018749482849103 0.9332646459254686;53.895708157915
-8.222037666692268 0.7597221013646199;28.949262032562
-8.512457518502831 0.5109276508446199;46.24167276126
-8.296963307696009 0.6897744528086748;3.7297807169140
-8.765004815721015 0.28620649424541045;69.44192577877
-8.72648020028479 0.3181302578013922;66.5998442400
-8.686492787643958 0.35141143473694636;63.50645241820
-8.644757212450399 0.3863062620987639;60.09782745249
-8.600878604522256 0.4231684539940716;56.279671135485
-8.554281819779735 0.46251190070180836;51.90332629843
-8.504067712502964 0.505137798268177;46.71119882030
-8.448676152141962 0.5524321735625998;40.18628789806
-8.384897794678443 0.6072365518684576;30.972339160061
-8.30348323923266 0.6777057589560485;10.867117279964
-8.104853184990338 0.8507792799388432;44.052214853500
-8.15955218559394 0.8019686348324995;36.92175339639
-8.224943338521879 0.7440105263716449;26.00112932163
-8.31691509269541 0.6631655638375807;16.912156461048
-8.180713720304373 0.7817722903626899;33.56391101384
-8.252510156590413 0.71831295820315;19.323877814790
-8.372628949121438 0.6131328745375701;29.66020743380
-8.290187074721768 0.6844865477773872;5.2948529184140
-8.024743645257416 0.9160095752491715;52.177634952327
-8.059388544578255 0.8850049385035513;48.544399816641
-8.096759567679406 0.8517030406156233;44.30536050313
-8.137845461190102 0.8152580677486528;39.135469609429
-8.184486877081326 0.7740917110889043;32.303361755585
-8.241007854585208 0.7244862008486186;21.31174316953
-8.325245291200655 0.6510535774956888;20.52126268178
-8.237274049969605 0.7271374764881489;22.065447728907
-8.318857759988985 0.6559886958216508;19.002397662397
-8.224740388270039 0.7374610843350952;24.71543260673
-8.298155746141381 0.6733391590753744;12.368021963231
-8.164900476950994 0.7890703984859934;35.006120358373
-8.216596041555155 0.7435796391554812;26.181766093937
-8.285120071432143 0.6836550814969264;5.2869348324669
-8.076140470241478 0.8659153917134964;46.244225643729
-8.106734771652237 0.8387565421314023;42.62938389986
-8.140015954365703 0.8093228085478695;38.323196323722
-8.177123395678365 0.776637696582128;32.879182236784
-8.22041331437937 0.7386774220090343;25.10274582031
-8.276797965167884 0.6894894864737768;6.677292764594
-8.438765495498888 0.5490564189792057;40.39768905006
-8.40535876906096 0.5775694507851494;35.92292478436
-8.368013990981703 0.6095697876599339;30.12724709136
-8.323885079056604 0.6475520736923996;21.304916165793
-8.262856949174553 0.7003634283582064;13.289665404416
-8.354970166173178 0.6202643599261928;27.907471228065
-8.307617452839517 0.6610845067830079;17.06995013877
-8.233401460009528 0.7254393464052937;21.823708814951
-8.292327848216615 0.6739981999327718;11.691326800352
-8.191074811763253 0.7620005602580736;30.194817792108
-8.233792533219125 0.7245127869639008;21.595287561025
-8.292664029263708 0.6731198909638632;12.084747559228
-8.195293302956385 0.7577542057628364;29.365258612195
