Point;Valeur
-6.50722307578808 -1.6239918640595723;143.12341038193
-6.439429894086124 -1.0407191342227535;120.67480778028
-6.263012945190476 0.39181949618237155;2.1201932760801
-6.189188344983981 0.9857938297734214;77.674008708
-6.217558848475 0.7470231739821802;60.07471254203
-6.5317460461712855 -1.7779702158905022;148.51388242986
-6.768666716955737 -3.7190025508036535;204.41311091557
-6.939746025143012 -5.169522633517116;237.7515183728
-7.052781038226059 -6.191812256697991;258.6649194977
-7.113631590251269 -6.831148229228573;270.90126488523
-7.126884999295853 -7.1214666028349605;276.24226269339
-7.096147905272705 -7.087883593708259;275.5546588295
-7.024146600022781 -6.747567168678953;269.1199575986
-6.912670125253886 -6.109229694454013;256.683942188
-6.762282408935068 -5.1705896095006025;237.2637883187
-6.571479086906504 -3.910991095483058;208.42897010727
-6.333747984648228 -2.2659469807371604;163.3495712587
-6.01541533344435 0.06185094684197878;54.81221748569
-5.791545650199069 1.59913801207;112.45729712109
-5.6420700937320065 2.5064112488730284;147.9652375999
-5.557454631723944 2.8593337556334752;159.7466713927
-5.5340997474252225 2.685792277264232;154.30190120268
-5.575520616800914 1.954773236069035;128.25925696422
-5.711312688288737 0.4115589640438537;29.260696135581
-5.752080394158653 -0.28808408335725577;78.71575114822
-5.702702264288208 -0.18203436172005616;71.26393147071
-5.50581828364344 1.253803041231756;97.54687469578
-5.383346842369182 2.0229201373940002;131.69402656513
-5.327257721456838 2.1929012681492055;138.21707590034
-5.337790431949789 1.7598072558256053;121.49155566112
-5.435482236313905 0.5381283433409458;49.30857971549
-5.427010628413969 0.303601385850108;9.573028692917
-5.216967900622212 1.953798505208089;129.7255448461
-5.070148346556363 3.008904894717169;165.9360325297
-4.977722633199696 3.5465569199733906;181.67565309229
-4.9349408212643615 3.6086766531939247;183.49383645869
-4.940451797162865 3.2070155260520656;172.1823730959
-4.997960731404737 2.306968294756495;143.47847572947
-5.1291784621645125 0.7034741045605966;66.41054872581
-5.164037557451716 0.045398898137134824;47.08812374060
-5.099757390283024 0.36680759195773893;32.71891787751
-5.174153698416098 -0.6623292294884946;96.4872492518
