Point;Valeur
-7.573333707813967 -2.1724108245623244;165.73379140611
-7.523892008787788 -2.1229691255089116;164.00825522209
-7.474370367023319 -2.073314935191309;162.25894758841
-7.424737651295956 -2.0233727434051594;160.48260150538
-7.374974224589917 -1.973099843812181;158.67688189676
-7.325064608984615 -1.9224658913251185;156.83974647414
-7.2749950228540845 -1.871446095577462;154.96922697671
-7.224752285865728 -1.8200182583213738;153.06332723812
-7.174323226363563 -1.7681612354518628;151.11996312567
-7.123694304384261 -1.715854022499139;149.13691937049
-7.072851335143162 -1.6630751430224446;147.11181304453
-7.021779259310309 -1.609802192319358;145.04205865268
-6.970461931434716 -1.556011459999462;142.92483185340
-6.918881908859172 -1.5016775871207722;140.7570296268
-6.867020228363739 -1.446773228945281;138.53522494557
-6.814856159654534 -1.3912687017272893;136.2556139211
-6.762366925047468 -1.3351315950009235;133.91395308015
-6.709527373530037 -1.278326331188004;131.50548388060
-6.656309595294527 -1.2208136526686004;129.02484076309
-6.602682459368302 -1.1625500128127355;126.4659378601
-6.5486110519459295 -1.10348684161988;123.82182780801
-6.494055985911242 -1.0435696478684986;121.08452368306
-6.438972541583445 -0.9827369069242623;118.2447715454
-6.383309583887093 -0.9209186647301604;115.2917557997
-6.327008178906836 -0.8580347609700213;112.21271156889
-6.269999799640733 -0.7939925330306095;108.99240579817
-6.212203959436608 -0.728683798751412;105.61242882792
-6.1535250306763505 -0.6619808155448909;102.05020518070
-6.093847873996666 -0.5937307500396898;98.277575819
-6.033031679791875 -0.523747916877791;94.25870328955
-5.970901029789763 -0.4518025611707575;89.94686206469
-5.907232457276619 -0.3776040661048159;85.27930043956
-5.841733353799239 -0.30077472108821757;80.16855732900
-5.774007054893022 -0.2208065203706772;74.48674226832
-5.703490989453754 -0.13698505203789657;68.03437239321
-5.6293368059314846 -0.04824289072644221;60.47029179713
-5.550147019749018 0.04716019836180296;51.12102161492
-5.463276062577528 0.15247856676133975;38.254696806639
-5.362256565086125 0.27553989598519696;10.999942476332
-5.215576403261177 0.45322598443130013;42.61586183706
-5.268943651531031 0.38696846338753954;33.11554174651
-5.336143589052289 0.3043659510547829;14.054374649910
-5.4545562314414635 0.1604038950775767;37.074894312195
-5.3966744894868945 0.22954607613919864;24.884487175505
-5.317172869698233 0.32547613240866924;20.723592802080
-5.4067598655098426 0.21638487948565704;27.60416945439
-5.333364187742498 0.3047623587632123;14.299604010505
-5.443408141176778 0.17123502332346202;35.41107151243
-5.387006479706314 0.2386119274415643;22.75878294677
-5.307337615422976 0.33470047148063575;23.07346475700
-5.385417827362359 0.23962402188991255;22.49680947846
-5.305126499662321 0.33649793663343097;23.51059398872
-5.382132172973154 0.24269426405076186;21.720865117239
-5.299942682346827 0.3419251705179731;24.751503433253
-5.373988853246524 0.25163144890868505;19.32477484665
-5.285569671092412 0.35855919172715117;28.187280096748
-5.351876310196135 0.27745286827224885;9.51903745163
-5.232013187202786 0.42301478702326467;38.68382448849
-5.271757985310262 0.3738688469036411;31.02380971854
-5.320669015217312 0.3138307755890934;17.57836137838
-5.397186580048817 0.22066858470772482;26.621890319811
-5.340718311265602 0.2887189399248382;5.951014144977
-5.455689497153796 0.1491865495699287;38.57581155948
-5.429446498130198 0.18058622207357022;33.83959117828
-5.399831416623786 0.21618775606149698;27.50397634130
-5.364157742495016 0.25929705432240047;16.91195314712
-5.311342676905357 0.3234805638343797;20.388212370537
-5.356788070544793 0.2678963654747898;13.850568764706
-5.296879475249284 0.3407969525250031;24.588349583002
-5.335278831123144 0.293698982224547;9.558208685095
-5.405919955167691 0.2076877183296081;29.123765218240
-5.3755785386966695 0.24430142580803485;21.1808178911
