Point;Valeur
-7.871859355976442 2.388917897687808;133.0346717280
-7.941847248232993 2.3189300052763855;129.95135648609
-7.992860936007361 2.2681272461142568;127.66289283746
-8.035551315576354 2.2257187093465833;125.71840581303
-8.073358490072929 2.1882304033699276;123.97245234743
-8.107895166494236 2.1540362909309567;122.35684037927
-8.140067232925967 2.1222238661600277;120.83320608506
-8.170442266526088 2.0922217676492827;119.37743847568
-8.199403070352231 2.0636448081026626;117.9731966563
-8.22722195247036 2.0362190654035057;116.60877610115
-8.254100607256165 2.009741689364024;115.27542709231
-8.280193248094895 1.9840576002449295;113.96637963487
-8.30562085190103 1.9590451464868048;112.6762429696
-8.33048035949102 1.934606844582379;111.40061748251
-8.354850854868365 1.9106631616361103;110.13583368937
-8.378797853139234 1.887148202179623;108.87877066960
-8.402376359625842 1.8640066318118607;107.62672602116
-8.425633105116876 1.8411914298779863;106.3773202677
-8.448608213602146 1.8186622130992036;105.12842490551
-8.471336469801091 1.796383961750729;103.87810702377
-8.493848298642007 1.7743260355297747;102.62458574972
-8.516170533658576 1.75246140167362;101.3661972441
-8.538327028249835 1.7307660210559843;100.10136593472
-8.56033914836351 1.7092183534890923;98.82858031404
-8.58222617462914 1.6877989540439948;97.54637205987
-8.604005634664848 1.6664901395543343;96.25329753181
-8.625693581119783 1.6452757096589927;94.94792089837
-8.64730482732785 1.6241407104495724;93.62879828510
-8.668853149779352 1.6030712314710012;92.29446242288
-8.690351464683939 1.5820542287725572;90.94340732696
-8.711811984473352 1.5610773681298986;89.57407256014
-8.733246359087826 1.540128883585644;88.18482662874
-8.754665806149218 1.5191974471861123;86.77394903055
-8.776081233653281 1.4982720462802281;85.33961041656
-8.797503358514959 1.4773418650377212;83.8798502396
-8.818942824208131 1.456396166948841;82.39255113545
-8.840410320804882 1.4354241750008487;80.87540910139
-8.86191671099529 1.4144149459627615;79.3258982957
-8.8834731661428 1.3933572347279406;77.74122893691
-8.905091317219428 1.3722393438948624;76.1182963152
-8.926783426595506 1.3510489526325076;74.45361827173
-8.948562588327402 1.3297729172206416;72.74325756784
-8.970442966983876 1.3083970332698087;70.98272423320
-8.992440088547065 1.2869057461556632;69.16685102239
-9.014571202024236 1.265281791108145;67.2896321966
-9.036855738077879 1.2435057367844604;65.34401140264
-9.059315902609423 1.2215553945595117;63.32159747806
-9.08197746142586 1.1994050376659218;61.2122758633
-9.10487080127986 1.1770243452685887;59.0036647999
-9.128032400919167 1.1543769384173845;56.68033367233
-9.151506928900037 1.1314182920108928;54.22264371915
-9.175350334261655 1.1080926581014632;51.604963498527
-9.199634578614495 1.084328354333567;48.79279539643
-9.22445522661108 1.0600302045435903;45.73788362009
-9.249944345972388 1.0350666873657741;42.369273811434
-9.27629411738397 1.009246405059787;38.57536892150
-9.303804539822101 0.982270508293296;34.162886644346
-9.332994288493865 0.9536220411138603;28.74239994575
-9.364920364802384 0.9222464051026393;21.273478179178
-9.402542169970195 0.8851836174290437;3.331068333918
-9.46989882517469 0.818011670859166;28.072749547602
-9.461639242128022 0.8263396238613495;26.25163050507
-9.452617435811048 0.8354428204559043;24.104632197270
-9.442601951046251 0.8455565487672934;21.469675939745
-9.431176802184762 0.8571033548919281;17.99668705048
-9.417415131357268 0.8710239967642227;12.596727642817
-9.39796686717863 0.8907166069754239;8.665578408707
-9.42481325065877 0.8636325135508142;15.70241856686
-9.409847530926848 0.8787378885790882;8.200056132588
-9.382645047946863 0.9062420170663713;16.10018986265
-9.396587276096128 0.8921674860202408;9.602367618382
-9.419400026074955 0.8692194997519312;13.433936457951
-9.403012608435528 0.8857164754985107;3.9429920411
-9.447367632199267 0.8415112415570742;22.592316760167
-9.43938962303206 0.8495312706225844;20.37457611490
-9.430353392863676 0.8586224520047974;17.525171098079
-9.419659758463068 0.8693911468056725;13.388162255178
-9.405538679367284 0.8836286109616877;3.1886596947885
-9.359385920711766 0.930545554042233;23.365452763901
-9.365780970384948 0.9241523187748837;21.67977914031
-9.372854394653933 0.9170859527948135;19.648561994831
-9.380853187854031 0.9091015562040854;17.06417812639
-9.390269236921641 0.8997113404262701;13.400042584322
-9.402453117044093 0.8875763220460995;5.93478299140
-9.428752192969235 0.8614981674767961;16.59351272024
-9.4191154307633 0.8710920178508845;12.69648933554
-9.406358969762495 0.8838120648294894;3.1425362426433
-9.363915029803735 0.9267587430094147;22.3513146772
-9.369978019558895 0.92073177534185;20.686458457033
-9.37670421023941 0.9140497997211636;18.667417608918
-9.384347406811223 0.9064622831234139;16.069319541405
