Point;Valeur
-8.331236178483298 0.6654331185434956;16.946496873169
-8.282028864603145 0.9610282285651892;52.46793827822
-8.297828634727548 0.8657093837571836;42.10856281684
-8.317551822014945 0.7469374279176919;23.49463204523
-8.352986230172238 0.534066856741545;40.47100423128
-8.33234798988919 0.6576812831183063;19.147527815272
-8.28879878510762 0.9192180017703664;48.20177230672
-8.306010526874491 0.8154617087713576;35.45189439531
-8.32945977194996 0.6743861816474692;13.949694772066
-8.269675012495451 1.0337100531698504;59.164137911328
-8.283666364702537 0.9491807158321373;51.29965853842
-8.299829022403426 0.8516908264190968;40.36786395679
-8.320407523368555 0.7277967573809527;18.8595515172
-8.364569148641902 0.46262936780985564;48.702163597695
-8.347398235224585 0.5653395320629948;36.27270354800
-8.32438426012413 0.7032733029926583;10.175284540306
-8.40630552934018 0.21226267231705487;70.32931079414
-8.394360012862613 0.2833764958337235;64.9218577139
-8.381436818176432 0.360415784331368;58.502854800054
-8.367116220075367 0.44591159983655126;50.43207425189
-8.350529809823634 0.5450967223284828;39.03146089681
-8.329135949492844 0.6732737260513653;14.324514412172
-8.270920522179676 1.0231611329511723;58.247855802258
-8.285134007328136 0.9373019040564388;50.10381842969
-8.301685229252737 0.8374848898456819;38.52738607857
-8.323251490058507 0.707671721283488;12.226013004735
-8.39141376949334 0.2988305331759542;63.68143886788
-8.378243208580813 0.377371029606389;56.98801436377
-8.36354715784401 0.4651405130234374;48.425939778713
-8.346280314659026 0.568436885304545;35.81696535129
-8.32297634185052 0.7081272724876251;12.42963478010
-8.390019053119339 0.30597082487011074;63.099645385707
-8.376729138822604 0.3852357758323941;56.27102226644
-8.361848335616905 0.4741241193171484;47.459079222554
-8.344232960022872 0.5795261247034298;34.183224497570
-8.319820088337572 0.7258989410909842;18.3756901281
-8.365141892404061 0.4537530061112869;49.61503633481
-8.348286054819546 0.5545723715761306;37.7479932508
-8.326170016572568 0.6871110061556771;7.852595172597
-8.219851212215644 1.327822757137572;80.77442459879
-8.230039633619896 1.2659107039549764;76.73635315320
-8.240777053502967 1.200740273956232;72.24197935049
-8.252196858819673 1.1315148974364928;67.1388134970
-8.264501118502267 1.0570270681421943;61.17348965778
-8.278024660283933 0.9752745856865528;53.87050776108
-8.29340578585628 0.882437745987009;44.13417721410
-8.312213886780086 0.7691175900889289;27.979101144185
-8.341948712377757 0.5903620500788773;32.500273825141
-8.316277431631164 0.7443219195430371;22.97706726470
-8.35250471504557 0.5266572404052536;41.36694166645
-8.332315042847952 0.6475925445222228;21.62273970481
-8.293757124014775 0.8791331350393148;43.75138107188
-8.31273055496672 0.7648213817925051;27.1842223991
-8.343336886878156 0.5808392273801997;33.968514542733
-8.318772188347076 0.7281381352788583;19.02166114957
-8.362548726506084 0.46522923348947787;48.39953052207
-8.345274512766657 0.5685820219884161;35.77323123785
-8.321944829234575 0.708443371050532;12.624600998672
-8.387943376739976 0.31248588541869937;62.55331393907
-8.37454058528602 0.3924434177392908;55.593757453373
-8.359482250650835 0.48241515969364857;46.53460326123
-8.341521662653001 0.5899123970930629;32.55847154367
-8.315897622819811 0.7435968156353465;22.83246788413
-8.352352746813722 0.5245539183683587;41.617443492988
-8.33228507818879 0.6447607991903834;22.26728321999
-8.294844699007577 0.8695873649621686;42.62490049608
-8.314322016453865 0.7522542497963767;24.70992136556
-8.348000195688407 0.5498511971957751;38.36229883696
-8.326239384317468 0.680265823007272;11.417088408794
-8.253191473576877 1.1196957158467211;66.24012439347
-8.265664072142712 1.0441971587498853;60.09938170808
-8.279431127780356 0.960983374552232;52.504687677825
-8.295214901655527 0.8657312084780142;42.16266515949
