Point;Valeur
-8.851349416781481 -2.463034465637134;180.1919052703
-8.846446945413383 -2.4352842886871264;179.39605337607
-8.841525411069306 -2.4074109866533724;178.59312641801
-8.836584458365046 -2.379412352811824;177.78296485049
-8.831623720519865 -2.3512861103252027;176.9654032979
-8.826642818831822 -2.323029909021398;176.14027025833
-8.821641362118434 -2.294641321972063;175.3073877865
-8.816618946123235 -2.2661178418637298;174.46657115736
-8.811575152886796 -2.2374568771424044;173.61762850516
-8.806509550077116 -2.208655747913452;172.76036043913
-8.801421690274815 -2.179711681578295;171.89455963160
-8.796311110216259 -2.1506218081891695;171.02001037745
-8.791177329982126 -2.1213831554938003;170.13648812176
-8.786019852132249 -2.091992643649531;169.2437589531
-8.780838160784462 -2.0624470795753616;168.34157905963
-8.775631720624965 -2.0327431509140417;167.42969414344
-8.770399975852165 -2.00287741956812;166.50783879140
-8.765142349041803 -1.9728463147738586;165.5757357961
-8.759858239933344 -1.942646125670945;164.6330954237
-8.754547024122864 -1.9122729933228135;163.67961462299
-8.749208051656744 -1.8817229021344253;162.71497616892
-8.743840645521338 -1.8509916706154974;161.7388477364
-8.738444100012423 -1.82007494142182;160.75088089467
-8.733017678971628 -1.7889681706033236;159.750710014
-8.727560613886446 -1.7576666159869894;158.73795108066
-8.722072101826818 -1.7261653245985378;157.71220039691
-8.716551303213457 -1.6944591190288185;156.6730331733
-8.710997339389216 -1.6625425826323528;155.62000198170
-8.705409289981837 -1.6304100434304138;154.5526350646
-8.699786190029378 -1.5980555565802326;153.47043448018
-8.694127026844448 -1.5654728852477553;152.37287406293
-8.688430736580862 -1.5326554796992133;151.25939717891
-8.68269620048283 -1.4995964544071518;150.1294142481
-8.67692224076125 -1.466288562932744;148.9823000052
-8.671107616059594 -1.4327241703087004;147.81739046373
-8.665251016463053 -1.3988952226152498;146.6339795440
-8.659351057981034 -1.3647932133871001;145.4313153191
-8.653406276443313 -1.3304091464352843;144.20859582334
-8.647415120724297 -1.2957334946012913;142.96496436210
-8.641375945209283 -1.2607561538852798;141.69950424758
-8.635287001386466 -1.225466392286433;140.4112328731
-8.629146428447307 -1.1898527925943205;139.0990950229
-8.62295224273668 -1.1539031882183628;137.76195529405
-8.61670232588397 -1.1176045909912893;136.39858948274
-8.610394411400812 -1.080943109669318;135.0076747595
-8.604026069497642 -1.043903857613612;133.58777841869
-8.597594689816667 -1.006470847829474;132.13734494434
-8.591097461717986 -0.9686268731654315;130.65468107597
-8.584531351682351 -0.9303533690073897;129.13793848666
-8.577893077291087 -0.8916302552104418;127.5850935936
-8.571179077122956 -0.852435753272244;125.99392390458
-8.564385475751827 -0.812746173797604;124.36198015029
-8.557508042829362 -0.7725356680943043;122.68655325870
-8.550542144970471 -0.7317759361529688;120.96463496218
-8.543482688824064 -0.6904358812002278;119.19287048672
-8.536324053256713 -0.6484811982855212;117.3675013051
-8.529060007972781 -0.6058738807008814;115.484295304
-8.521683615079517 -0.5625716230968982;113.53846084617
-8.514187108980899 -0.5185270933730926;111.52453997943
