Point;Valeur
-9.225789912364903 -0.6466193236540123;122.39120988656
-9.197675618252303 -0.618505029534801;121.02361716958
-9.176251510508141 -0.5970536302732861;119.97029599150
-9.157499757350365 -0.5782644568117785;119.0404574504
-9.140167318401243 -0.5608887077218012;118.17438414511
-9.123687584444054 -0.5443615604493054;117.34496008974
-9.10775551313886 -0.5283789646992579;116.53750561528
-9.09218955005822 -0.5127600177882873;115.74321852685
-9.076874571655601 -0.4973900709301792;114.95646222684
-9.061734436438284 -0.4821933500418311;114.17346019349
-9.046717305849478 -0.467118310441773;113.39159712995
-9.031787161768296 -0.45212917287985543;112.60901455245
-9.016918611179715 -0.43720073966981554;111.82436260990
-9.002093560584632 -0.42231507706421406;111.03664080829
-8.98729901470165 -0.40745932003315577;110.24509223548
-8.9725255819306 -0.3926241826670803;109.44913145655
-8.957766440095355 -0.37780292807400423;108.6482943704
-8.943016610402008 -0.36299064587982344;107.8422028002
-8.928272442305108 -0.34818374011303876;107.0305391850
-8.91353124509753 -0.3333795633620147;106.2130283159
-8.89879102288451 -0.3185761539057355;105.38942404380
-8.884050283083145 -0.30377204601052943;104.55949952866
-8.869307897583694 -0.28896613257618253;103.72304002763
-8.854563001828401 -0.2741575654271983;102.87983750885
-8.839814921289326 -0.2593456827736166;102.02968658090
-8.825063117799447 -0.2445299563316709;101.17238136878
-8.810307150292052 -0.22970995269537148;100.30771306856
-8.795546646012326 -0.21488530504724437;99.43546798440
-8.780781279337596 -0.20005569237470058;98.55542590370
-8.766010756129619 -0.18522082413187974;97.66735870343
-8.751234802101205 -0.1703804288490883;96.77102910771
-8.736453154092475 -0.15553424559730492;95.86618953578
-8.721665553445437 -0.14068201751034376;94.95258099391
-8.70687174088702 -0.1258234867811588;94.02993197415
-8.692071452482654 -0.11095839070415903;93.09795732991
-8.677264416340996 -0.09608645844802169;92.1563571029
-8.66245034982949 -0.08120740832506794;91.20481527884
-8.647628957123885 -0.0663209453819142;90.24299845027
-8.63279992695398 -0.05142675917862104;89.27055436656
-8.617962930442664 -0.036524521653335806;88.28711034893
-8.603117618952023 -0.021613884989866196;87.29227154820
-8.588263621868386 -0.006694479420414477;86.28561902032
-8.573400544265336 0.008234089096506738;85.26670759170
-8.558527964388517 0.023172241377312514;84.2350634826
-8.543645430910713 0.03812042774700209;83.19018165245
-8.528752459898577 0.05307913106018412;82.13152282273
-8.513848531434434 0.06804887006783489;81.05851013036
-8.498933085826247 0.08303020319503833;79.97052534939
-8.484005519333083 0.09802373280406926;78.86690461267
-8.469065179315429 0.11303011002880659;77.74693354879
-8.454111358713671 0.12805004028348532;76.6098417334
-8.43914328972682 0.14308428956645697;75.45479633307
-8.424160136547021 0.1581336917067649;74.28089479217
-8.409160986971955 0.17319915673159494;73.08715638251
-8.394144842673732 0.18828168057325462;71.87251239008
-8.379110607854246 0.20338235638548918;70.63579466168
-8.364057075953006 0.218502387804142;69.37572216375
-8.348982913984653 0.2336431045718743;68.09088511534
-8.333886643976259 0.24880598105719928;66.77972613879
-8.318766620827537 0.26399265834218516;65.4405177146
-8.303621005725075 0.27920497074660083;64.07133501631
-8.288447733982258 0.2944449779134848;62.6700229153
-8.273244475827582 0.3097150039328114;61.23415555482
-8.258008588174139 0.3250176854620358;59.76098634277
-8.242737054736986 0.3403560314754164;58.24738544556
-8.22742641090379 0.35573349822803296;56.689760747908
-8.212072648387732 0.37115408439391595;55.08395661974
-8.196671092675714 0.3866224533529764;53.42512239361
-8.181216243258195 0.4021440926203473;51.707538730103
-8.16570156198924 0.41772552503749744;49.924384197567
-8.150119187644696 0.43337459361728;48.06741493646
-8.134459542944082 0.4491008537082324;46.126514479755
-8.118710780565154 0.46491612584429565;44.08904338176
-8.102857980355257 0.4808352969019337;41.93886855701
-8.086881947536154 0.4968775194728786;39.654857093012
-8.070757342048921 0.5130680787716575;37.2084255128
-8.054449624710706 0.5294414403792195;34.55930888948
-8.037909765610602 0.5460465312691851;31.647678498693
-8.02106434195708 0.5629566220191601;28.377876344068
-8.003794989549565 0.5802898332268469;24.579585239506
-7.985888985490611 0.5982584479533555;19.891170507850
-7.966889539694209 0.6173182804987736;13.209345047319
-7.945396988193063 0.6388656413717365;8.72244718553
-7.967977297927329 0.6162773134556941;13.661914249406
-7.953513012368978 0.6307595860263262;4.291420679645
-7.9285819778035975 0.6557624861061432;16.49444002431
-7.935833245703174 0.6485572967491131;13.725678593080
-7.945406699720476 0.6390479813427501;8.82571776728
-7.960206706062387 0.624348949908982;9.664026981914
-7.946423904251864 0.6380950488952843;8.168247240035
-7.96216210160597 0.6224278874499419;10.759263736674
-7.9496479487136895 0.634929112592536;5.461172144550
-7.969746384345316 0.6149143357784861;14.252041196406
-7.961172671600505 0.6235004298725624;10.170399700777
-7.948626144244997 0.6360819224929023;6.559127263725
-7.966274615454446 0.6184630497585933;12.729492508914
-7.956330338098392 0.6284292574081091;6.804732593276
-7.939136399068218 0.6456951061716762;12.428766654658
