Point;Valeur
-9.296666345274526 -2.9145305031487516;194.39866264455
-9.273353725174657 -2.891217882946398;193.68660909041
-9.2566668443762 -2.8745106041407853;193.17496204222
-9.242879034638415 -2.860695713429366;192.75102354770
-9.230797656471836 -2.8485838263193175;192.3786898392
-9.219865822956676 -2.8376193195970347;192.04109474503
-9.209771393900201 -2.827490672910383;191.72878180077
-9.200319057075085 -2.818002923915805;191.43583259711
-9.191377201329681 -2.809024678641408;191.1582582711
-9.182852269888306 -2.8004625247837147;190.89322282731
-9.17467501162356 -2.7922473125675276;190.63862670219
-9.16679251550598 -2.7843262051572184;190.39286546399
-9.159163310121262 -2.7766577873922604;190.15468134659
-9.151754200956391 -2.7692089086962923;189.9230674230
-9.144538147738086 -2.7619525640048206;189.69720328678
-9.1374927925702 -2.754866424280168;189.47641045056
-9.130599410763583 -2.7479317889617083;189.2601205516
-9.123842145031984 -2.7411328213024477;189.04785214388
-9.11720743491295 -2.734455978607707;188.8391934053
-9.110683583921118 -2.7278895799857295;188.6337890196
-9.10426042591378 -2.721423473161788;188.43133006391
-9.097929064266278 -2.715048773989504;188.23154610346
-9.091681665355944 -2.708757660197239;188.03419893225
-9.085511293174076 -2.702543206198315;187.83907755974
-9.079411775483909 -2.6963992494118534;187.6459941541
-9.073377594494385 -2.6903202810585194;187.45478072843
-9.067403796773538 -2.684301356176035;187.26528640958
-9.061485918430526 -2.6783380188830517;187.0773751707
-9.05561992252539 -2.6724262398531775;186.89092393365
-9.049802146348247 -2.666562363649439;186.7058209709
-9.0440292567378 -2.6607430640865233;186.5219645510
-9.038298211990057 -2.6549653061760656;186.33926178394
-9.032606229211002 -2.6492263135082004;186.1576276312
-9.02695075618751 -2.643523540149918;185.97698405328
-9.021329447042136 -2.637854646319939;185.7972592713
-9.015740141066624 -2.632217477238964;185.61838712581
-9.010180844239217 -2.6266100446627876;185.44030651559
-9.004649713024232 -2.621030510694062;185.26296090
-8.999145040119183 -2.615477173539244;185.08629790267
-8.993665241868849 -2.6099484549320393;184.91026885747
-8.988208847115947 -2.604442888991414;184.73482854292
-8.982774487292223 -2.598959112319053;184.55993484545
-8.977360887586869 -2.5934958551722094;184.38554849882
-8.97196685904922 -2.5880519335721113;184.21163284465
-8.966591291512746 -2.582626242230354;184.03815361773
-8.961233147231548 -2.577217748190788;183.86507875312
-8.955891455152793 -2.5718254851016216;183.69237821227
-8.950565305738674 -2.566448548042457;183.52002382607
-8.945253846283814 -2.561086088841805;183.34798915270
-8.93995627666604 -2.555737311829926;183.17624934872
-8.934671845483638 -2.5504014699781865;183.00478105189
-8.92939984653829 -2.545077861382843;182.83356227438
-8.924139615627007 -2.539765826057092;182.6625723054
-8.918890527606592 -2.534464742997537;182.49179162233
-8.91365199370821 -2.529174027499177;182.3212018086
-8.90842345907198 -2.5238931286913937;182.1507854796
-8.903204400485134 -2.518621527275237;181.9805262135
-8.897994324298264 -2.513358733440677;181.8104084878
-8.892792764504806 -2.5081042849478856;181.64041762180
-8.887599280970981 -2.5028577453565433;181.470539721
-8.882413457798915 -2.4976187023896723;181.3007616320
-8.877234901812507 -2.492386766419926;181.13107088853
-8.872063241153961 -2.4871615690670774;180.9614556763
-8.866898123983788 -2.4819427618975527;180.79190479007
-8.861739217271667 -2.4767300152166394;180.62240759705
-8.85658620567327 -2.4715230169455924;180.4529540032
-8.851438790485538 -2.466321471577306;180.2835344215
-8.846296688672293 -2.461125099202734;180.1141397417
-8.841159631956703 -2.4559336346036913;179.94476130354
-8.836027365974426 -2.450746826405901;179.77539087012
-8.830899649480124 -2.445564436287769;179.60602060440
-8.825776253608236 -2.4403862382409343;179.4366430463
-8.82065696118025 -2.4352120178777694;179.26725109195
-8.815541566056346 -2.4300415717837125;179.0978379733
-8.810429872525615 -2.42487470690929;178.92839724029
-8.805321694736167 -2.419711240000638;178.75892274288
-8.800216856161466 -2.4145509970648757;178.5894086150
-8.795115189094714 -2.4093938128677888;178.41984925947
-8.7900165341779 -2.4042395304619117;178.2502393327
-8.784920739956194 -2.399088000742695;178.08057373209
-8.7798276624601 -2.3939390820309088;177.91084758263
-8.77473716481126 -2.3887926396795884;177.74105622514
-8.769649116851149 -2.3836485457036236;177.5711952048
-8.764563394790883 -2.3785066784306728;177.40126026052
-8.759479880881859 -2.3733669221721936;177.23124731477
-8.754398463103648 -2.368229166912787;177.06115246413
-8.749319034870561 -2.3630933080171634;176.89097197024
-8.744241494753458 -2.357959245953655;176.7207022513
-8.739165746218353 -2.352826886032493;176.55033987410
-8.734091697377725 -2.347696138159005;176.37988154630
-8.729019260755418 -2.3425669165999254;176.20932410932
-8.72394835306623 -2.337439139762602;176.03866453153
-8.718878895004053 -2.332312729985926;175.86789990180
-8.713810811045539 -2.327187613342811;175.69702742338
-8.708744029259774 -2.3220637194526144;175.52604440813
-8.703678481131378 -2.3169409813041666;175.3549482710
-8.69861410139097 -2.3118193350875806;175.18373652509
-8.693550827854521 -2.3066987200351012;175.0124067761
-8.688488601273034 -2.301579078270425;174.84095671866
-8.683427365187523 -2.296460354665571;174.66938413068
-8.678367065792038 -2.291342496705303;174.4976868701
-8.673307651805127 -2.286225454358395;174.3258628707
-8.668249074346754 -2.281109179955732;174.15391013788
-8.663191286820696 -2.275993628074391;173.98182674544
-8.658134244804542 -2.2708787554278476;173.80961083213
-8.65307790594334 -2.2657645207613015;173.6372605982
-8.64802222985164 -2.260650884753182;173.46477430280
-8.642967178016326 -2.255537809920388;173.29215026016
-8.637912713707616 -2.250425260529363;173.11938683765
-8.632858801893402 -2.245313202511058;172.94648245272
-8.627805409156215 -2.2402016033801555;172.77343557043
-8.622752503617594 -2.235090432158607;172.6002447010
-8.617700054863459 -2.22997965930264;172.4269083978
-8.612648033873992 -2.224869256633382;172.25342525465
-8.607596412957509 -2.219759197271344;172.0797939042
-8.602545165686498 -2.214649455573414;171.90601301581
-8.597494266837872 -2.2095400070737594;171.73208129361
-8.592443692334781 -2.2044308284267613;171.5579974748
-8.587393419192903 -2.1993218973535495;171.3837603279
-8.582343425468256 -2.1942131925905226;171.20936865119
-8.577293690206997 -2.1891046938407457;171.03482127097
-8.572244193399294 -2.1839963817274217;170.86011704033
-8.567194915934621 -2.178888237750128;170.68525483763
-8.562145839558104 -2.1737802442424563;170.51023356515
-8.557096946830898 -2.1686723843322495;170.3350521478
-8.552048221090834 -2.163564641903563;170.1597095320
-8.54699964641577 -2.158457001560391;169.98420468460
-8.541951207588987 -2.1533494485924116;169.80853659121
-8.536902890065955 -2.148241968941978;169.63270425593
-8.531854679941079 -2.1431345491730105;169.45670669987
-8.52680656391901 -2.1380271764413123;169.28054296028
-8.521758529284895 -2.1329198384660515;169.10421208967
-8.516710563877128 -2.1278125235031;168.92771315491
-8.511662656061398 -2.1227052203192533;168.75104523642
-8.506614794705982 -2.1175979181677937;168.5742074273
-8.501566969156304 -2.112490606765059;168.3971988327
-8.496519169214515 -2.1073832762685663;168.22001856910
-8.49147138511651 -2.102275917255688;168.04266576323
-8.486423607512204 -2.0971685207036863;167.86513955198
-8.481375827444309 -2.092061077970484;167.6874390814
-8.476328036332724 -2.086953580776369;167.50956350629
-8.471280225953166 -2.0818460211866765;167.33151198938
-8.46623238842249 -2.0767383915952644;167.15328370103
-8.46118451618228 -2.0716306847086954;166.97487781857
-8.456136601981589 -2.0665228935310944;166.79629352580
-8.451088638865627 -2.061415011350152;166.6175300125
-8.44604062015878 -2.056307031723114;166.43858647423
-8.44099253945274 -2.051198948464047;166.25946211129
-8.435944390592779 -2.0460907556312637;166.08015612889
-8.43089616766655 -2.040982447515625;165.90066773649
-8.425847864992074 -2.0358740186292765;165.72099614742
-8.420799477106833 -2.0307654636948818;165.54114057853
-8.415750998756836 -2.0256567776356036;165.36110024983
-8.410702424887283 -2.0205479555649317;165.1808743841
-8.405653750632853 -2.0154389927778706;165.00046220692
-8.400604971307654 -2.010329884741823;164.81986294556
-8.395556082397794 -2.005220627088324;164.6390758295
-8.390507079552147 -2.000111215604767;164.45810008983
-8.385457958575985 -1.9950016462270308;164.276934958
-8.380408715420867 -1.989891915031963;164.09557966982
-8.375359346179577 -1.9847820182306368;163.91403345709
-8.370309847078357 -1.9796719521613007;163.7322955553
-8.365260214470558 -1.9745617132835753;163.5503651997
-8.360210444830882 -1.9694512981721188;163.368241625
-8.355160534748002 -1.9643407035107792;163.185924067
-8.350110480920225 -1.959229926087439;163.00341176009
-8.345060280150271 -1.9541189627885693;162.82070393822
-8.340009929338443 -1.9490078105942283;162.63779983505
-8.334959425479319 -1.9438964665733052;162.45469868314
-8.329908765656729 -1.9387849278792206;162.27139971397
-8.324857947038442 -1.9336731917452976;162.08790215775
-8.319806966872969 -1.9285612554807636;161.90420524328
-8.314755822483848 -1.923449116466859;161.72030819774
-8.309704511268206 -1.9183367721529565;161.53621024658
-8.304653030690584 -1.9132242200531406;161.35191061335
-8.299601378281588 -1.9081114577427762;161.1674085195
-8.29454955163261 -1.9029984828549786;160.98270318456
-8.289497548393458 -1.8978852930779715;160.7977938253
-8.284445366269043 -1.8927718861516845;160.61267965640
-8.279393003016216 -1.8876582598650986;160.42735988976
-8.27434045644235 -1.8825444120537234;160.24183373467
-8.269287724400808 -1.8774303405966217;160.05610039757
-8.264234804789016 -1.8723160434143826;159.87015908193
-8.259181695546888 -1.8672015184663977;159.6840089881
-8.254128394652675 -1.8620867637488492;159.49764931359
-8.249074900122205 -1.8569717772924912;159.31107925213
-8.244021210006292 -1.8518565571605854;159.12429799439
-8.238967322389334 -1.8467411014470312;158.93730472747
-8.233913235386128 -1.8416254082744137;158.75009863488
-8.228858947140951 -1.8365094757923273;158.56267889646
-8.223804455824046 -1.8313933021753468;158.37504468824
-8.218749759633294 -1.8262768856219358;158.18719518238
-8.21369485679 -1.8211602243524907;157.99912954708
-8.208639745536724 -1.816043316607969;157.81084694646
-8.203584424138928 -1.810926160648544;157.62234654052
-8.19852889088019 -1.8058087547520687;157.43362748498
-8.193473144062946 -1.8006910972130132;157.24468893127
-8.188417182006017 -1.7955731863408482;157.0555300264
-8.18336100304412 -1.7904550204593412;156.8661499128
-8.178304605526854 -1.785336597905109;156.67654772868
-8.173247987816186 -1.7802179170265067;156.48672260707
-8.168191148286922 -1.775098976182753;156.29667367662
-8.163134085325083 -1.7699797737428844;156.10640006107
-8.158076797326341 -1.7648603080846825;155.9159008792
-8.153019282695595 -1.7597405775937884;155.72517524511
-8.147961539846827 -1.7546205806630837;155.53422226744
-8.142903567200346 -1.749500315691417;155.3430410499
-8.137845363183313 -1.744379781083176;155.15163069123
-8.132786926228675 -1.739258975247155;154.95999028446
-8.127728254774405 -1.7341378965963024;154.76811891759
-8.122669347262534 -1.729016543546498;154.57601567310
-8.117610202137955 -1.7238949145160438;154.38367962798
-8.112550817849659 -1.718773007925228;154.19110985367
-8.107491192847197 -1.7136508221953601;153.9983054159
-8.102431325583069 -1.708528355748378;153.80526537494
-8.097371214508991 -1.7034056070060926;153.61198878489
-8.092310858077573 -1.6982825743897385;153.4184746942
