Point;Valeur
-9.598663971442036 0.918000399391504;5.785968890285
-9.588563971442039 0.9281003993915039;9.328710355362
-9.593875443253669 0.9228178867104108;4.896327084371
-9.601022197651673 0.9157139005211151;7.802946039528
-9.596912935035846 0.9198403920864905;3.4201496333580
-9.590028334032446 0.926795592615175;8.435682094673
-9.592703555280119 0.9241452377290231;6.285492178434
-9.596086179343597 0.9207980139698431;0.715977647131
-9.586417838859289 0.9212079955078596;4.709373005711
-9.587711059998052 0.9171408711422383;4.5879668634584
-9.586389094394132 0.9210761087462515;4.573107607176
-9.587698115161134 0.917474636805514;4.205211769552
-9.586281389327837 0.921210454875185;4.739690080386
-9.58752258187671 0.9181331441774117;3.279408582566
-9.585744215336753 0.9223257363782029;5.887011551443
-9.586723785653282 0.9201181669253967;3.268236775946
-9.588457812731534 0.9164658952431719;5.407204373714
-9.587409428608415 0.9186868506482658;2.2342489279475
-9.584927398051015 0.9236067440137605;7.0030161731262
-9.585707347946942 0.9221453289213016;5.737793872001
-9.5866548187258 0.9203927979634612;3.682844951067
-9.588113167847938 0.9177816238899443;3.9252377196774
-9.586748371528582 0.9202413907188843;3.444986086004
-9.588274735353165 0.9176321966941707;4.148905922708
-9.587008882109775 0.919822794740556;2.6788293037068
-9.588916952966992 0.9167418686563505;5.230404596254
-9.587936748261525 0.9183657113753997;3.036610552101
-9.586265032292772 0.9211108389567498;4.63670279784
-9.587344859347366 0.9194087143652571;1.5432816596175
-9.590390386368812 0.9151273843701448;6.807399161125
-9.589688515687778 0.9161891000325139;5.8625655809059
-9.58887584852421 0.917415278301941;4.531938625777
-9.587829100905365 0.9189903423443304;1.6604016893908
-9.58503612956783 0.923275816708718;6.747027850203
-9.585707637103203 0.9223391162277623;5.904318503707
-9.586472650168758 0.921276329584595;4.770424039675
-9.587414904211407 0.9199764967444626;2.817044778890
-9.58898603293524 0.9178640482909474;4.032115982918
-9.587885452519405 0.9193909064594369;1.0785137790333
-9.591568758514857 0.9150830346008793;7.0032827610252
-9.590981028064146 0.9158670186826438;6.33034668485
-9.590332015380978 0.9167322149257742;5.492690968586
-9.589585745117514 0.9177266947263757;4.334061305425
-9.588643058875054 0.9189840055032872;2.0939738562251
-9.586709634899593 0.9216253743922296;5.078931573019
-9.587493075352558 0.9206186989705467;3.7703755537657
-9.588541502817346 0.9192843429514119;1.0854959288806
-9.584962012526605 0.9249529085313498;7.902213886563
-9.585430119864832 0.9244200263088475;7.497689907470
-9.585922889277667 0.9238594894990753;7.047089803508
-9.58644644587606 0.9232644714241975;6.534768604164
-9.587010133670738 0.9226245820501143;5.9345169172820
-9.587629591670956 0.9219224897734194;5.196500715215
-9.588335115684284 0.9211247985698745;4.203039919434
-9.58920357623765 0.9201476466917196;2.492871565767
-9.590646719794316 0.9185585492516096;3.534668255712
-9.589622845563412 0.9197384445515479;1.1433199495839
-9.59254420953382 0.9167979192132746;5.810213468862
-9.591950607471974 0.9174737937161129;5.084799779328
-9.591273518305993 0.9182457053159352;4.102345082039
-9.590436212148196 0.9192035100723441;2.372971574879
-9.588994250718853 0.9208914439204979;3.750223399752
-9.58989151627971 0.919896326440681;1.5407646802454
-9.5919963911514 0.9176991821740862;4.86696550104
-9.591318061577038 0.9184665097423754;3.8346374860165
-9.590459020534208 0.9194426361514552;1.8107666416585
-9.588646200217802 0.9216101292945397;4.682542510448
-9.589332639233813 0.9208537596841624;3.6107048289516
-9.590218387069626 0.9198843925441416;1.2749456719248
-9.592601486603394 0.9174879951186221;5.192559013766
-9.592000817565685 0.9181597446755666;4.368770320176
-9.591288068800354 0.9189589436667852;3.117163604615
-9.590291251173669 0.920087540308829;1.8767355615318
-9.591897384763582 0.9183995635280903;4.060422814333
-9.591145705648064 0.919240999333051;2.572668182864
-9.58996167745503 0.9205908138946003;3.0325721827299
-9.590948582547163 0.9195255585593212;1.8409045257534
-9.589310889612946 0.9214506454293516;4.365083906472
-9.589987426814174 0.9207166562176351;3.2260060106011
-9.590897583219064 0.9197380419218691;1.0770430086657
-9.58813617536454 0.9237836412034257;6.682507688072
-9.588559586701217 0.9233437436656571;6.2802550880715
-9.589009641839212 0.9228764940438661;5.822558950374
-9.589494463953427 0.9223736262694221;5.285757758338
-9.59002767910165 0.9218213298386077;4.624728445850
-9.590635780857253 0.9211929224738372;3.7323313803769
-9.591386497005432 0.9204210305103369;2.1814266250670
-9.592653559204283 0.91915045290475;3.2283100630403
-9.591788438046626 0.9200705012584915;0.6856014186643
-9.595281220467339 0.9171428344262349;5.963394947657
-9.594843782769244 0.9176103143775194;5.481238595620
-9.594368265631005 0.9181189747828777;4.903086203550
-9.593837175773867 0.9186879797095662;4.162351953653
-9.593212220717255 0.9193596751177833;3.065982310636
-9.592364522061795 0.9202799920303046;1.209981778958
-9.59439699104538 0.9183397721379405;4.678202026810
-9.593855371473522 0.9189209734278715;3.876574144317
-9.593202372580718 0.9196246132953606;2.5938639480115
-9.592226655779195 0.9206945920453316;2.4257917688360
-9.593248913650223 0.9196437251327491;2.574129883186
-9.592275195761392 0.9207107583253491;2.439901570846
-9.593281858568579 0.9196768315353814;2.521479829409
-9.592297125568447 0.9207562071737908;2.523135825009
-9.593261956545765 0.9197645516267723;2.332582019234
-9.592206626269581 0.9209270035128972;2.8723943430559
-9.59304782882803 0.9200580248655698;1.4450469547487
-9.59134741758562 0.9220865142168723;4.637725882322
-9.59186182797704 0.921550934540246;3.8935559866194
-9.59247299634245 0.9209171174569077;2.764031069169
-9.593328594056484 0.9200406861200568;1.6739440010499
-9.591894869804657 0.9216786191618612;4.0465397437467
-9.592474045353521 0.9210794851527359;3.0436509617233
-9.593240422427225 0.9202938267068843;0.3005691646191
-9.593871701301431 0.9172189149695277;5.665180642969
-9.59345860418834 0.917634236955289;5.210064787242
-9.593009731097489 0.9180860747787801;4.664844763729
-9.59250876507721 0.9185913273476659;3.9675541076585
-9.591920190408866 0.9191871662897887;2.94034219985
-9.591126192294102 0.9200001759771052;1.0197639420949
-9.593261990432758 0.9181353475667244;4.66390493530
-9.59277515360497 0.9186289510641633;3.9845250016634
-9.592205685334166 0.919208423224681;2.9968623872556
-9.591448668329287 0.9199868871058648;0.5333447494988
-9.594927308354087 0.9173558055106016;5.722874920217
-9.594556996626265 0.9177405098236336;5.309457139976
-9.594158058504302 0.9181553683528162;4.824141575143
-9.593719224173695 0.9186124138740757;4.2255218549640
-9.593218480772046 0.9191353431276473;3.414441798520
-9.592598944490707 0.9197864102397681;1.986836877551
