Point;Valeur
-9.720937174495466 2.561682075709294;127.15293338100
-12.806091354273589 -13.249890635622037;385.90175000573
-13.568621435129069 -19.21471518255904;458.90157140366
-12.916225033721085 -18.9517750919885;454.12236615462
-11.390201161839773 -14.3418241055392;395.47807144560
-9.24474078359973 -5.7779690297345585;257.54631377762
-4.7562144512679465 19.513881758365955;439.22969135686
-2.0672398802762206 32.05188167902281;565.845594462
-0.4037323760198508 36.76559765699165;606.428937688
0.6794911656865243 36.54944550811845;604.6299824377
1.4472866413687253 33.09000317260191;575.1714855736
2.065519272824161 27.30575088586722;522.2613181103
2.652947073213609 19.54086421495002;441.380231248
3.336005379528726 9.403205738796832;304.9598093634
4.6506991105273405 -8.777986095900783;300.05109378609
4.988659437615723 -15.787157641615025;400.5999442977
4.736191608970623 -15.763989389777628;400.0011414323
4.113901191205382 -10.730464862085494;330.2881773477
3.1806292871796735 -0.3402181293866722;66.56840434028
3.0097345161795683 -1.904173625469694;141.3660220969
2.2231579938802617 8.742213258381826;294.95759146277
1.900960786676445 10.331064325372715;320.9761087384
1.8968708727554393 5.366374281386654;230.99540947970
2.4015394800539145 -11.250374343178041;336.3984310425
2.4813157632383964 -17.405723782709202;418.06372091662
2.3077409067642347 -16.937314171207785;412.31927889733
1.9787522694148196 -11.735034644756318;343.2551726142
1.5240190828256028 -1.5833374694152962;126.86553845728
1.4608948306432854 -4.3620567282303995;209.48029059867
1.1869936444368723 1.9882350726545042;140.6161593206
1.1772088562770369 -2.2217545785499366;149.6314291729
0.954537845686293 4.203115808911442;204.90223040218
0.9242689261184135 1.2586678273630048;111.91823592706
0.43318449170280987 25.25801534941107;502.6591931423
0.1281315430252914 37.19733768166488;609.9961370466
-0.0715768494245583 41.70852172903634;645.9202384950
-0.21304812497641254 41.54197716538577;644.6250083604
-0.3248556515082157 38.322467822527365;619.1396619964
-0.42549277195860585 32.9693783174559;574.2696549329
-0.5288265548759224 25.917018353359204;509.1548435274
-0.6492109765643204 17.15473619011813;414.22538834858
-0.8141493049279298 5.766010688237692;240.07898935630
-0.6114972031193173 15.512413893501453;393.90443091529
-0.5297582988934938 17.332877979749384;416.38872761070
-0.5269755771870015 13.813356549580046;371.7206108955
-0.5910766252164776 5.711900221429971;239.01680698283
-0.9590008678990785 -25.01023958767574;500.2847363717
