Point;Valeur
2.582291910033801 9.247618646473612;-1.2802659030642
2.2674937404871978 8.93281739541412;-1.484039561382
2.029894842924384 8.757430415599826;-1.559866279924
1.8642610904898143 8.619579840174817;-1.602973895865
1.750023098059648 8.504021225171316;-1.630477765922
1.671891125894762 8.40427981217105;-1.6494065273049
1.6188906689322022 8.316757232529495;-1.6631792487364
1.58318770858366 8.239160587819109;-1.673612214509
1.5592594984598154 8.169898865817512;-1.6817376870805
1.5432712740900956 8.107799446976925;-1.6881824617512
1.532597522456357 8.051957084667544;-1.6933533724120
1.5254614718156592 8.001646466500553;-1.6975313676403
1.5206716707147037 7.956268572018893;-1.7009208103639
1.5174347301277862 7.915316332432145;-1.70367639367
1.515225084178736 7.878351905601454;-1.7059186077470
1.5136958964954024 7.844991223475983;-1.7077431630093
1.5126188652597632 7.814893235770941;-1.7092270876455
1.5118439306920428 7.787752261170174;-1.7104329019171
1.5112724941992715 7.76329243346811;-1.7114116187274
1.5108397138133025 7.741263579825023;-1.7122049879721
1.5105028496257122 7.721438087951865;-1.7128472282719
1.5102336153563876 7.703608460315648;-1.7133663950353
1.510013173137008 7.6875853487680965;-1.7137854801218
1.5098288637859172 7.6731959262034755;-1.714123306772
1.509672074126601 7.6602824968784695;-1.7143952640795
1.5095368477922675 7.648701277896055;-1.7146139129952
1.5094189803976712 7.638321305979518;-1.714789487846
1.509315430727403 7.62902343909946;-1.7149303118618
1.509223936910335 7.620699433098479;-1.7150431414111
1.5091427663049382 7.613251080543766;-1.7151334508803
1.5090705517144483 7.606589404042281;-1.7152056680090
1.5090061840815208 7.600633899187928;-1.7152633678862
1.5089487413486924 7.5953118243197135;-1.7153094324786
1.5088974411561968 7.590557535282743;-1.7153461814836
1.5088516086074082 7.586311863744837;-1.7153754793860
1.508810654386156 7.582521538235867;-1.7153988228209
1.5087740591719419 7.579138646399636;-1.7154174116951
1.508741362192398 7.5761201374734926;-1.7154322069478
1.5087121531241077 7.573427363329908;-1.7154439773593
1.5086860650014413 7.571025656345993;-1.715453337406
1.508662769610366 7.568883942637402;-1.715460777816
1.50864197268942 7.56697438825176;-1.7154666901913
1.5086234104630172 7.565272076695478;-1.7154713868086
1.5086068464201827 7.563754715451512;-1.7154751165360
1.508592068421989 7.562402369689887;-1.7154780775925
1.5085788864926875 7.561197221023242;-1.7154804277746
1.5085671303128207 7.560123349215834;-1.715482292641
1.5085566474310907 7.559166535256062;-1.71548377205
1.5085473013140698 7.558314083732735;-1.7154849454208
1.5085389698254121 7.557554662902945;-1.7154858758366
1.5085315437708076 7.55687816094403;-1.7154866134431
1.5085249254648458 7.5562755567443265;-1.715487198065
1.5085190276747933 7.5557388039483;-1.7154876613273
1.5085137724022095 7.555260727007332;-1.7154880283365
1.508509090037091 7.55483492805554;-1.7154883190206
1.508504918446275 7.554455703456849;-1.7154885491932
1.508501202149498 7.554117969166395;-1.7154887314010
1.5084978916619927 7.553817194018163;-1.7154888755967
1.5084949427801142 7.553549339960341;-1.7154889896737
1.5084923161693677 7.55331080882921;-1.715489079891
1.5084899767245383 7.553098394639007;-1.7154891512126
1.5084878930963623 7.552909241072793;-1.7154892075711
1.5084860374066535 7.552740803545521;-1.7154892520848
1.5084843847355303 7.552590815285412;-1.7154892872245
1.5084829129198125 7.5524572571521675;-1.7154893149478
1.5084816022199388 7.5523383306122644;-1.7154893368053
1.5084804350131786 7.5522324337770845;-1.7154893540251
1.5084793955744997 7.55213813990604;-1.7154893675797
PointOptimal;ValeurOptimale
[1.5084794  7.55213814];-1.7154893675797256
Temps;Nb iteration
0.007938623428344727;67
