Point;Valeur
4.446377240722255 1.8508387113306224;-1.875360175788
4.438400899304142 1.8253606544140968;-1.8772771954303
4.4322059753244405 1.7903052681076186;-1.879671398153
4.427527253501254 1.750273291371278;-1.8820880010297
4.424100622783702 1.7087161611682402;-1.884248499129
4.421678755326699 1.6681095503036913;-1.8860219133436
4.4200403845940155 1.6301294875987395;-1.8873809895293
4.4189948257799 1.5958167535236163;-1.8883608190802
4.418383081347745 1.5657220161762828;-1.889026625811
4.418076618647337 1.5400292477303619;-1.8894517929699
4.417974682179954 1.5186579621946306;-1.8897047282687
4.418000804059663 1.501346225727237;-1.889842389979
4.418099002856909 1.4877168356302959;-1.8899083218495
4.418230014598477 1.4773290323835466;-1.8899333964017
4.418367780635268 1.4697179031060306;-1.8899379134219
4.418496324325407 1.4644234051911311;-1.889934132070
4.418607079073783 1.4610107389913756;-1.8899286793312
4.418696680804607 1.459083631072893;-1.8899245547501
4.418765204687598 1.4582919400414378;-1.8899226415868
4.418814805206903 1.4583348505555922;-1.8899227492356
PointOptimal;ValeurOptimale
[4.41881481 1.45833485];-1.8899227492356543
Temps;Nb iteration
0.0029931068420410156;19
