Point;Valeur
-1.3272083714517908 -1.040430050077255;-2.050749007481
-1.3072083714517897 -1.060430050077256;-2.0522437229847
-1.3257828689614537 -1.0857507757350415;-2.054073383184
-1.3437517842991682 -1.1134806169400457;-2.0558042837788
-1.3456619026706678 -1.1420330389824291;-2.0573842900661
-1.3380148414056874 -1.1703681847532152;-2.0587520842683
-1.3302987615196225 -1.1977512575549596;-2.0598523686734
-1.3299171084151806 -1.2236550047984074;-2.0607176057660
-1.336468311681968 -1.2477141014247173;-2.0613833760347
-1.3452050507131739 -1.269690395537148;-2.061861819478
-1.3510530602188726 -1.2894421344817744;-2.0621848585243
-1.3516946915728472 -1.306899489149732;-2.0623966962161
-1.3487420157805332 -1.322049703766762;-2.0625241948385
-1.3455425286141316 -1.334932046611082;-2.0625865251410
-1.3448145060849008 -1.3456360474408091;-2.062608037096
-1.3470039198105586 -1.3542970540117965;-2.0626081984308
-1.3505230717266954 -1.3610858966150485;-2.0625960259903
-1.3532063740656195 -1.366194556842997;-2.0625784045862
-1.3537638819563342 -1.3698223335420714;-2.062562589892
-1.3524487928943998 -1.3721660852866795;-2.0625516160643
-1.3505683702342397 -1.3734155394505254;-2.0625450366987
-1.3494681577638548 -1.3737518641524094;-2.062542851286
-1.3496954739848064 -1.3733468729579792;-2.062545208479
-1.3508217796976059 -1.3723610943274986;-2.0625507978372
-1.351919603494238 -1.3709406435449611;-2.0625580152174
-1.3522450621494289 -1.3692141834305633;-2.0625661537748
-1.3516719767771124 -1.3672913937025752;-2.0625746643139
-1.350650147427474 -1.3652635355452651;-2.0625826967965
-1.349813324199814 -1.363205574135421;-2.062589728408
-1.3495523142025843 -1.3611786912131416;-2.062595721149
-1.3498220287294953 -1.3592321734435042;-2.0626006478553
-1.3502594222201927 -1.35740435387931;-2.062604431815
-1.3504750813141393 -1.3557230075805382;-2.0626071919539
-1.3503022576313564 -1.3542058951767435;-2.062609159159
-1.349856982571188 -1.3528619218514382;-2.0626104782953
-1.3494095480691979 -1.3516928845409466;-2.0626112598362
-1.349185593945624 -1.3506953832809476;-2.062611665996
-1.3492342830867985 -1.3498624061612496;-2.0626118417029
-1.3494326095227427 -1.3491843390380374;-2.062611864865
-1.3495960505326883 -1.3486494948348233;-2.0626117971066
-1.3496052653287716 -1.348244470089191;-2.062611704245
-1.3494667919234973 -1.3479546128979902;-2.062611622255
-1.3492831302728858 -1.3477646913332009;-2.0626115571371
-1.349169027588683 -1.3476596421805567;-2.0626115143177
-1.3491768546819778 -1.3476251912943895;-2.0626115004235
PointOptimal;ValeurOptimale
[-1.34917685 -1.34762519];-2.0626115004235124
Temps;Nb iteration
0.0040857791900634766;44
