Point;Valeur
-2.3379287286402644 1.8566463310229615;-1.9301986887501
-2.26197081924302 1.780688421625717;-1.9537182207601
-2.15218780419716 1.6709798115117571;-1.982736281299
-2.0147928242011877 1.5344463812011961;-2.0112988496042
-1.852853074781511 1.3774995046167295;-2.0345131153469
-1.6685930362545367 1.2144718347282684;-2.0482820208248
-1.464605465465971 1.0771760950515477;-2.0513769520215
-1.245563252760888 0.9966686989489298;-2.046276624583
-1.0217855427320783 0.9728925520333337;-2.0335884354618
-0.8151113492094442 0.9924374311569234;-2.0122581238916
-0.6578706092728734 1.0442018515880591;-1.9869930868744
-0.5692532375579358 1.120355785013381;-1.9686483366238
-0.5423880789658232 1.2143881292268104;-1.9634520205518
-0.5625605853836649 1.3191280325458072;-1.9698427606915
-0.6186694056590039 1.425075389125595;-1.9831000126789
-0.7037023065746003 1.5199908817703185;-1.999066226988
-0.813091974308368 1.5915071686445756;-2.015338491453
-0.9434696875532923 1.6317673128055163;-2.0306466159164
-1.0918576593887968 1.639225306387601;-2.043768656861
-1.2550503450494603 1.6165061375330716;-2.0530828622182
-1.4290129642803553 1.567848662383473;-2.056746265512
-1.6082400133781505 1.498074548177047;-2.053127532631
-1.7852007930567375 1.412942580073734;-2.041373212065
-1.9503024673094014 1.320452701902877;-2.0221094886785
-2.093014282987529 1.2322939530623307;-1.9981079637760
-2.2042660688497033 1.1628598627293163;-1.974269835680
-2.278823100203968 1.1236058037497618;-1.95608098892
-2.315856681324122 1.118211257561612;-1.9472272563992
-2.3176031630077762 1.1443112068139032;-1.9484962320479
-2.287532624100646 1.197327958373813;-1.9583244639623
-2.229118385851522 1.272171355549096;-1.9738630312545
-2.145345636208035 1.3629524147278373;-1.9918768679367
-2.038673075632188 1.4615422680840344;-2.009418934065
-1.9111935228644408 1.5558973999069687;-2.0244415916653
-1.7648784674822056 1.630861344289106;-2.0362162201196
-1.6018992761514053 1.6740251826495383;-2.044852002933
-1.4251004821031794 1.6810662495032567;-2.0499901447104
-1.2387786669094032 1.6540915385443986;-2.0501565341489
-1.0499483450297322 1.597455792777901;-2.043266657293
-0.8699719501774625 1.515665332456127;-2.0279020661063
-0.7150076222769275 1.4132725313820251;-2.0052754089958
-0.6016259672738777 1.2959799486805865;-1.9806701705123
-0.5380406070854402 1.172919106261561;-1.961277374250
-0.5214153752095723 1.0595392819883636;-1.951689234362
-0.544006714010461 0.9760041616504647;-1.9530434592036
-0.5985815171868659 0.9356617331036694;-1.9645184996146
-0.6797920872284613 0.9383565755420729;-1.983496425601
-0.7837706387420686 0.9775150494319994;-2.006149277075
-0.9074892527751792 1.0464605544145311;-2.028530749833
-1.0482404593268393 1.139649856704598;-2.0471537713314
-1.2032123388077716 1.2518132292038315;-2.059166630170
-1.369085760773447 1.3764216664244406;-2.0624908081167
-1.5416124056175078 1.503889747195801;-2.0561594643423
-1.715197480692841 1.620793860282088;-2.040861689398
-1.8826304509773046 1.7127728666731794;-2.019177323554
-2.0352791205205945 1.7704692499305448;-1.9948866814628
-2.1641363930260065 1.7919873860965159;-1.9719281739824
-2.2617085909071677 1.7801306210755266;-1.9538180506213
-2.3238097704568474 1.739117122128962;-1.943177759257
-2.3499787455587633 1.6731084551315947;-1.9411328515699
-2.3423648988976 1.5860806082871841;-1.9470392431780
-2.3041624889153094 1.4824036181428586;-1.958817341970
-2.2385357025299992 1.3679950978407112;-1.9736872334992
-2.1481877622435888 1.2520473355230841;-1.989053133966
-2.0353297190460387 1.1482492336618235;-2.0034412706260
-1.9018237256308148 1.0719605684059814;-2.0169604694633
-1.7494040148640824 1.032641016544883;-2.0302409061745
-1.5799847326517649 1.0305908363732512;-2.0426507132757
-1.3961509892656039 1.0610461615803772;-2.0517871226158
-1.2020347349296587 1.1181793287518789;-2.0540839034477
-1.0048764190931951 1.1961286396215687;-2.0458115788044
-0.8172553442154196 1.2883049508752542;-2.024820496094
-0.6578635924017341 1.38623601061399;-1.9935338893151
-0.5453789084215589 1.4791889678611039;-1.9609365168415
-0.4870817148937955 1.5557648373053672;-1.9383522133461
-0.47759137085493464 1.6069891805506624;-1.9318922641545
-0.5076169594202098 1.6284457705737072;-1.9407285264962
-0.5694875566767461 1.6199294845239876;-1.9603334849941
-0.6578563815145424 1.5837341318040183;-1.9854915515986
-0.7689467622174245 1.5232675211363813;-2.0115428819380
-0.899796740370548 1.44263673404577;-2.034558780910
-1.047694634201072 1.3472534100382296;-2.0512702597883
-1.209726689478131 1.2455289035774908;-2.0592458285551
-1.3823719016531888 1.1510165249531068;-2.0575848951726
-1.5611371114044488 1.0809400996181453;-2.0476692446548
-1.7402675515890917 1.047383084222268;-2.0323443678461
-1.912607559893455 1.0517256619959823;-2.013951688808
-2.0698230351367704 1.0893169643917802;-1.993982390246
-2.2033140420737807 1.1545440452393185;-1.9739862553727
