Point;Valeur
-2.679266682481316 1.174285173297534;-1.8362610579289
-2.642266683520342 1.2112851084381662;-1.8531564661505
-2.6170374711207858 1.235143662335193;-1.8638673334729
-2.5968435669612706 1.253417320641137;-1.872009482183
-2.5796014333833517 1.2683966491008452;-1.8786774256090
-2.5643522408220396 1.2811295441136288;-1.8843681455011
-2.550562781757522 1.2921985265065787;-1.8893550606545
-2.5379009519831626 1.3019674530838183;-1.8938068637433
-2.526143561685841 1.3106821299967168;-1.8978359387397
-2.5151321788425762 1.3185182954851282;-1.9015214039960
-2.504749592193606 1.3256071209104772;-1.9049213266786
-2.494906233249338 1.3320498903226403;-1.9080797336646
-2.485531850710739 1.3379269864231196;-1.9110308905740
-2.476570151251116 1.3433036666525684;-1.913802044394
-2.4679752100948167 1.3482339266032537;-1.9164152530102
-2.4597089861870156 1.352763170928117;-1.9188886469270
-2.451739553268489 1.356930112038054;-1.9212373242597
-2.4440398100462173 1.360768152528966;-1.923474001104
-2.436586519954771 1.3643064127900477;-1.9256094941570
-2.4293595831485018 1.3675705089417551;-1.927653085471
-2.422341475633107 1.3705831513717202;-1.9296128026517
-2.4155168109236715 1.3733646120417096;-1.9314956371917
-2.4088719930647207 1.375933094143369;-1.933307716833
-2.4023949387654326 1.3783050281869593;-1.9350544432045
-2.3960748525655715 1.3804953117330259;-1.9367406028894
-2.3899020431545153 1.3825175056823555;-1.9383704579146
-2.3838677720161194 1.3843839965146698;-1.9399478201050
-2.3779641277083594 1.3861061316729326;-1.94147611266
-2.3721839206623194 1.3876943336144836;-1.9429584215783
-2.3665205945608405 1.3891581965842668;-1.944397538719
-2.360968151206602 1.3905065695180925;-1.9457959983553
-2.3555210864587255 1.3917476275671306;-1.9471561081
-2.3501743353071154 1.392888934246246;-1.948479975449
-2.344923224541135 1.3939374958368707;-1.949769530388
-2.3397634317706597 1.3948998092967864;-1.9510265451033
-2.3346909497858612 1.3957819047423385;-1.9522526508981
-2.3297020554327617 1.3965893832499021;-1.9534493529604
-2.324793282321274 1.39732745083036;-1.9546180432416
-2.3199613968109314 1.3980009489089298;-1.9557600117358
-2.3152033767981446 1.398614381942967;-1.9568764563910
-2.3105163929233936 1.399171942492866;-1.9579684918464
-2.3058977918660157 1.3996775340455085;-1.9590371571556
-2.301345081448851 1.4001347918734608;-1.9600834226359
-2.2968559173232874 1.400547102179642;-1.961108195955
-2.2924280910298287 1.400917619678827;-1.9621123275623
-2.288059519271239 1.401249283773165;-1.963096615528
-2.283748234241099 1.401544833524571;-1.9640618098974
-2.279492374895837 1.4018068214358161;-1.9650086165799
-2.275290179051424 1.4020376262646492;-1.9659377008614
-2.271139976214033 1.402239464880322;-1.9668496905644
-2.2670401810637872 1.4024144032784884;-1.967745178905
-2.262989287522038 1.4025643667983598;-1.9686247270794
-2.258985863337072 1.4026911496294259;-1.9694888666072
-2.2550285451330803 1.402796423666008;-1.9703381014644
-2.2511160338792267 1.4028817467577988;-1.9711729100221
-2.2472470907320625 1.4029485703634004;-1.971993746815
